<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:5485891a47eeb5e88e8bcb31513870fe6474808bcf6a43ac673c378d7557051c
size 5232
=======
K,MANDI,ANOMALY,NORMAL,TOTAL
1.5,ANDHRA PRADESH_HYDERABAD,58,136,194
1.5,ANDHRA PRADESH_VIJAYWADA,96,98,194
1.5,ODISHA_BHUBANESHWAR,97,97,194
1.6,ANDHRA PRADESH_HYDERABAD,58,136,194
1.6,ANDHRA PRADESH_VIJAYWADA,92,102,194
1.6,ODISHA_BHUBANESHWAR,85,109,194
1.7000000000000002,ANDHRA PRADESH_HYDERABAD,58,136,194
1.7000000000000002,ANDHRA PRADESH_VIJAYWADA,88,106,194
1.7000000000000002,ODISHA_BHUBANESHWAR,81,113,194
1.75,ANDHRA PRADESH_HYDERABAD,58,136,194
1.75,ANDHRA PRADESH_VIJAYWADA,88,106,194
1.75,ODISHA_BHUBANESHWAR,80,114,194
1.8000000000000003,ODISHA_BHUBANESHWAR,79,115,194
1.8000000000000003,ANDHRA PRADESH_HYDERABAD,58,136,194
1.8000000000000003,ANDHRA PRADESH_VIJAYWADA,88,106,194
1.9000000000000004,ANDHRA PRADESH_HYDERABAD,58,136,194
1.9000000000000004,ANDHRA PRADESH_VIJAYWADA,85,109,194
1.9000000000000004,ODISHA_BHUBANESHWAR,74,120,194
2.0,ANDHRA PRADESH_HYDERABAD,58,136,194
2.0,ANDHRA PRADESH_VIJAYWADA,77,117,194
2.0,ODISHA_BHUBANESHWAR,69,125,194
2.0000000000000004,ODISHA_BHUBANESHWAR,69,125,194
2.0000000000000004,ANDHRA PRADESH_HYDERABAD,58,136,194
2.0000000000000004,ANDHRA PRADESH_VIJAYWADA,77,117,194
2.1000000000000005,ODISHA_BHUBANESHWAR,67,127,194
2.1000000000000005,ANDHRA PRADESH_VIJAYWADA,74,120,194
2.1000000000000005,ANDHRA PRADESH_HYDERABAD,58,136,194
2.2000000000000006,ANDHRA PRADESH_HYDERABAD,58,136,194
2.2000000000000006,ANDHRA PRADESH_VIJAYWADA,72,122,194
