<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:13a5b94cb8b22cd6127027094de8918d4877d6def9dcf15e92feb0b8d522a3ac
size 5237
=======
K,MANDI,ANOMALY,NORMAL,TOTAL
1.5,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),52,143,195
1.5,WEST BENGAL_DURGAPUR,40,155,195
1.5,WEST BENGAL_KATWA,24,171,195
1.6,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),50,145,195
1.6,WEST BENGAL_DURGAPUR,40,155,195
1.6,WEST BENGAL_KATWA,20,175,195
1.7000000000000002,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),50,145,195
1.7000000000000002,WEST BENGAL_DURGAPUR,37,158,195
1.7000000000000002,WEST BENGAL_KATWA,13,182,195
1.75,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),49,146,195
1.75,WEST BENGAL_DURGAPUR,36,159,195
1.75,WEST BENGAL_KATWA,12,183,195
1.8000000000000003,WEST BENGAL_KATWA,9,186,195
1.8000000000000003,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),47,148,195
1.8000000000000003,WEST BENGAL_DURGAPUR,33,162,195
1.9000000000000004,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),47,148,195
1.9000000000000004,WEST BENGAL_DURGAPUR,33,162,195
1.9000000000000004,WEST BENGAL_KATWA,6,189,195
2.0,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),46,149,195
2.0,WEST BENGAL_DURGAPUR,32,163,195
2.0,WEST BENGAL_KATWA,2,193,195
2.0000000000000004,WEST BENGAL_KATWA,2,193,195
2.0000000000000004,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),46,149,195
2.0000000000000004,WEST BENGAL_DURGAPUR,32,163,195
2.1000000000000005,WEST BENGAL_KATWA,0,195,195
2.1000000000000005,WEST BENGAL_DURGAPUR,28,167,195
2.1000000000000005,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),42,153,195
2.2000000000000006,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),39,156,195
2.2000000000000006,WEST BENGAL_DURGAPUR,18,177,195
2.2000000000000006,WEST BENGAL_KATWA,0,195,195
2.25,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),36,159,195
2.25,WEST BENGAL_DURGAPUR,9,186,195
2.25,WEST BENGAL_KATWA,0,195,195
2.3000000000000007,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),35,160,195
2.3000000000000007,WEST BENGAL_DURGAPUR,8,187,195
2.3000000000000007,WEST BENGAL_KATWA,0,195,195
2.400000000000001,WEST BENGAL_DURGAPUR,4,191,195
2.400000000000001,WEST BENGAL_KATWA,0,195,195
2.400000000000001,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),34,161,195
2.5,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),34,161,195
2.5,WEST BENGAL_DURGAPUR,3,192,195
2.5,WEST BENGAL_KATWA,0,195,195
2.500000000000001,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),34,161,195
2.500000000000001,WEST BENGAL_DURGAPUR,3,192,195
2.500000000000001,WEST BENGAL_KATWA,0,195,195
2.600000000000001,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),34,161,195
2.600000000000001,WEST BENGAL_DURGAPUR,2,193,195
2.600000000000001,WEST BENGAL_KATWA,0,195,195
2.700000000000001,WEST BENGAL_KATWA,0,195,195
2.700000000000001,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),34,161,195
2.700000000000001,WEST BENGAL_DURGAPUR,2,193,195
2.75,WEST BENGAL_DURGAPUR,2,193,195
2.75,WEST BENGAL_KATWA,0,195,195
2.75,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),34,161,195
2.800000000000001,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),34,161,195
2.800000000000001,WEST BENGAL_DURGAPUR,2,193,195
2.800000000000001,WEST BENGAL_KATWA,0,195,195
2.9000000000000012,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),33,162,195
2.9000000000000012,WEST BENGAL_DURGAPUR,2,193,195
2.9000000000000012,WEST BENGAL_KATWA,0,195,195
3.0,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),31,164,195
3.0,WEST BENGAL_DURGAPUR,2,193,195
3.0,WEST BENGAL_KATWA,0,195,195
3.0000000000000013,WEST BENGAL_DURGAPUR,2,193,195
3.0000000000000013,WEST BENGAL_KATWA,0,195,195
3.0000000000000013,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),31,164,195
3.1000000000000014,UTTAR PRADESH_CHHIBRAMAU(KANNUJ),30,165,195
3.1000000000000014,WEST BENGAL_DURGAPUR,2,193,195
3.1000000000000014,WEST BENGAL_KATWA,0,195,195
