<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:ad267771b740443a0afb84435374db46f81a5a2093783ea2d05eaa331e8e1228
size 49338
=======
STARTDATE,ENDDATE,TYPE,MANDI
2016-01-01,2016-02-13,,PUNJAB_AJNALA
2016-01-01,2016-02-13,,UTTAR PRADESH_LUCKNOW
2016-01-01,2016-02-13,,WEST BENGAL_KALYANI
2016-01-01,2016-02-13,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-01-08,2016-02-20,,WEST BENGAL_KALYANI
2016-01-08,2016-02-20,,UTTAR PRADESH_LUCKNOW
2016-01-08,2016-02-20,,PUNJAB_AJNALA
2016-01-08,2016-02-20,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-01-15,2016-02-27,,UTTAR PRADESH_LUCKNOW
2016-01-15,2016-02-27,,WEST BENGAL_KALYANI
2016-01-15,2016-02-27,,PUNJAB_AJNALA
2016-01-15,2016-02-27,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-01-22,2016-03-05,,UTTAR PRADESH_LUCKNOW
2016-01-22,2016-03-05,,WEST BENGAL_KALYANI
2016-01-22,2016-03-05,,PUNJAB_AJNALA
2016-01-22,2016-03-05,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-01-29,2016-03-12,,UTTAR PRADESH_LUCKNOW
2016-01-29,2016-03-12,,WEST BENGAL_KALYANI
2016-01-29,2016-03-12,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-01-29,2016-03-12,,PUNJAB_AJNALA
2016-02-05,2016-03-19,,PUNJAB_AJNALA
2016-02-05,2016-03-19,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-02-05,2016-03-19,,UTTAR PRADESH_LUCKNOW
2016-02-05,2016-03-19,,WEST BENGAL_KALYANI
2016-02-12,2016-03-26,,WEST BENGAL_KALYANI
2016-02-12,2016-03-26,,UTTAR PRADESH_LUCKNOW
2016-02-12,2016-03-26,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-02-12,2016-03-26,,PUNJAB_AJNALA
2016-02-19,2016-04-02,,WEST BENGAL_KALYANI
2016-02-19,2016-04-02,,UTTAR PRADESH_LUCKNOW
2016-02-19,2016-04-02,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-02-19,2016-04-02,,PUNJAB_AJNALA
2016-02-26,2016-04-09,,UTTAR PRADESH_LUCKNOW
2016-02-26,2016-04-09,,PUNJAB_AJNALA
2016-02-26,2016-04-09,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-02-26,2016-04-09,,WEST BENGAL_KALYANI
2016-03-04,2016-04-16,,PUNJAB_AJNALA
2016-03-04,2016-04-16,,WEST BENGAL_KALYANI
2016-03-04,2016-04-16,,UTTAR PRADESH_LUCKNOW
2016-03-04,2016-04-16,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-03-11,2016-04-23,,PUNJAB_AJNALA
2016-03-11,2016-04-23,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-03-11,2016-04-23,,UTTAR PRADESH_LUCKNOW
2016-03-11,2016-04-23,,WEST BENGAL_KALYANI
2016-03-18,2016-04-30,,PUNJAB_AJNALA
2016-03-18,2016-04-30,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-03-18,2016-04-30,,WEST BENGAL_KALYANI
2016-03-18,2016-04-30,,UTTAR PRADESH_LUCKNOW
2016-03-25,2016-05-07,,WEST BENGAL_KALYANI
2016-03-25,2016-05-07,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-03-25,2016-05-07,,UTTAR PRADESH_LUCKNOW
2016-03-25,2016-05-07,,PUNJAB_AJNALA
2016-04-01,2016-05-14,,WEST BENGAL_KALYANI
2016-04-01,2016-05-14,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-04-01,2016-05-14,,PUNJAB_AJNALA
2016-04-01,2016-05-14,,UTTAR PRADESH_LUCKNOW
2016-04-08,2016-05-21,,UTTAR PRADESH_LUCKNOW
2016-04-08,2016-05-21,,WEST BENGAL_KALYANI
2016-04-08,2016-05-21,,PUNJAB_AJNALA
2016-04-08,2016-05-21,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-04-15,2016-05-28,,PUNJAB_AJNALA
2016-04-15,2016-05-28,,WEST BENGAL_KALYANI
2016-04-15,2016-05-28,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-04-15,2016-05-28,,UTTAR PRADESH_LUCKNOW
2016-04-22,2016-06-04,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-04-22,2016-06-04,,UTTAR PRADESH_LUCKNOW
2016-04-22,2016-06-04,,PUNJAB_AJNALA
2016-04-22,2016-06-04,,WEST BENGAL_KALYANI
2016-04-29,2016-06-11,,PUNJAB_AJNALA
2016-04-29,2016-06-11,,UTTAR PRADESH_LUCKNOW
2016-04-29,2016-06-11,,WEST BENGAL_KALYANI
2016-04-29,2016-06-11,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-05-06,2016-06-18,,UTTAR PRADESH_LUCKNOW
2016-05-06,2016-06-18,,WEST BENGAL_KALYANI
2016-05-06,2016-06-18,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-05-06,2016-06-18,,PUNJAB_AJNALA
2016-05-13,2016-06-25,,UTTAR PRADESH_LUCKNOW
2016-05-13,2016-06-25,,WEST BENGAL_KALYANI
2016-05-13,2016-06-25,,PUNJAB_AJNALA
2016-05-13,2016-06-25,,WEST BENGAL_BISHNUPUR(BANKURA)
2016-05-20,2016-07-02,,WEST BENGAL_KALYANI
2016-05-20,2016-07-02,,UTTAR PRADESH_LUCKNOW
