<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:179030f073805d3216752f61aaecf60d427b831a78acd0ddcfc268746e446120
size 32663
=======
DATE,MANDINAME,STATENAME,VOLATILITY
2016-01-01,SILIGURI,WEST BENGAL,0.0719084848642522
2016-01-01,GWALIOR,MADHYA PRADESH,0.0519440760024073
2016-01-01,BHOPAL,MADHYA PRADESH,0.0298021371748228
2016-01-01,INDORE,MADHYA PRADESH,0.0251572644598515
2016-01-01,AVERAGE,,0.01490099687511115
2016-01-01,JABALPUR,MADHYA PRADESH,0.0
2016-01-01,REWA,MADHYA PRADESH,0.0
2016-01-01,SAGAR,MADHYA PRADESH,0.0
2016-01-01,KHARAGPUR,WEST BENGAL,0.0
2016-01-01,KOLKATA,WEST BENGAL,0.0
2016-01-01,MALDA,WEST BENGAL,0.0
2016-02-01,SILIGURI,WEST BENGAL,0.0810818530371585
2016-02-01,KOLKATA,WEST BENGAL,0.0173528404096708
2016-02-01,AVERAGE,,0.010690807558783032
2016-02-01,REWA,MADHYA PRADESH,0.0086198479122431
2016-02-01,INDORE,MADHYA PRADESH,0.0078826846044491
2016-02-01,JABALPUR,MADHYA PRADESH,0.0069567820730691
2016-02-01,GWALIOR,MADHYA PRADESH,0.0063956826688058
2016-02-01,BHOPAL,MADHYA PRADESH,0.0
2016-02-01,SAGAR,MADHYA PRADESH,0.0
2016-02-01,KHARAGPUR,WEST BENGAL,0.0
2016-02-01,MALDA,WEST BENGAL,0.0
2016-03-01,SILIGURI,WEST BENGAL,0.0318913185075228
2016-03-01,REWA,MADHYA PRADESH,0.0219299252802933
2016-03-01,KOLKATA,WEST BENGAL,0.0214717278800719
2016-03-01,INDORE,MADHYA PRADESH,0.0104885023419459
2016-03-01,AVERAGE,,0.007609440135264759
2016-03-01,BHOPAL,MADHYA PRADESH,0.0055318076133432
2016-03-01,GWALIOR,MADHYA PRADESH,0.0
2016-03-01,JABALPUR,MADHYA PRADESH,0.0
2016-03-01,SAGAR,MADHYA PRADESH,0.0
2016-03-01,KHARAGPUR,WEST BENGAL,0.0
2016-03-01,MALDA,WEST BENGAL,0.0
2016-04-01,GWALIOR,MADHYA PRADESH,0.0746797322557852
2016-04-01,REWA,MADHYA PRADESH,0.0606254171249612
2016-04-01,INDORE,MADHYA PRADESH,0.0345755222703362
2016-04-01,BHOPAL,MADHYA PRADESH,0.0284609617551985
2016-04-01,SAGAR,MADHYA PRADESH,0.0201264967321832
2016-04-01,AVERAGE,,0.019713749625675573
2016-04-01,JABALPUR,MADHYA PRADESH,0.0180968653696426
2016-04-01,KHARAGPUR,WEST BENGAL,0.0
2016-04-01,KOLKATA,WEST BENGAL,0.0
2016-04-01,MALDA,WEST BENGAL,0.0
2016-04-01,PURULIA,WEST BENGAL,0.0
2016-05-01,INDORE,MADHYA PRADESH,0.0307328460734152
2016-05-01,GWALIOR,MADHYA PRADESH,0.023750157136806
2016-05-01,KOLKATA,WEST BENGAL,0.0214717278800719
2016-05-01,BHOPAL,MADHYA PRADESH,0.016463176928093
2016-05-01,JABALPUR,MADHYA PRADESH,0.0136460582331229
2016-05-01,AVERAGE,,0.009307003974168759
2016-05-01,SILIGURI,WEST BENGAL,0.0056200814385161
2016-05-01,REWA,MADHYA PRADESH,0.0
2016-05-01,SAGAR,MADHYA PRADESH,0.0
2016-05-01,KHARAGPUR,WEST BENGAL,0.0
2016-05-01,MALDA,WEST BENGAL,0.0
2016-06-01,KOLKATA,WEST BENGAL,0.0453773976110479
2016-06-01,GWALIOR,MADHYA PRADESH,0.032901630912423
2016-06-01,PURULIA,WEST BENGAL,0.0151976896135049
2016-06-01,BHOPAL,MADHYA PRADESH,0.0150470687922077
2016-06-01,SILIGURI,WEST BENGAL,0.0114879017284024
2016-06-01,AVERAGE,,0.0112084029812713
2016-06-01,INDORE,MADHYA PRADESH,0.0076527424996609
2016-06-01,JABALPUR,MADHYA PRADESH,0.0068364046180088
2016-06-01,REWA,MADHYA PRADESH,0.0
2016-06-01,SAGAR,MADHYA PRADESH,0.0
2016-06-01,KHARAGPUR,WEST BENGAL,0.0
2016-07-01,PURULIA,WEST BENGAL,0.0231437385570712
2016-07-01,KOLKATA,WEST BENGAL,0.0133190957166873
2016-07-01,GWALIOR,MADHYA PRADESH,0.0069831133725694
2016-07-01,INDORE,MADHYA PRADESH,0.0040123392588637
2016-07-01,AVERAGE,,0.003954857242099301
2016-07-01,BHOPAL,MADHYA PRADESH,0.0
2016-07-01,JABALPUR,MADHYA PRADESH,0.0
2016-07-01,REWA,MADHYA PRADESH,0.0
2016-07-01,SAGAR,MADHYA PRADESH,0.0
2016-07-01,KHARAGPUR,WEST BENGAL,0.0
2016-07-01,MALDA,WEST BENGAL,0.0
2016-08-01,RAIGANJ,WEST BENGAL,0.0456720954231457
2016-08-01,GWALIOR,MADHYA PRADESH,0.0402636946267028
2016-08-01,BHOPAL,MADHYA PRADESH,0.020062594978645
2016-08-01,SAGAR,MADHYA PRADESH,0.0198947083182587
2016-08-01,INDORE,MADHYA PRADESH,0.0125417322549329
2016-08-01,AVERAGE,,0.012194852768097333
2016-08-01,JABALPUR,MADHYA PRADESH,0.0053534530102274
2016-08-01,PURULIA,WEST BENGAL,0.0025499546052555
2016-08-01,REWA,MADHYA PRADESH,0.0
2016-08-01,KHARAGPUR,WEST BENGAL,0.0
2016-08-01,KOLKATA,WEST BENGAL,0.0
2016-09-01,RAIGANJ,WEST BENGAL,0.0665054385413444
2016-09-01,KOLKATA,WEST BENGAL,0.029735379373001
2016-09-01,JABALPUR,MADHYA PRADESH,0.0259132549154449
2016-09-01,SAGAR,MADHYA PRADESH,0.0125336969680816
2016-09-01,AVERAGE,,0.0116798482320732
2016-09-01,INDORE,MADHYA PRADESH,0.0052868972732158
2016-09-01,SILIGURI,WEST BENGAL,0.0001835117137907
2016-09-01,BHOPAL,MADHYA PRADESH,0.0
2016-09-01,GWALIOR,MADHYA PRADESH,0.0
2016-09-01,REWA,MADHYA PRADESH,0.0
2016-09-01,KHARAGPUR,WEST BENGAL,0.0
2016-10-01,SILIGURI,WEST BENGAL,0.078653134651254
2016-10-01,JABALPUR,MADHYA PRADESH,0.0416258503325262
2016-10-01,GWALIOR,MADHYA PRADESH,0.0397314301518106
2016-10-01,REWA,MADHYA PRADESH,0.0178034550787046
2016-10-01,AVERAGE,,0.01736976966428629
2016-10-01,KOLKATA,WEST BENGAL,0.0115604711521492
2016-10-01,INDORE,MADHYA PRADESH,0.0105724494698494
2016-10-01,BHOPAL,MADHYA PRADESH,0.0084904451351415
2016-10-01,SAGAR,MADHYA PRADESH,0.0
2016-10-01,KHARAGPUR,WEST BENGAL,0.0
2016-10-01,MALDA,WEST BENGAL,0.0
2016-11-01,KOLKATA,WEST BENGAL,0.0155490172647065
2016-11-01,AVERAGE,,0.0013337046295930335
2016-11-01,JABALPUR,MADHYA PRADESH,0.0004554382904099
2016-11-01,BHOPAL,MADHYA PRADESH,0.0
2016-11-01,GWALIOR,MADHYA PRADESH,0.0
2016-11-01,INDORE,MADHYA PRADESH,0.0
2016-11-01,REWA,MADHYA PRADESH,0.0
2016-11-01,SAGAR,MADHYA PRADESH,0.0
2016-11-01,KHARAGPUR,WEST BENGAL,0.0
2016-11-01,MALDA,WEST BENGAL,0.0
2016-11-01,PURULIA,WEST BENGAL,0.0
2016-12-01,JABALPUR,MADHYA PRADESH,0.0614246006331691
2016-12-01,SAGAR,MADHYA PRADESH,0.0417102141867475
2016-12-01,INDORE,MADHYA PRADESH,0.0268779547348432
2016-12-01,REWA,MADHYA PRADESH,0.0257707197705857
2016-12-01,KOLKATA,WEST BENGAL,0.025691979970273
2016-12-01,BHOPAL,MADHYA PRADESH,0.0242569889878007
2016-12-01,RAIGANJ,WEST BENGAL,0.0220067753323193
2016-12-01,AVERAGE,,0.018978269467978207
2016-12-01,GWALIOR,MADHYA PRADESH,0.0
2016-12-01,KHARAGPUR,WEST BENGAL,0.0
2016-12-01,MALDA,WEST BENGAL,0.0
2017-01-01,REWA,MADHYA PRADESH,0.046900965484855
2017-01-01,RAIGANJ,WEST BENGAL,0.0290018706225112
2017-01-01,MALDA,WEST BENGAL,0.0242868150055061
2017-01-01,INDORE,MADHYA PRADESH,0.0137064543510029
