<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:dbc0bf12c1f857fec038ff0a3db5614037044d5cf805f4140b538c65c5aaca28
size 25724
=======
DATE,MANDINAME,STATENAME,VOLATILITY,COMMODITY
2016-01-01,SAMBALPUR,ODISHA,0.0371638793969812,GREEN GRAM DAL (MOONG DAL)
2016-02-01,VIJAYWADA,ANDHRA PRADESH,0.0410166119818393,GREEN GRAM DAL (MOONG DAL)
2016-03-01,VIJAYWADA,ANDHRA PRADESH,0.0122720131625066,GREEN GRAM DAL (MOONG DAL)
2016-04-01,SAMBALPUR,ODISHA,0.0125755089130561,GREEN GRAM DAL (MOONG DAL)
2016-05-01,SAMBALPUR,ODISHA,0.0296479175610981,GREEN GRAM DAL (MOONG DAL)
2016-06-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0984376764115404,GREEN GRAM DAL (MOONG DAL)
2016-07-01,CUTTACK,ODISHA,0.0266670646759068,GREEN GRAM DAL (MOONG DAL)
2016-08-01,CUTTACK,ODISHA,0.0712777219869857,GREEN GRAM DAL (MOONG DAL)
2016-09-01,TIRUPATHI,ANDHRA PRADESH,0.0652351282352759,GREEN GRAM DAL (MOONG DAL)
2016-10-01,BHUBANESHWAR,ODISHA,0.021797473696264,GREEN GRAM DAL (MOONG DAL)
2016-11-01,HYDERABAD,ANDHRA PRADESH,0.0416757645642264,GREEN GRAM DAL (MOONG DAL)
2016-12-01,VIJAYWADA,ANDHRA PRADESH,0.049493349910253,GREEN GRAM DAL (MOONG DAL)
2017-01-01,VIJAYWADA,ANDHRA PRADESH,0.0927506908057713,GREEN GRAM DAL (MOONG DAL)
2017-02-01,VIJAYWADA,ANDHRA PRADESH,0.0499242945746367,GREEN GRAM DAL (MOONG DAL)
2017-03-01,CUTTACK,ODISHA,0.0809705391038516,GREEN GRAM DAL (MOONG DAL)
2017-04-01,CUTTACK,ODISHA,0.0650027675499561,GREEN GRAM DAL (MOONG DAL)
2017-05-01,VIJAYWADA,ANDHRA PRADESH,0.0367836554555616,GREEN GRAM DAL (MOONG DAL)
2017-06-01,VIJAYWADA,ANDHRA PRADESH,0.0281998271139379,GREEN GRAM DAL (MOONG DAL)
2017-07-01,VIJAYWADA,ANDHRA PRADESH,0.0459700546511004,GREEN GRAM DAL (MOONG DAL)
2017-08-01,CUTTACK,ODISHA,0.0833390588444748,GREEN GRAM DAL (MOONG DAL)
2017-09-01,VIJAYWADA,ANDHRA PRADESH,0.0243807210205505,GREEN GRAM DAL (MOONG DAL)
2017-10-01,CUTTACK,ODISHA,0.0277349351238157,GREEN GRAM DAL (MOONG DAL)
2017-11-01,BHUBANESHWAR,ODISHA,0.0161255168454954,GREEN GRAM DAL (MOONG DAL)
2017-12-01,VIJAYWADA,ANDHRA PRADESH,0.0230398071355563,GREEN GRAM DAL (MOONG DAL)
2018-01-01,VIJAYWADA,ANDHRA PRADESH,0.0489438405907851,GREEN GRAM DAL (MOONG DAL)
2018-02-01,VIJAYWADA,ANDHRA PRADESH,0.0219478397850664,GREEN GRAM DAL (MOONG DAL)
2018-03-01,KARIMNAGAR,ANDHRA PRADESH,0.0490153527479871,GREEN GRAM DAL (MOONG DAL)
2018-04-01,TIRUPATHI,ANDHRA PRADESH,0.0036297054837983,GREEN GRAM DAL (MOONG DAL)
2018-05-01,BHUBANESHWAR,ODISHA,0.0480236413049363,GREEN GRAM DAL (MOONG DAL)
2018-06-01,SAMBALPUR,ODISHA,0.0319500048236539,GREEN GRAM DAL (MOONG DAL)
2018-07-01,BHUBANESHWAR,ODISHA,0.0619376424836982,GREEN GRAM DAL (MOONG DAL)
2018-08-01,VIJAYWADA,ANDHRA PRADESH,0.0069287377257511,GREEN GRAM DAL (MOONG DAL)
2018-09-01,SAMBALPUR,ODISHA,0.0119585305050847,GREEN GRAM DAL (MOONG DAL)
2018-10-01,VIJAYWADA,ANDHRA PRADESH,0.0149050112813386,GREEN GRAM DAL (MOONG DAL)
2018-11-01,BHUBANESHWAR,ODISHA,0.0251297858786489,GREEN GRAM DAL (MOONG DAL)
2018-12-01,SAMBALPUR,ODISHA,0.0146426346794032,GREEN GRAM DAL (MOONG DAL)
2019-01-01,BHUBANESHWAR,ODISHA,0.0270640964823494,GREEN GRAM DAL (MOONG DAL)
2019-02-01,BERHAMPUR,ODISHA,0.0125291889539787,GREEN GRAM DAL (MOONG DAL)
2019-03-01,BHUBANESHWAR,ODISHA,0.0138888888888888,GREEN GRAM DAL (MOONG DAL)
2019-04-01,SAMBALPUR,ODISHA,0.0164111088970324,GREEN GRAM DAL (MOONG DAL)
2019-05-01,BERHAMPUR,ODISHA,0.0543336887910793,GREEN GRAM DAL (MOONG DAL)
2019-06-01,TIRUPATHI,ANDHRA PRADESH,0.0328935680046331,GREEN GRAM DAL (MOONG DAL)
2019-07-01,VIJAYWADA,ANDHRA PRADESH,0.0391610331493841,GREEN GRAM DAL (MOONG DAL)
2019-08-01,VIJAYWADA,ANDHRA PRADESH,0.0231871634648881,GREEN GRAM DAL (MOONG DAL)
2019-09-01,VIJAYWADA,ANDHRA PRADESH,0.0271459902690322,GREEN GRAM DAL (MOONG DAL)
2019-10-01,BHUBANESHWAR,ODISHA,0.0327202058514352,GREEN GRAM DAL (MOONG DAL)
2019-11-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0565258170794838,GREEN GRAM DAL (MOONG DAL)
2019-12-01,HYDERABAD,ANDHRA PRADESH,0.0265859770966263,GREEN GRAM DAL (MOONG DAL)
2020-01-01,HYDERABAD,ANDHRA PRADESH,0.0677004282170231,GREEN GRAM DAL (MOONG DAL)
2020-02-01,TIRUPATHI,ANDHRA PRADESH,0.1331398264348389,GREEN GRAM DAL (MOONG DAL)
2020-03-01,KARIMNAGAR,ANDHRA PRADESH,0.0529588809818607,GREEN GRAM DAL (MOONG DAL)
2020-04-01,KARIMNAGAR,ANDHRA PRADESH,0.0806724880158332,GREEN GRAM DAL (MOONG DAL)
2020-05-01,CUTTACK,ODISHA,0.0242839807753403,GREEN GRAM DAL (MOONG DAL)
2020-06-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0613331516057459,GREEN GRAM DAL (MOONG DAL)
2020-07-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0293579350798114,GREEN GRAM DAL (MOONG DAL)
2020-08-01,HYDERABAD,ANDHRA PRADESH,0.065866581185725,GREEN GRAM DAL (MOONG DAL)
2020-09-01,VIJAYWADA,ANDHRA PRADESH,0.0486508409004695,GREEN GRAM DAL (MOONG DAL)
2016-01-01,SILIGURI,WEST BENGAL,0.0719084848642522,MASUR DAL
2016-02-01,SILIGURI,WEST BENGAL,0.0810818530378068,MASUR DAL
2016-03-01,SILIGURI,WEST BENGAL,0.0318913185075228,MASUR DAL
2016-04-01,GWALIOR,MADHYA PRADESH,0.0746797322557525,MASUR DAL
2016-05-01,INDORE,MADHYA PRADESH,0.0307328460734152,MASUR DAL
2016-06-01,KOLKATA,WEST BENGAL,0.0453773976110479,MASUR DAL
2016-07-01,PURULIA,WEST BENGAL,0.0231437385570712,MASUR DAL
2016-08-01,RAIGANJ,WEST BENGAL,0.0456720954231457,MASUR DAL
2016-09-01,RAIGANJ,WEST BENGAL,0.0665054385413444,MASUR DAL
2016-10-01,SILIGURI,WEST BENGAL,0.0786531346744535,MASUR DAL
2016-11-01,KOLKATA,WEST BENGAL,0.0155490172647065,MASUR DAL
2016-12-01,JABALPUR,MADHYA PRADESH,0.061424600632859,MASUR DAL
2017-01-01,REWA,MADHYA PRADESH,0.0469009654801169,MASUR DAL
2017-02-01,KHARAGPUR,WEST BENGAL,0.0487247018612263,MASUR DAL
2017-03-01,KOLKATA,WEST BENGAL,0.0409854730750227,MASUR DAL
