<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:03471c0b504f9f4849169d9220d1ff31b2617b1b67f95d6cddef1f2e9bf91e8b
size 8562
=======
PUBLISHEDDATE,TEXT
2019-04-25,"""By PTIAHMEDABAD: PepsiCo on Tuesday sued Gujarati farmers for 'infringing its right' by growing the potato variety used in its Lay's chips. The multinational giant dragged nine farmers from Sabarkantha and Aravalli districts to court for allegedly growing a variety of potatoes for which it has claimed Plant Variety Protection (PVP) rights.Over 190 activists on Wednesday urged the Centre to ask PepsiCo India to withdraw its """"false""""cases against Gujarat farmers for allegedly illegally growing a particular variety of potatoes """"registered"""" by the company.In a letter to the Ministry of Agriculture"
2019-04-27,"""By PTIAHMEDABAD: Terming as """"brazenly wrong"""" PepsiCo's legal action against Gujarat farmers for growing a variety of potatoes """"registered"""" by the company"
2019-04-27,"""Facing boycott calls after it sued four Gujarati potato farmers for Rs. 4.2 crore"
2019-04-27,"""Facing boycott calls after it sued four Gujarati potato farmers for Rs. 4.2 crore"
2019-04-27,"""Facing boycott calls after it sued four Gujarati potato farmers for Rs. 4.2 crore"
2019-04-27,"""By PTIAHMEDABAD: Terming as """"brazenly wrong"""" PepsiCo's legal action against Gujarat farmers for growing a variety of potatoes """"registered"""" by the company"
2019-04-28,"""By IANSAHMEDABAD: The Gujarat government has decided to back the nine potato farmers locked in a legal battle with food and beverages giant PepsiCo after the latter dragged them to court for growing a potato variety which it claimed was its registered product.A day after senior Congress leader Ahmed Patel stated that the state could not keep """"its eyes shut"""" to the issue"
2019-04-28,"""By IANSAHMEDABAD: The Gujarat government has decided to back the nine potato farmers locked in a legal battle with food and beverages giant PepsiCo after the latter dragged them to court for growing a potato variety which it claimed was its registered product.A day after senior Congress leader Ahmed Patel stated that the state could not keep """"its eyes shut"""" to the issue"
2019-04-29,"""""""Unfortunate to have been dragged in the court by PepsiCo"""": Gujarat potato farmers Appearing before the Commercial Court wherein four from Sabarkantha district have been accused by PepsiCo of using its registered variety of potato seed"
2019-04-29,"""PepsiCos suing nine Gujarat farmers for alleged infringement of its intellectual property rights (IPR) over a proprietary potato variety makes for bad optics"
2019-04-29,"""PepsiCos suing nine Gujarat farmers for alleged infringement of its intellectual property rights (IPR) over a proprietary potato variety makes for bad optics"
2019-04-30,"""Dhinesh Kallungal ByExpress News ServiceTHIRUVANANTHAPURAM : The dispute between PepsiCo and farmer groups over growing a specific variety of potato has put the spotlight back on farmers who continue to grow the traditional varieties of the tuber in the state. The issue snowballed into a controversy when the US multinational giant sued four Gujarati peasants"
2019-04-30,"""NEW DELHI: Political discontent is rising against US beverage and snacks major PepsiCo after its local arm took Indian farmers in Gujarat to court for allegedly infringing a patent by growing a particular variety of potato.After the BJP and the Congress parties hit out against the New York-headquartered maker of Mirinda"
2019-05-01,"""Activists of the All India Kisan Sabha (AIKS) staged a demonstration here on Tuesday in protest against PepsiCo suing farmers from Gujarat for growing a potato variety used to make its branded chips.The activists led by AIKS district secretary P.Venkat Rao and district president P.Hanumantha Rao came in a procession to the Collectorate shouting slogans against the multinational company for drawing to court the farmers from Gujarat for growing a potato variety used in its branded chips allegedly in violation of the provisions of the Protection of Plant Varieties and Farmers Rights Act. They set on fire some chips packets to register their protest.AIKS-led Kavulu Rythula Sangham secretary V.Balakotaiah said 195 farmers organisations across the country would intensify their stir if the firm did not withdraw the case forthwith.Farmers were fully within their rights to sow"
2019-05-02,"""In a victory for Gujarat potato farmers dragged to court by PepsiCo for alleged rights infringement"
