<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e28f402e91428a6c6fcd8d6fa4f7a670f107b0b42d9862389dcea9762b155016
size 10994
=======
DATE,PRICE,LEAD,LAG,LEADLAG,MISSED
2019-01-01,9359.03456790124,100000,1000000,1000000,1000000
2019-01-02,9358.36790123457,,,,
2019-01-03,9359.36790123457,,,,
2019-01-04,9361.03456790124,,,,
2019-01-05,9361.03456790124,,,,
2019-01-06,9361.03456790124,,,,
2019-01-07,9360.36790123457,,,,
2019-01-08,9361.03456790124,,,,
2019-01-09,9363.03456790124,,,,
2019-01-10,9364.2012345679,,,,
2019-01-11,9364.86790123457,,,,
2019-01-12,9364.86790123457,,,,
2019-01-13,9366.2012345679,,,,
2019-01-14,9368.6975308642,,,,
2019-01-15,9369.5,,,,
2019-01-16,9370.16666666667,,,,
2019-01-17,9371.16666666667,,,,
2019-01-18,9370.16666666667,,,,
2019-01-19,9368.83333333334,,,,
2019-01-20,9368.83333333334,,,,
2019-01-21,9370.16666666667,,,,
2019-01-22,9372.16666666667,,,,
2019-01-23,9372.83333333334,,,,
2019-01-24,9372.5,,,,
2019-01-25,9372,,,,
2019-01-26,9371.66666666667,,,,
2019-01-27,9371.66666666667,,,,
2019-01-28,9371.66666666667,,,,
2019-01-29,9369,,,,
2019-01-30,9367,,,,
2019-01-31,9365,,,,
2019-02-01,9364.66666666667,,,,
2019-02-02,9366.66666666667,,,,
2019-02-03,9366.66666666667,,,,
2019-02-04,9366,,,,
2019-02-05,9366.66666666667,,,,
2019-02-06,9365.33333333334,,,,
2019-02-07,9364.33333333334,,,,
2019-02-08,9364,,,,
2019-02-09,9363.33333333334,,,,
2019-02-10,9363.66666666667,,,,
2019-02-11,9366.33333333334,,,,
2019-02-12,9366.33333333334,,,,
2019-02-13,9366.33333333334,,,,
2019-02-14,9366.5,,,,
2019-02-15,9366.5,,,,
2019-02-16,9365.83333333334,,,,
2019-02-17,9364.5,,,,
2019-02-18,9367.16666666667,,,,
2019-02-19,9367.16666666667,,,,
2019-02-20,9367.16666666667,,,,
2019-02-21,9367.5,,,,
2019-02-22,9366.5,,,,
2019-02-23,9365.83333333334,,,,
2019-02-24,9363.83333333334,,,,
2019-02-25,9359.16666666667,,,,
2019-02-26,9351.16666666667,,,,
2019-02-27,9344.5,,,,
2019-02-28,9339.83333333334,,,9339.83333333334,
2019-03-01,9336.33333333334,,,,
2019-03-02,9333,,,,
2019-03-03,9328.33333333334,,,,
2019-03-04,9322.33333333334,,,,
2019-03-05,9313.66666666667,,,,
2019-03-06,9307.66666666667,,,,
2019-03-07,9299.33333333334,,,,
2019-03-08,9291.66666666667,,,,
2019-03-09,9284.33333333334,,,,
2019-03-10,9275.66666666667,,,,
2019-03-11,9268.33333333334,,,,
