<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:7d602c774ecf1ddd73800553ed060bf48eda26ec7c25ba92632cb9a7a289b677
size 534
=======
STARTDATE,ENDDATE,ANOMALY,LEAD,LAG,LEADLAG,NEITHER
2007-06-08,2007-07-20,supply,,,1,
2010-12-13,2011-01-24,supply,,1,,
2011-01-12,2011-02-23,supply,,,2,
2013-08-06,2013-09-17,supply,,,3,
2013-09-09,2013-10-21,supply,,,4,
2013-11-25,2014-01-06,supply,,,5,
2013-12-18,2014-01-29,supply,1,,,
2014-03-15,2014-04-26,supply,,,,1
2015-10-14,2015-11-25,supply,,,6,
2016-04-07,2016-05-19,supply,,,,2
2017-05-24,2017-07-05,supply,,,,3
2018-05-24,2018-07-05,supply,,,,4
2019-09-13,2019-10-25,supply,,,7,
from 2006`,,,1,1,7,4
from 2011,,,1,0,6,4
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
