<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:9a29f3a104c273adb344b35834433d7ad97ca55f79f752630f30f5abbb2cb880
size 806
=======
STARTDATE,ENDDATE,ANOMALY,LEAD,LAG,LEADLAG,NEITHER
2007-01-02,2007-02-13,weather,,,,1
2007-08-02,2007-09-13,weather,,,,2
2008-10-19,2008-11-30,weather,,,1,
2009-10-04,2009-11-15,weather,,,2,
2009-11-14,2009-12-26,weather,,,3,
2009-12-18,2010-01-29,hoarding,1,,,
2010-11-30,2011-01-11,hoarding,,,4,
2010-12-30,2011-02-10,hoarding,,,5,
2011-06-29,2011-08-10,weather,,,6,
2012-04-27,2012-06-08,hoarding,,,,3
2012-12-06,2013-01-17,hoarding,,1,,
2013-05-08,2013-06-19,weather,,,7,
2014-03-28,2014-05-09,weather,,2,,
2014-06-15,2014-07-27,hoarding,,,8,
2015-07-23,2015-09-03,weather,,,9,
2016-03-10,2016-04-21,weather,2,,,
2017-08-09,2017-09-20,hoarding,,,10,
2019-08-11,2019-09-22,hoarding,,,11,
2019-09-10,2019-10-22,hoarding,,,12,
2019-10-11,2019-11-22,hoarding,,,13,
FROM 2006,,,2,2,13,3
FROM 2011,,,1,2,7,2
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
