<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b2630167720b590e7b3842bdebabf2c3d0c090bd40fde8267b92b5332a36d31f
size 1627
=======
STARTDATE,ENDDATE,ANOMALY,LEAD,LAG,LEADLAG,NEITHER
2007-01-28,2007-03-11,weather,,,1,
2007-06-15,2007-07-27,weather,,,2,
2007-07-05,2007-08-16,weather,,,3,
2008-03-13,2008-04-24,hoarding,,,4,
2008-06-30,2008-08-11,weather,,,5,
2008-08-02,2008-09-13,weather,,,6,
2008-09-16,2008-10-28,hoarding,,,7,
2008-12-20,2009-01-31,weather,,,8,
2009-03-08,2009-04-19,hoarding,1,,,
2009-04-09,2009-05-21,weather,,,9,
2009-05-30,2009-07-11,weather,,,10,
2009-06-16,2009-07-28,hoarding,,,11,
2009-08-10,2009-09-21,hoarding,,,12,
2009-09-05,2009-10-17,hoarding,,,13,
2009-10-01,2009-11-12,hoarding,,,14,
2009-11-13,2009-12-25,weather,,,15,
2009-12-21,2010-02-01,hoarding,,,16,
2010-06-14,2010-07-26,hoarding,,,17,
2010-09-10,2010-10-22,weather,,,18,
2011-08-05,2011-09-16,weather,,,19,
2011-09-06,2011-10-18,weather,2,,,
2012-03-14,2012-04-25,hoarding,3,,,
2012-04-24,2012-06-05,weather,,,20,
2012-06-06,2012-07-18,hoarding,,,21,
2012-07-16,2012-08-27,hoarding,,,22,
2012-08-06,2012-09-17,weather,,,23,
2013-07-27,2013-09-07,weather,,,24,
2013-08-09,2013-09-20,weather,,,25,
2013-09-30,2013-11-11,hoarding,,,26,
2013-10-30,2013-12-11,hoarding,,,27,
2014-06-04,2014-07-16,hoarding,,,28,
2014-08-19,2014-09-30,hoarding,,,29,
2015-03-20,2015-05-01,hoarding,4,,,
2015-05-12,2015-06-23,hoarding,,,30,
2015-06-29,2015-08-10,weather,,,31,
2016-07-26,2016-09-06,weather,,,32,
2016-08-10,2016-09-21,hoarding,,,33,
2016-12-09,2017-01-20,hoarding,,,34,
2017-03-26,2017-05-07,hoarding,,,35,
2017-06-11,2017-07-23,weather,,,36,
2017-07-24,2017-09-04,weather,,,37,
2018-10-21,2018-12-03,hoarding,,1,,
2019-04-29,2019-06-11,hoarding,,,38,
from 2006, 4,1,38,0
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
