<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:fec336bf29386777ebe94489db7ec376f247348c1cc5bf91d3da42f57a6d19d6
size 684
=======
STARTDATE,ENDDATE,ANOMALY,LEAD,LAG,LEADLAG,NEITHER
2006-12-28,2007-02-08,supply,,,,1
2007-12-12,2008-01-23,supply,,,1,
2008-04-26,2008-06-07,supply,,,2,
2011-05-11,2011-06-23,supply,,1,,
2011-12-03,2012-01-14,supply,,,3,
2012-01-11,2012-02-22,supply,,,4,
2012-11-10,2012-12-22,supply,,2,,
2013-12-12,2014-01-23,supply,,3,,
2014-02-09,2014-03-23,supply,1,,,
2014-07-12,2014-08-23,supply,,,,1
2014-12-28,2015-02-08,supply,,4,,
2015-02-11,2015-03-25,supply,,,5,
2015-09-13,2015-10-25,supply,,,,2
2016-11-27,2017-01-08,supply,,5,,
2017-02-12,2017-03-26,supply,,,6,
2017-10-11,2017-11-22,supply,,,7,
2017-12-03,2018-01-14,supply,,,8,
2017-12-23,2018-02-03,supply,,,9,
from 20006,,,1,5,9,2
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
