<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:0353175d6b3daf8444bd8bef3e7ddd0c518998affa244ab7ded5185498715718
size 1703
=======
STARTDATA,ENDDATE,ANOMALY,LEAD,LAG,LEADLAG,NEITHER
2006-02-19,2006-04-02,weather,,,,1
2006-10-13,2006-11-24,weather,,,,2
2007-01-21,2007-03-04,hoarding,,,,3
2007-05-13,2007-06-24,weather,,,,4
2007-06-15,2007-07-27,weather,,,,5
2007-07-31,2007-09-11,weather,,,,6
2007-09-09,2007-10-21,weather,,,,7
2008-03-09,2008-04-20,hoarding,,1,,
2008-06-13,2008-07-25,weather,,2,,
2008-09-06,2008-10-18,weather,,3,,
2008-09-20,2008-11-01,weather,,,,8
2009-07-20,2009-08-31,weather,,,,9
2009-10-17,2009-11-28,weather,1,,,
2009-11-08,2009-12-20,weather,,4,,
2009-11-28,2010-01-09,hoarding,,,1,
2009-12-12,2010-01-23,hoarding,,,2,
2010-03-20,2010-05-01,hoarding,,,,10
2010-08-18,2010-09-29,weather,,,3,
2010-12-05,2011-01-16,hoarding,,,4,
2010-12-19,2011-01-30,hoarding,,,5,
2011-01-15,2011-02-26,hoarding,,5,,
2011-07-23,2011-09-03,hoarding,,6,,
2011-08-13,2011-09-24,weather,,7,,
2011-10-15,2011-11-26,hoarding,2,,,
2012-03-28,2012-05-09,hoarding,,8,,
2012-07-01,2012-08-12,weather,,,,11
2012-12-07,2013-01-18,weather,3,,,
2013-01-17,2013-02-28,hoarding,4,,,
2013-06-29,2013-08-10,weather,,,6,
2013-08-30,2013-10-11,weather,,,7,
2013-09-30,2013-11-11,hoarding,,,8,
2013-10-24,2013-12-05,hoarding,,,9,
2014-05-26,2014-07-07,hoarding,,,10,
2014-08-22,2014-10-03,hoarding,,,11,
2015-06-10,2015-07-22,weather,,,12,
2015-07-11,2015-08-22,weather,,,13,
2015-08-04,2015-09-15,weather,,,14,
2016-05-30,2016-07-11,hoarding,,9,,
2016-10-23,2016-12-04,weather,,,15,
2017-07-20,2017-08-31,hoarding,,,16,
2017-08-25,2017-10-06,weather,,,17,
2017-09-22,2017-11-03,weather,5,,,
2019-06-15,2019-07-27,hoarding,,,18,
2019-08-12,2019-09-23,hoarding,,,19,
2019-09-13,2019-10-25,hoarding,,,20,
FROM 2006,,,5,9,20,11
FROM 2011,,,4,5,15,1
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
