<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4ae0acb25ea9bfbf9587eca6de23bb487c79e89259ace5119b7e5f69ff2ae905
size 1278
=======
STARTDATE,ENDDATE,ANOMALY,LEAD,LAG,LEADLAG,NEITHER
2006-02-19,2006-04-02,weather,,,1,
2007-07-31,2007-09-11,weather,,,2,
2007-09-05,2007-10-17,hoarding,,,,1
2007-09-24,2007-11-05,weather,,1,,
2008-11-02,2008-12-14,weather,,,3,
2009-10-24,2009-12-05,weather,,,4,
2010-05-01,2010-06-12,weather,,,5,
2011-04-02,2011-05-14,weather,,2,,
2011-06-26,2011-08-07,weather,1,,,
2011-07-23,2011-09-03,weather,,,6,
2012-12-23,2013-02-03,hoarding,,3,,
2013-06-10,2013-07-22,hoarding,,,7,
2013-08-29,2013-10-10,weather,,,8,
2013-09-27,2013-11-08,hoarding,,,9,
2013-11-13,2013-12-25,hoarding,2,,,
2014-05-23,2014-07-04,hoarding,,,10,
2014-06-25,2014-08-06,hoarding,,,11,
2015-06-11,2015-07-23,weather,,,12,
2015-07-06,2015-08-17,hoarding,,,13,
2015-08-18,2015-09-29,weather,,,14,
2015-09-19,2015-10-31,hoarding,,,15,
2016-02-12,2016-03-25,weather,,,,2
2016-04-03,2016-05-15,hoarding,,,,3
2016-05-18,2016-06-29,hoarding,,4,,
2016-06-07,2016-07-19,weather,,,16,
2016-07-23,2016-09-03,hoarding,3,,,
2017-07-14,2017-08-25,hoarding,,,17,
2017-08-15,2017-09-26,hoarding,4,,,
2017-09-23,2017-11-04,weather,,,18,
2019-06-15,2019-07-27,hoarding,,,,4
2019-08-11,2019-09-22,hoarding,,,19,
2019-09-10,2019-10-22,hoarding,,,19,
2019-10-11,2019-11-22,hoarding,,,19,
FROM 2006,,,4,4,19,4
FROM 2011,,,0,3,14,3
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
