<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:84f21d911cc857f8ddd18abf792597e00bf5eb93b8688c7f8bc8dc8b2a52b936
size 2107
=======
STARTDATE,ENDDATE,ANOMALY,LEAD,LAG,LEADLAG,NEITHER
2007-01-23,2007-03-06,weather,,1,,
2007-03-13,2007-04-24,hoarding,,,1,
2007-08-02,2007-09-13,weather,,,2,
2007-09-09,2007-10-21,weather,,,3,
2007-10-08,2007-11-19,hoarding,,,4,
2008-03-13,2008-04-24,hoarding,,,5,
2008-05-20,2008-07-01,hoarding,,,6,
2008-06-26,2008-08-07,weather,,,7,
2008-10-15,2008-11-26,hoarding,,,8,
2009-06-24,2009-08-05,weather,,2,,
2009-10-23,2009-12-04,weather,1,,,
2010-02-12,2010-03-26,hoarding,,,9,
2010-04-23,2010-06-04,hoarding,,,10,
2010-07-25,2010-09-05,weather,,,11,
2010-09-04,2010-10-16,weather,,,12,
2010-10-07,2010-11-18,weather,2,,,
2010-11-09,2010-12-21,weather,,,13,
2010-12-19,2011-01-30,hoarding,,,14,
2011-02-04,2011-03-18,hoarding,,,15,
2011-06-25,2011-08-06,hoarding,,,16,
2011-07-22,2011-09-02,weather,,,17,
2011-08-05,2011-09-16,weather,,,18,
2011-08-12,2011-09-23,weather,,,19,
2011-12-06,2012-01-17,weather,3,,,
2012-05-24,2012-07-05,weather,4,,,
2012-06-21,2012-08-02,hoarding,,,,1
2012-08-29,2012-10-10,hoarding,,,20,
2012-09-19,2012-10-31,weather,,,21,
2012-10-22,2012-12-03,weather,,,22,
2012-12-01,2013-01-13,hoarding,,,23,
2012-12-18,2013-01-29,hoarding,,,24,
2013-05-02,2013-06-13,hoarding,,,25,
2013-06-03,2013-07-15,hoarding,,,26,
2013-08-30,2013-10-11,weather,,,27,
2013-09-21,2013-11-02,hoarding,,,28,
2013-09-28,2013-11-09,weather,,,29,
2013-10-12,2013-11-23,hoarding,,,30,
2013-12-21,2014-02-01,hoarding,5,,,
2014-02-17,2014-03-31,weather,6,,,
2014-03-10,2014-04-21,hoarding,,3,,
2014-06-24,2014-08-05,weather,,,31,
2014-07-25,2014-09-05,weather,,,32,
2014-09-19,2014-10-31,hoarding,,,33,
2015-03-15,2015-04-26,weather,,,34,
2015-07-26,2015-09-06,weather,,4,,
2015-08-08,2015-09-19,weather,,,35,
2015-09-29,2015-11-10,weather,,,36,
2015-10-11,2015-11-22,hoarding,7,,,
2016-05-27,2016-07-08,weather,,,37,
2016-06-17,2016-07-29,hoarding,,,38,
2016-07-15,2016-08-26,weather,8,,,
2017-04-18,2017-05-30,hoarding,,,39,
2017-05-25,2017-07-06,weather,,,40,
2018-05-19,2018-06-30,weather,,,41,
2018-09-24,2018-11-05,hoarding,,5,,
2019-04-29,2019-06-11,hoarding,,,42,
from 2006,,,,,,
from 2011,,,8,5,42,1
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
