<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d2fc72483bea7bfa27911de359d4867405ddf26888f242cd6b18b81daccbe37e
size 683
=======
STARTDATE,ENDDATE,ANOMALY,LEAD,LAG,LEADLAG,NEITHER
2006-12-28,2007-02-08,supply,,,,1
2007-12-12,2008-01-23,supply,,,,2
2008-04-26,2008-06-07,supply,,,1,
2008-12-25,2009-02-05,supply,,,2,
2010-03-01,2010-04-12,supply,,,3,
2011-05-11,2011-06-23,supply,,,4,
2011-12-03,2012-01-14,supply,,,5,
2011-12-12,2012-01-23,supply,,,6,
2013-12-13,2014-01-24,supply,,1,,
2014-02-10,2014-03-24,supply,1,,,
2014-07-13,2014-08-24,supply,,,,3
2014-12-30,2015-02-10,supply,,2,,
2015-02-03,2015-03-17,supply,,,7,
2015-02-23,2015-04-06,supply,,,8,
2015-09-12,2015-10-24,supply,,3,,
2016-09-10,2016-10-22,supply,,,,4
2017-02-22,2017-04-05,supply,2,,,
2017-12-11,2018-01-22,supply,,,,5
from 2006,,,2,3,8,5
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
