STARTDATE,ENDDATE,LASTMONTH,LASTYEAR,SAMEMONTH,MAXMINRATIO,STATENAME,MANDINAME,COMMODITY,NUMBER_OF_MATCHED,TEXT,PUBLISHEDDATE,AVG_COSINE,ARTICLETITLE,ARTICLEURL,CENTRENAME
2020-01-19,2020-03-02,Anomaly,Anomaly,Anomaly,1.3550848572556242,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,TIRUPATHI
2020-03-22,2020-05-04,Anomaly,Anomaly,Anomaly,1.2901838511987958,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,KARIMNAGAR
2020-03-29,2020-05-11,Anomaly,Anomaly,Anomaly,1.2901838511987958,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,KARIMNAGAR
2017-04-09,2017-05-22,Anomaly,Anomaly,Anomaly,1.282776834559517,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,CUTTACK
2020-03-15,2020-04-27,Anomaly,Anomaly,Anomaly,1.2549739822467094,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,VISAKHAPATNAM
2020-03-29,2020-05-11,Anomaly,Anomaly,Anomaly,1.2549739822467094,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,VISAKHAPATNAM
2017-04-09,2017-05-22,Anomaly,Anomaly,Anomaly,1.2497768255668629,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,BHUBANESHWAR
2020-03-29,2020-05-11,Anomaly,Anomaly,Anomaly,1.2253700617586512,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,TIRUPATHI
2017-04-16,2017-05-29,Anomaly,Anomaly,Anomaly,1.2140689162649527,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,BHUBANESHWAR
2017-04-16,2017-05-29,Anomaly,Anomaly,Anomaly,1.207319373703075,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,CUTTACK
2020-04-05,2020-05-18,Anomaly,Anomaly,Anomaly,1.1763321962122104,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,CUTTACK
2020-04-12,2020-05-25,Anomaly,Anomaly,Anomaly,1.1763321962122104,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,CUTTACK
2017-04-30,2017-06-12,Anomaly,Anomaly,Anomaly,1.1739396995451967,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,CUTTACK
2017-05-07,2017-06-19,Anomaly,Anomaly,Anomaly,1.1739396995451967,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,CUTTACK
2017-04-23,2017-06-05,Anomaly,Anomaly,Anomaly,1.1695906432748535,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,CUTTACK
2020-02-16,2020-03-30,Anomaly,Anomaly,Anomaly,1.1685339115769184,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,KARIMNAGAR
2017-04-23,2017-06-05,Anomaly,Anomaly,Anomaly,1.1634248318487548,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,BHUBANESHWAR
2017-04-23,2017-06-05,Anomaly,Anomaly,Anomaly,1.160507052312087,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,SAMBALPUR
2020-03-22,2020-05-04,Anomaly,Anomaly,Anomaly,1.1567493383001666,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,TIRUPATHI
2019-08-11,2019-09-23,Anomaly,Anomaly,Anomaly,1.1536982438148955,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,VIJAYWADA
2020-04-19,2020-06-01,Anomaly,Anomaly,Anomaly,1.1528055522879659,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,CUTTACK
2020-08-16,2020-09-28,Anomaly,Anomaly,Anomaly,1.1469463778060975,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,KARIMNAGAR
2020-08-23,2020-10-05,Anomaly,Anomaly,Anomaly,1.1469463778060975,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),NA,NA,NA,NA,NA,NA,KARIMNAGAR
