<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b76a7a6602b2400216613a7e57d792097d7ec5e5456da7dc86e7f75a520e45c3
size 18262
=======
STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2016-01-01,2016-02-13,1440.0,1390.0,1.0352264557872035
2016-01-08,2016-02-20,1440.0,1210.0,1.1890999174236168
2016-01-15,2016-02-27,1426.3135565570258,1050.0,1.3571013858772842
2016-01-22,2016-03-05,1426.3135565570258,1020.0,1.3969770387434142
2016-01-29,2016-03-12,1425.0,1020.0,1.3956904995102841
2016-02-01,2016-03-15,1425.0,1020.0,1.3956904995102841
2016-02-08,2016-03-22,1425.0,1020.0,1.3956904995102841
2016-02-15,2016-03-29,1400.0,1020.0,1.3712047012732616
2016-02-22,2016-04-05,1210.0,1020.0,1.1851126346718903
2016-02-29,2016-04-12,1180.0,1020.0,1.1557296767874632
2016-03-07,2016-04-19,1165.0,1050.0,1.1084681255946718
2016-03-14,2016-04-26,1165.0,1050.0,1.1084681255946718
2016-03-21,2016-05-03,1140.0,1050.0,1.0846812559467174
2016-03-28,2016-05-10,1140.0,1050.0,1.0846812559467174
2016-04-04,2016-05-17,1111.6222197570382,1040.0,1.0678407490461463
2016-04-11,2016-05-24,1111.6222197570382,1035.0,1.0729944206149018
2016-04-18,2016-05-31,1100.0,1000.0,1.098901098901099
2016-04-25,2016-06-07,1100.0,1000.0,1.098901098901099
2016-05-02,2016-06-14,1090.0,990.0,1.099899091826438
2016-05-09,2016-06-21,1090.0,990.0,1.099899091826438
2016-05-16,2016-06-28,1070.0,950.0,1.125131440588854
2016-05-23,2016-07-05,1045.0,948.2352947327953,1.1008861615224306
2016-05-30,2016-07-12,1024.3902412585105,948.2352947327953,1.0791742015312136
2016-06-06,2016-07-19,1024.3902412585105,948.2352947327953,1.0791742015312136
2016-06-13,2016-07-26,1100.0,948.2352947327953,1.1588275384446636
2016-06-20,2016-08-02,1100.0,948.2352947327953,1.1588275384446636
2016-06-27,2016-08-09,1100.0,948.2352947327953,1.1588275384446636
2016-07-04,2016-08-16,1100.0,948.2352947327953,1.1588275384446636
2016-07-11,2016-08-23,1100.0,1000.0,1.098901098901099
2016-07-18,2016-08-30,1100.0,1010.0,1.0880316518298714
2016-07-25,2016-09-06,1100.0,990.0,1.1099899091826437
2016-08-01,2016-09-13,1100.0,939.384333245325,1.1697345022793302
2016-08-08,2016-09-20,1100.0,815.1103598342125,1.3478569249181664
2016-08-15,2016-09-27,1090.0,716.7591811707305,1.5186151965651082
2016-08-22,2016-10-04,1080.0,680.0,1.5859030837004404
2016-08-29,2016-10-11,1040.0,665.6000025199993,1.5601560097035823
2016-09-05,2016-10-18,1016.7092448968739,665.6000025199993,1.5252163832183163
2016-09-12,2016-10-25,955.9490584142842,665.6000025199993,1.4340669888995445
2016-09-19,2016-11-01,850.0,665.6000025199993,1.2751275079308124
2016-09-26,2016-11-08,850.0,665.6000025199993,1.2751275079308124
2016-10-03,2016-11-15,850.0,665.6000025199993,1.2751275079308124
2016-10-10,2016-11-22,851.874997916669,670.0,1.2695603545702967
2016-10-17,2016-11-29,880.0,670.0,1.3114754098360655
2016-10-24,2016-12-06,880.0,765.0,1.1488250652741514
2016-10-31,2016-12-13,880.0,650.0,1.3517665130568357
2016-11-07,2016-12-20,890.0,650.0,1.3671274961597542
2016-11-14,2016-12-27,890.0,650.0,1.3671274961597542
2016-11-21,2017-01-03,890.0,650.0,1.3671274961597542
