<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:30ce0a67b153dbc78cc3ed422e2c2ef122601fdb52b5a39f919caf82a638e4cc
size 62401
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Asansol,01/08/2019,52.4,Jyoti,940,980,960
,02/08/2019,51.8,Jyoti,940,980,960
,03/08/2019,50.5,Jyoti,940,980,960
,04/08/2019,18,Jyoti,940,980,960
,05/08/2019,48,Jyoti,960,1000,980
,06/08/2019,46.8,Jyoti,960,1000,980
,07/08/2019,45.6,Jyoti,960,1000,980
,08/08/2019,44.6,Jyoti,960,1000,980
,09/08/2019,44,Jyoti,960,1000,980
,10/08/2019,43,Jyoti,960,1000,980
,11/08/2019,14,Jyoti,960,1000,980
,12/08/2019,41,Jyoti,960,1000,980
,13/08/2019,43,Jyoti,940,980,960
,14/08/2019,44,Jyoti,900,940,940
,15/08/2019,40,Jyoti,940,980,960
,16/08/2019,41,Jyoti,940,980,960
,17/08/2019,38,Jyoti,940,980,960
,18/08/2019,10,Jyoti,940,980,960
,19/08/2019,42,Jyoti,940,980,960
,20/08/2019,40.8,Jyoti,940,980,960
,21/08/2019,37.2,Jyoti,1000,1020,1000
,22/08/2019,36.6,Jyoti,980,1020,1000
,23/08/2019,35.6,Jyoti,980,1020,1000
,24/08/2019,35,Jyoti,980,1020,1000
,25/08/2019,11,Jyoti,980,1020,1000
,26/08/2019,35,Jyoti,980,1020,1000
,27/08/2019,35.7,Jyoti,980,1020,1000
,28/08/2019,35.1,Jyoti,1000,1020,1000
,29/08/2019,34.2,Jyoti,980,1020,1000
,30/08/2019,34.8,Jyoti,960,1000,1000
,31/08/2019,35,Jyoti,960,1000,980
Balarampur,01/08/2019,15.15,Other,830,850,840
,02/08/2019,15.25,Other,820,840,830
,03/08/2019,15.15,Other,830,850,840
,04/08/2019,15.25,Other,820,860,840
,06/08/2019,15.25,Other,840,860,850
,07/08/2019,15.25,Other,840,850,840
,08/08/2019,15.15,Other,840,860,850
,09/08/2019,15.25,Other,830,850,840
,10/08/2019,15.25,Other,830,850,840
,11/08/2019,15.35,Other,830,850,840
,12/08/2019,15.25,Other,840,860,850
,13/08/2019,15.35,Other,830,850,840
,16/08/2019,15.25,Other,830,850,840
,17/08/2019,15.2,Other,840,860,850
,18/08/2019,15.2,Other,830,850,840
,19/08/2019,15.15,Other,840,860,850
,21/08/2019,15.1,Other,850,880,860
,22/08/2019,15.2,Other,850,870,860
,23/08/2019,15.25,Other,850,870,860
,24/08/2019,15.05,Other,860,880,870
,25/08/2019,15.25,Other,840,880,860
,26/08/2019,15.25,Other,840,870,860
,27/08/2019,15.15,Other,850,870,860
,28/08/2019,15.45,Other,840,860,850
,29/08/2019,15.35,Other,850,870,860
,30/08/2019,15.15,Other,840,860,850
,31/08/2019,15.25,Other,830,850,840
Balurghat,01/08/2019,3.9,Local,830,880,850
,02/08/2019,4.1,Local,840,880,850
,05/08/2019,4.3,Local,800,850,830
,06/08/2019,4,Local,850,925,900
,07/08/2019,4.1,Local,800,900,850
,08/08/2019,4,Local,800,900,850
,09/08/2019,3.8,Local,780,830,800
,10/08/2019,3.9,Local,800,850,820
,11/08/2019,4.2,Local,820,870,850
,12/08/2019,4,Local,820,860,840
,13/08/2019,3.9,Local,850,870,860
,14/08/2019,4.1,Local,830,860,850
,16/08/2019,4.2,Local,800,850,830
,17/08/2019,4.5,Local,830,870,850
,18/08/2019,4.1,Local,850,900,870
,19/08/2019,3.9,Local,850,880,860
,20/08/2019,4.1,Local,840,870,860
,21/08/2019,3.8,Local,800,850,830
,22/08/2019,4.1,Local,850,950,900
,23/08/2019,4,Local,840,900,860
,24/08/2019,3.9,Local,800,840,820
,25/08/2019,4,Local,840,870,850
,26/08/2019,3.7,Local,840,900,870
,27/08/2019,3.9,Local,820,850,840
,28/08/2019,4.2,Local,800,850,820
,29/08/2019,4.1,Local,830,870,850
,30/08/2019,3.9,Local,850,880,870
Bankura Sadar,01/08/2019,24,Jyoti,825,840,830
,06/08/2019,25,Jyoti,830,850,840
Bara Bazar (Posta Bazar),01/08/2019,6,Jyoti,1020,1040,1020
,,,Other,900,920,900
,02/08/2019,5,Jyoti,1000,1020,1000
,,,Other,880,900,900
,05/08/2019,7.5,Jyoti,1000,1020,1000
,,,Other,880,900,900
,06/08/2019,5,Jyoti,1000,1020,1000
,,,Other,880,900,900
,07/08/2019,7.5,Jyoti,1000,1020,1000
,,,Other,880,900,900
,08/08/2019,6,Jyoti,1000,1020,1000
,,,Other,860,880,880
,09/08/2019,5,Jyoti,1000,1020,1000
,,,Other,860,880,870
,13/08/2019,5,Jyoti,1000,1020,1020
,,,Other,880,900,900
,14/08/2019,6,Jyoti,1000,1020,1000
,,,Other,880,900,900
,16/08/2019,5,Jyoti,1000,1020,1000
,,,Other,840,860,840
,17/08/2019,7.5,Jyoti,1000,1020,1000
,,,Other,800,840,820
,20/08/2019,5,Jyoti,1000,1020,1020
,,,Other,830,850,840
,21/08/2019,5,Jyoti,1000,1020,1020
,,,Other,840,850,840
,22/08/2019,6,Jyoti,1000,1020,1020
,,,Other,860,870,860
,23/08/2019,7.5,Jyoti,1000,1020,1020
,,,Other,850,860,860
,24/08/2019,5,Jyoti,1000,1020,1020
,,,Other,850,860,860
,26/08/2019,5,Jyoti,1000,1020,1020
,,,Other,860,880,860
,27/08/2019,6,Jyoti,1000,1020,1020
,,,Other,850,870,860
,28/08/2019,5,Jyoti,1000,1020,1010
,,,Other,870,890,880
,29/08/2019,6,Jyoti,1000,1020,1020
,,,Other,870,880,880
,30/08/2019,5,Jyoti,1000,1010,1010
,,,Other,870,880,880
,31/08/2019,5,Jyoti,1000,1010,1010
,,,Other,870,880,880
Barasat,01/08/2019,190,Other,1000,1000,1000
,02/08/2019,185,Other,1000,1000,1000
,03/08/2019,180,Other,1000,1000,1000
,04/08/2019,175,Other,1000,1000,1000
,05/08/2019,180,Other,960,960,960
,06/08/2019,175,Other,960,960,960
,07/08/2019,170,Other,960,960,960
,08/08/2019,170,Other,960,960,960
,09/08/2019,175,Other,960,960,960
,10/08/2019,170,Other,960,960,960
,11/08/2019,172,Other,960,960,960
,12/08/2019,170,Other,960,960,960
,13/08/2019,175,Other,960,960,960
,14/08/2019,160,Other,960,960,960
,15/08/2019,165,Other,960,960,960
,16/08/2019,170,Other,960,960,960
,17/08/2019,165,Other,960,960,960
,18/08/2019,175,Other,960,960,960
,19/08/2019,170,Other,970,970,970
,20/08/2019,160,Other,980,980,980
,21/08/2019,165,Other,990,990,990
,22/08/2019,170,Other,990,990,990
,23/08/2019,160,Other,1000,1000,1000
,24/08/2019,165,Other,1000,1000,1000
,25/08/2019,160,Other,1000,1000,1000
,26/08/2019,170,Other,1000,1000,1000
,27/08/2019,170,Other,1000,1000,1000
,28/08/2019,165,Other,1000,1000,1000
,29/08/2019,160,Other,1000,1000,1000
,30/08/2019,170,Other,1000,1000,1000
Baruipur(Canning),01/08/2019,29,Jyoti,950,1000,970
,02/08/2019,32,Jyoti,950,990,970
,04/08/2019,31.5,Jyoti,940,980,960
,05/08/2019,30,Jyoti,940,970,960
,06/08/2019,31,Jyoti,950,1000,970
,07/08/2019,29,Jyoti,950,1000,980
,08/08/2019,30,Jyoti,950,980,970
,10/08/2019,28.5,Jyoti,900,960,940
,11/08/2019,29,Jyoti,940,980,960
,12/08/2019,28,Jyoti,950,1000,970
,13/08/2019,28,Jyoti,1000,1080,1040
,14/08/2019,31,Jyoti,980,1040,1020
,15/08/2019,24.5,Jyoti,1000,1100,1050
,16/08/2019,23,Jyoti,1000,1100,1050
,17/08/2019,32.5,Jyoti,1050,1125,1100
,18/08/2019,29.5,Jyoti,1025,1125,1100
,19/08/2019,31,Jyoti,1050,1175,1150
,20/08/2019,30,Jyoti,950,1050,1000
,21/08/2019,27,Jyoti,1000,1080,1050
,23/08/2019,27.5,Jyoti,1050,1150,1100
,24/08/2019,31,Jyoti,980,1080,1020
,25/08/2019,26,Jyoti,980,1100,1020
,26/08/2019,26,Jyoti,1050,1100,1080
,27/08/2019,27,Jyoti,1100,1200,1150
,28/08/2019,27,Jyoti,900,1100,1000
,29/08/2019,23.5,Jyoti,950,1150,1000
,30/08/2019,26.5,Jyoti,1000,1080,1050
,31/08/2019,27,Jyoti,1000,1150,1050
Baxirhat,01/08/2019,162,Jyoti,750,850,800
,02/08/2019,172,Jyoti,750,850,800
,04/08/2019,160,Jyoti,800,1000,900
,05/08/2019,162,Jyoti,800,1000,900
,06/08/2019,165,Jyoti,800,1000,900
,07/08/2019,155,Jyoti,800,1000,900
,08/08/2019,155,Jyoti,800,1000,900
,09/08/2019,166,Jyoti,800,1000,900
,10/08/2019,158,Jyoti,800,1000,900
,11/08/2019,162,Jyoti,800,1000,900
,12/08/2019,160,Jyoti,800,1000,900
,13/08/2019,170,Jyoti,800,1000,900
,14/08/2019,165,Jyoti,800,1000,900
,15/08/2019,152,Jyoti,800,1000,900
,16/08/2019,172,Jyoti,800,1000,900
,17/08/2019,160,Jyoti,800,1000,900
,18/08/2019,156,Jyoti,800,1000,900
,19/08/2019,164,Jyoti,800,1000,900
,24/08/2019,163,Jyoti,800,1000,900
,25/08/2019,160,Jyoti,800,1000,900
,26/08/2019,166,Jyoti,800,1000,900
,27/08/2019,170,Jyoti,800,1000,900
,28/08/2019,160,Jyoti,800,1000,900
,29/08/2019,162,Jyoti,800,1000,900
,30/08/2019,170,Jyoti,800,1000,900
,31/08/2019,165,Jyoti,800,1000,900
Belacoba,23/08/2019,2,Jyoti,1000,1100,1050
,24/08/2019,2,Jyoti,1000,1100,1050
,25/08/2019,2,Jyoti,1000,1100,1050
,26/08/2019,2,Jyoti,1000,1100,1050
Beldanga,01/08/2019,65,Jyoti,915,930,920
,02/08/2019,70,Jyoti,915,930,920
,03/08/2019,70,Jyoti,920,940,930
,04/08/2019,75,Jyoti,935,945,940
,05/08/2019,75,Jyoti,935,945,940
,06/08/2019,75,Jyoti,935,945,940
,07/08/2019,75,Jyoti,920,940,930
,08/08/2019,75,Jyoti,920,940,930
,09/08/2019,70,Jyoti,930,945,940
,10/08/2019,75,Jyoti,930,950,940
,11/08/2019,70,Jyoti,940,950,945
