<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:570ce76057a7c253480935ee0398eb933ecbfe280fae7bf38d4206b20985a020
size 64407
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Alipurduar,01/12/2019,10,Jyoti,1430,1470,1450
,,,Red,1680,1720,1700
,02/12/2019,10,Jyoti,1430,1470,1450
,,,Red,1680,1720,1700
,03/12/2019,10,Jyoti,1430,1470,1450
,,,Red,1680,1720,1700
,04/12/2019,10,Jyoti,1480,1520,1500
,,,Other,1680,1720,1700
,05/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1725,1775,1750
,06/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1725,1775,1750
,07/12/2019,10,Jyoti,1580,1620,1600
,,,Red,1820,1860,1840
,08/12/2019,10,Jyoti,1580,1620,1600
,,,Red,1820,1860,1840
,09/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1750,1800,1775
,10/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1775,1810,1800
,11/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1775,1810,1800
,12/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1775,1820,1800
,13/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1950,2050,2000
,14/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1950,2050,2000
,15/12/2019,10,Jyoti,1480,1520,1500
,,,Other,2190,2220,2200
,16/12/2019,10,Jyoti,1480,1520,1500
,,,Red,2190,2220,2200
,17/12/2019,10,Jyoti,1480,1520,1500
,,,Red,2190,2220,2200
,18/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1975,2025,2000
,19/12/2019,10,Jyoti,1480,1520,1500
,,,Red,1975,2025,2000
,20/12/2019,10,Jyoti,1580,1610,1600
,,,Red,2180,2210,2200
,23/12/2019,10,Jyoti,1785,1810,1800
,,,Red,2185,2210,2200
,24/12/2019,10,Jyoti,1785,1810,1800
,,,Red,2185,2210,2200
,26/12/2019,10,Jyoti,1785,1810,1800
,,,Red,2185,2210,2200
,30/12/2019,10,Jyoti,1785,1810,1800
,,,Red,2185,2210,2200
Asansol,01/12/2019,20,Jyoti,1580,1620,1600
,02/12/2019,34.6,Jyoti,1600,1620,1600
,03/12/2019,33,Jyoti,1600,1620,1600
,04/12/2019,34.6,Jyoti,1580,1620,1600
,05/12/2019,32.8,Jyoti,1640,1680,1640
,06/12/2019,30,Jyoti,1700,1740,1700
,07/12/2019,28.1,Jyoti,1740,1780,1740
,08/12/2019,1.5,Jyoti,1760,1780,1760
,09/12/2019,26,Jyoti,1800,1840,1820
,10/12/2019,25.6,Jyoti,1800,1840,1820
,11/12/2019,25,Jyoti,1800,1820,1800
,12/12/2019,24,Jyoti,1800,1840,1800
,13/12/2019,23,Jyoti,1760,1800,1800
,14/12/2019,25,Jyoti,1800,1840,1820
,15/12/2019,12,Jyoti,1800,1840,1820
,16/12/2019,24,Jyoti,1820,1860,1840
,17/12/2019,23,Jyoti,1920,1960,1940
,18/12/2019,22.4,Jyoti,1960,1980,1960
,19/12/2019,23.4,Jyoti,1940,1980,1960
,20/12/2019,24.2,Jyoti,2000,2040,2000
,21/12/2019,24,Jyoti,2000,2080,2040
,22/12/2019,12,Jyoti,2040,2080,2040
,23/12/2019,24,Jyoti,2040,2100,2040
,24/12/2019,25,Jyoti,2200,2280,2240
,25/12/2019,26.4,Jyoti,2300,2380,2340
,26/12/2019,28,Jyoti,2000,2040,2000
,27/12/2019,30,Jyoti,2340,2380,2360
,28/12/2019,31,Jyoti,2100,2400,2360
,29/12/2019,12,Jyoti,2340,2380,2360
,30/12/2019,32,Jyoti,2300,2360,2340
,31/12/2019,33,Jyoti,2200,2300,2300
Balarampur,01/12/2019,14.95,Other,1360,1400,1380
,02/12/2019,14.85,Other,1360,1420,1380
,03/12/2019,14.55,Other,1520,1560,1540
