<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:9227d0d4351a99b097a67b627b82bf798faf2dc8587725081a0c5e8306f24cfd
size 57153
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Alipurduar,01/10/2019,10,Jyoti,800,900,820
,,,Red,1240,1280,1260
,02/10/2019,10,Jyoti,800,900,820
,,,Red,1240,1280,1260
,14/10/2019,10,Jyoti,1110,1150,1130
,,,Red,1300,1400,1350
,15/10/2019,10,Jyoti,1110,1150,1130
,,,Red,1300,1400,1350
,16/10/2019,10,Jyoti,1110,1150,1130
,,,Red,1300,1400,1350
,17/10/2019,10,Jyoti,1150,1200,1175
,,,Red,1350,1400,1375
,18/10/2019,10,Jyoti,1180,1220,1200
,,,Red,1380,1420,1400
,21/10/2019,10,Jyoti,1425,1475,1450
,,,Red,1590,1630,1610
,22/10/2019,10,Jyoti,1350,1425,1400
,,,Red,1590,1630,1610
,23/10/2019,10,Jyoti,1330,1370,1350
,,,Red,1625,1675,1650
,24/10/2019,10,Jyoti,1330,1375,1350
,,,Red,1610,1650,1625
,25/10/2019,10,Jyoti,1290,1310,1300
,,,Red,1575,1625,1600
Asansol,01/10/2019,41,Jyoti,940,980,960
,02/10/2019,39,Jyoti,1000,1040,1020
,03/10/2019,37,Jyoti,1040,1080,1040
,04/10/2019,32,Jyoti,1140,1240,1200
,05/10/2019,29,Jyoti,1200,1260,1220
,06/10/2019,20,Jyoti,1300,1360,1320
,07/10/2019,15,Jyoti,1340,1400,1360
,08/10/2019,12,Jyoti,1360,1400,1380
,09/10/2019,14,Jyoti,1360,1400,1380
,10/10/2019,16.2,Jyoti,1380,1420,1400
,11/10/2019,20,Jyoti,1360,1400,1380
,12/10/2019,24,Jyoti,1360,1400,1380
,13/10/2019,19,Jyoti,1380,1400,1380
,14/10/2019,23,Jyoti,1380,1400,1380
,15/10/2019,28,Jyoti,1360,1400,1380
,16/10/2019,30,Jyoti,1360,1380,1360
,17/10/2019,26,Jyoti,1380,1400,1380
,18/10/2019,25,Jyoti,1380,1420,1380
,19/10/2019,23,Jyoti,1400,1420,1400
,20/10/2019,12,Jyoti,1400,1440,1400
,21/10/2019,24,Jyoti,1400,1440,1420
,22/10/2019,22,Jyoti,1460,1480,1460
,23/10/2019,21,Jyoti,1460,1500,1480
,24/10/2019,22,Jyoti,1460,1500,1480
