<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:963d947f99bfb2f19f5bf245b06a7484f5289321b9e56f1068c1df4e42e8b5cf
size 3881
=======
DATE,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,0.4122538203867703,Anomaly,Normal,Normal
2016-02-01,0.17846598384853068,Anomaly,Normal,Normal
2016-03-01,0.204226342062462,Anomaly,Anomaly,Normal
2016-04-01,0.4312847313657264,Anomaly,Anomaly,Normal
2016-05-01,0.2528926437773355,Anomaly,Anomaly,Normal
2016-06-01,0.054408440940581095,Normal,Normal,Normal
2016-07-01,0.3438793867619942,Anomaly,Normal,Normal
2016-08-01,0.21760605904487287,Normal,Normal,Normal
2016-09-01,0.3744691597244436,Anomaly,Anomaly,Normal
2016-10-01,0.27574952947575704,Anomaly,Anomaly,Normal
2016-11-01,0.31373771108533305,Anomaly,Anomaly,Normal
2016-12-01,0.0890252383351384,Normal,Normal,Normal
2017-01-01,0.0,Normal,Normal,Normal
2017-02-01,0.38829976406445793,Anomaly,Anomaly,Anomaly
2017-03-01,0.06581815941695239,Normal,Normal,Normal
2017-04-01,0.24472452653478785,Anomaly,Anomaly,Anomaly
2017-05-01,0.06981371344969041,Anomaly,Normal,Normal
2017-06-01,0.1628648615814884,Normal,Anomaly,Anomaly
2017-07-01,0.4378745746958503,Anomaly,Anomaly,Anomaly
2017-08-01,0.10499527999288806,Normal,Normal,Normal
2017-09-01,0.4470993107668781,Anomaly,Anomaly,Anomaly
2017-10-01,0.06472663455350411,Normal,Normal,Normal
2017-11-01,0.2328881844027332,Anomaly,Normal,Anomaly
2017-12-01,0.4585595460267408,Anomaly,Anomaly,Anomaly
2018-01-01,0.1824331167607841,Anomaly,Normal,Anomaly
2018-02-01,0.1391587677691842,Normal,Anomaly,Normal
2018-03-01,0.1204297645953836,Normal,Normal,Normal
2018-04-01,0.2456397797218969,Anomaly,Anomaly,Anomaly
2018-05-01,0.22197843116803,Anomaly,Anomaly,Normal
2018-06-01,0.1494211070471629,Normal,Anomaly,Anomaly
2018-07-01,0.06446164639714959,Normal,Normal,Normal
2018-08-01,0.2420069157612706,Anomaly,Anomaly,Normal
2018-09-01,0.1044879693542479,Normal,Normal,Normal
2018-10-01,0.2145305921316473,Anomaly,Normal,Normal
2018-11-01,0.20892528212716,Anomaly,Anomaly,Anomaly
2018-12-01,0.2473636775152477,Anomaly,Anomaly,Anomaly
2019-01-01,0.5307639774913209,Anomaly,Anomaly,Anomaly
2019-02-01,0.2386501389915777,Normal,Normal,Anomaly
2019-03-01,0.054130141662994,Normal,Normal,Normal
2019-04-01,0.5136948876291758,Anomaly,Anomaly,Anomaly
2019-05-01,0.05629764384195784,Normal,Normal,Normal
2019-06-01,0.1789456779371426,Normal,Anomaly,Anomaly
2019-07-01,0.11146785602825694,Normal,Normal,Normal
2019-08-01,0.17741054329716535,Normal,Normal,Normal
2019-09-01,0.1281152172584654,Normal,Normal,Normal
2019-10-01,0.08848185052855669,Anomaly,Normal,Normal
2019-11-01,0.08372170925454926,Normal,Normal,Normal
2019-12-01,0.11111138470624753,Normal,Normal,Normal
2020-01-01,0.09954688811301332,Normal,Normal,Normal
2020-02-01,0.28647757849481353,Anomaly,Anomaly,Anomaly
2020-03-01,0.17200305042313022,Normal,Anomaly,Normal
2020-04-01,0.13691082142997732,Normal,Normal,Anomaly
2020-05-01,0.13602983779557862,Normal,Normal,Normal
2020-06-01,0.2098469213882881,Normal,Anomaly,Anomaly
2020-07-01,0.21046049203243428,Anomaly,Normal,Normal
2020-08-01,0.24884533717675356,Anomaly,Anomaly,Anomaly
2020-09-01,0.14259157729708144,Anomaly,Normal,Normal
2020-10-01,0.12741011614944495,Normal,Anomaly,Normal
2020-11-01,0.13831613925126154,Anomaly,Anomaly,Normal
2020-12-01,0.1483581429225268,Normal,Anomaly,Normal
2021-01-01,0.6895372291405681,Anomaly,Anomaly,Anomaly
2021-02-01,0.2346123326897754,Normal,Normal,Anomaly
2021-03-01,0.22964605234889654,Anomaly,Normal,Anomaly
2021-04-01,0.0370055523865044,Normal,Normal,Normal
2021-05-01,0.04300512407136698,Normal,Normal,Normal
2021-06-01,0.19455078785559413,Normal,Anomaly,Anomaly
2021-07-01,0.12587716562589138,Normal,Normal,Normal
2021-08-01,0.09570015818873756,Normal,Normal,Normal
2021-09-01,0.059765052076770936,Normal,Normal,Normal
2021-10-01,0.4005631104789697,Anomaly,Anomaly,Anomaly
2021-11-01,0.28980161895673434,Anomaly,Normal,Anomaly
2021-12-01,0.13224342529591904,Anomaly,Normal,Normal
2022-01-01,0.002889401715763458,Normal,Normal,Normal
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
