<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:346430786ec7978e986ff2ba567b583f19774f0b1ad4598585e57a6352fc809c
size 1370
=======
STARTDATE,ENDDATE,ANOMALY
2006-01-29,2006-03-12,1
2006-05-28,2006-07-09,0
2006-05-28,2006-07-09,1
2006-08-12,2006-09-23,0
2006-10-04,2006-11-15,0
2006-10-04,2006-11-15,1
2007-01-17,2007-02-28,1
2007-04-12,2007-05-24,0
2007-06-03,2007-07-15,1
2008-02-10,2008-03-23,0
2008-02-18,2008-03-31,0
2008-02-18,2008-03-31,1
2008-12-20,2009-01-31,0
2009-02-03,2009-03-17,0
2009-02-27,2009-04-10,0
2009-05-13,2009-06-24,0
2009-06-12,2009-07-24,1
2009-10-06,2009-11-17,1
2010-03-18,2010-04-29,1
2010-06-23,2010-08-04,0
2010-07-17,2010-08-28,1
2010-11-29,2011-01-10,0
2010-12-23,2011-02-03,1
2011-05-11,2011-06-22,0
2011-06-29,2011-08-10,0
2011-08-03,2011-09-14,1
2012-02-02,2012-03-15,0
2012-03-18,2012-04-29,0
2012-03-22,2012-05-03,0
2012-06-13,2012-07-25,0
2012-06-23,2012-08-04,1
2012-10-06,2012-11-17,0
2012-12-27,2013-02-07,1
2013-03-31,2013-05-12,0
2013-06-16,2013-07-28,0
2013-07-20,2013-08-31,1
2014-01-06,2014-02-17,0
2014-03-22,2014-05-03,0
2014-04-28,2014-06-09,0
2014-06-15,2014-07-27,1
2014-08-14,2014-09-25,0
2014-08-14,2014-09-25,1
2015-07-01,2015-08-12,1
2015-11-09,2015-12-21,0
2015-12-31,2016-02-11,0
2016-03-09,2016-04-20,0
2016-04-07,2016-05-19,0
2016-06-20,2016-08-01,1
2016-08-04,2016-09-15,0
2016-10-19,2016-11-30,0
2016-10-19,2016-11-30,1
2017-02-20,2017-04-03,0
2017-02-22,2017-04-05,0
2017-05-17,2017-06-28,0
2017-07-19,2017-08-30,1
2017-12-17,2018-01-28,0
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
