<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:ac0fb387b9bd0ac02b97d85298aeec9ecc6573bc6dffe9070e701a043172c4fb
size 482
=======
STARTDATE,ENDDATE,ANOMALY
2008-02-26,2008-04-08,1
2008-11-28,2009-01-09,1
2009-04-06,2009-05-18,0
2009-06-10,2009-07-22,0
2009-11-07,2009-12-19,1
2010-05-30,2010-07-11,0
2010-11-28,2011-01-09,1
2011-05-19,2011-06-30,0
2011-06-22,2011-08-03,0
2011-11-21,2012-01-02,1
2012-03-22,2012-05-03,0
2012-11-16,2012-12-28,1
2013-03-30,2013-05-11,0
2013-04-11,2013-05-23,1
2013-11-30,2014-01-11,1
2014-06-25,2014-08-06,0
2015-02-27,2015-04-10,1
2015-07-04,2015-08-15,0
2017-04-01,2017-05-13,1
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
