<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:8c3655e681539bddc10e33b9f203c8bf678d7b6b8a15518b6a9343acd1d31916
size 602
=======
STARTDATE,ENDDATE,ANOMALY
2007-05-22,2007-07-03,1
2007-09-21,2007-11-02,0
2007-10-19,2007-11-30,0
2007-11-29,2008-01-10,0
2008-04-18,2008-05-30,0
2008-05-12,2008-06-23,0
2008-09-05,2008-10-17,0
2009-04-24,2009-06-05,0
2009-08-06,2009-09-17,0
2009-09-22,2009-11-03,0
2010-02-27,2010-04-10,0
2010-12-02,2011-01-13,1
2011-04-30,2011-06-11,0
2011-09-07,2011-10-19,1
2013-09-05,2013-10-17,1
2013-12-02,2014-01-13,1
2014-03-31,2014-05-12,0
2016-05-04,2016-06-15,1
2016-09-02,2016-10-14,0
2016-10-26,2016-12-07,0
2017-01-03,2017-02-14,1
2017-03-16,2017-04-27,0
2017-06-21,2017-08-02,0
2019-09-25,2019-11-06,1
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
