<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:bc0075e44217b3c1e8d3db1d6737ea9bb21781a442a7438dc05cb869aea919c5
size 1394
=======
STARTDATE,ENDDATE,ANOMALY
2007-05-18,2007-06-29,1
2007-10-07,2007-11-18,0
2008-01-16,2008-02-27,0
2008-03-19,2008-04-30,0
2008-04-08,2008-05-20,0
2008-05-30,2008-07-11,0
2008-06-30,2008-08-11,0
2008-08-19,2008-09-30,0
2008-10-06,2008-11-17,0
2008-11-29,2009-01-10,0
2009-01-13,2009-02-24,0
2009-03-05,2009-04-16,0
2009-05-07,2009-06-18,0
2009-07-10,2009-08-21,0
2009-07-20,2009-08-31,0
2009-09-04,2009-10-16,0
2009-11-06,2009-12-18,0
2010-01-30,2010-03-13,0
2010-02-26,2010-04-09,0
2010-04-28,2010-06-09,0
2010-05-15,2010-06-26,0
2010-07-18,2010-08-29,0
2010-10-09,2010-11-20,0
2010-11-22,2011-01-03,1
2011-05-12,2011-06-23,0
2011-05-20,2011-07-01,0
2011-07-26,2011-09-06,0
2011-10-27,2011-12-08,0
2011-12-07,2012-01-18,0
2012-01-20,2012-03-02,0
2012-02-21,2012-04-03,0
2012-05-01,2012-06-12,0
2012-05-05,2012-06-16,0
2012-07-14,2012-08-25,0
2012-08-28,2012-10-09,0
2012-09-09,2012-10-21,0
2013-12-05,2014-01-16,1
2014-01-29,2014-03-12,0
2014-03-13,2014-04-24,0
2014-05-20,2014-07-01,0
2014-06-07,2014-07-19,0
2014-09-04,2014-10-16,0
2014-10-05,2014-11-16,0
2015-11-04,2015-12-16,1
2016-01-25,2016-03-07,0
2016-03-21,2016-05-02,0
2016-04-25,2016-06-06,1
2016-08-23,2016-10-04,0
2016-10-04,2016-11-15,0
2016-12-15,2017-01-26,0
2017-02-02,2017-03-16,0
2017-04-04,2017-05-16,0
2017-05-05,2017-06-16,0
2017-05-05,2017-06-16,1
2017-09-05,2017-10-17,0
2017-12-04,2018-01-15,0
2019-08-23,2019-10-04,1
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
