<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:9b84435b8e10f0da57f67057b43ecc33bfd0fa4c9a04e4495b640ebc3686e673
size 458
=======
STARTDATE,ENDDATE,ANOMALY
2008-01-01,2008-02-12,1
2008-03-15,2008-04-26,0
2008-04-05,2008-05-17,1
2008-08-19,2008-09-30,0
2009-01-03,2009-02-14,1
2009-04-30,2009-06-11,0
2010-02-09,2010-03-23,1
2010-05-08,2010-06-19,0
2011-12-11,2012-01-22,1
2013-12-31,2014-02-11,1
2014-05-15,2014-06-26,0
2014-12-19,2015-01-30,1
2015-04-20,2015-06-01,0
2015-06-24,2015-08-05,0
2016-12-07,2017-01-18,1
2017-04-19,2017-05-31,0
2017-12-01,2018-01-12,1
2018-05-06,2018-06-17,0
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
