<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:200468a168f183fcfa1fbd3de19a9cc544a8a2b1945dc231aadc912241fbb155
size 938
=======
STARTDATE,ENDDATE,ANOMALY
2006-03-12,2006-04-23,1
2006-06-01,2006-07-13,1
2006-07-31,2006-09-11,0
2006-10-23,2006-12-04,1
2007-01-15,2007-02-26,1
2007-05-25,2007-07-06,0
2007-06-12,2007-07-24,1
2008-02-13,2008-03-26,0
2008-02-22,2008-04-04,0
2008-05-17,2008-06-28,0
2008-06-06,2008-07-18,1
2008-09-11,2008-10-23,0
2008-10-12,2008-11-23,0
2008-11-23,2009-01-04,1
2009-02-22,2009-04-05,0
2009-05-22,2009-07-03,1
2009-09-14,2009-10-26,0
2009-10-27,2009-12-08,1
2010-04-27,2010-06-08,1
2010-09-09,2010-10-21,0
2010-10-07,2010-11-18,1
2011-03-30,2011-05-11,1
2013-01-10,2013-02-21,1
2013-04-15,2013-05-27,0
2013-06-09,2013-07-21,0
2013-06-26,2013-08-07,1
2014-06-13,2014-07-25,1
2014-10-08,2014-11-19,0
2015-07-02,2015-08-13,1
2015-12-09,2016-01-20,0
2015-12-09,2016-01-20,1
2017-05-23,2017-07-04,1
2017-12-15,2018-01-26,0
2018-09-19,2018-10-31,0
2018-09-30,2018-11-11,1
2019-01-20,2019-03-03,0
2019-03-02,2019-04-13,0
2019-03-30,2019-05-11,0
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
