<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:0685e6e9241f1a471178690f2eef16db39b8e05e093b61a24d90a078da85bca6
size 410
=======
STARTDATE,ENDDATE,ANOMALY
2007-11-21,2008-01-02,1
2008-02-21,2008-04-03,0
2008-04-06,2008-05-18,1
2008-12-15,2009-01-26,1
2010-02-08,2010-03-22,1
2010-12-30,2011-02-10,1
2011-04-10,2011-05-22,0
2011-12-16,2012-01-27,1
2012-04-20,2012-06-01,0
2014-01-03,2014-02-14,1
2014-04-25,2014-06-06,0
2015-01-12,2015-02-23,1
2017-02-01,2017-03-15,1
2017-12-18,2018-01-29,1
2018-04-02,2018-05-14,0
2018-07-02,2018-08-13,0
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
