<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b44acb2d30436a90a8b61ffa6d3112a28116ed016b4a1a8655e8832714933e1c
size 1178
=======
STARTDATE,ENDDATE,ANOMALY
2006-01-25,2006-03-08,1
2006-03-29,2006-05-10,0
2006-08-25,2006-10-06,0
2006-10-01,2006-11-12,0
2006-11-26,2007-01-07,0
2007-02-07,2007-03-21,1
2007-04-18,2007-05-30,0
2007-06-06,2007-07-18,0
2007-06-06,2007-07-18,1
2007-12-19,2008-01-30,0
2008-01-09,2008-02-20,1
2008-03-06,2008-04-17,0
2008-04-19,2008-05-31,0
2008-05-18,2008-06-29,0
2008-08-08,2008-09-19,0
2008-09-24,2008-11-05,0
2008-11-04,2008-12-16,0
2009-01-26,2009-03-09,0
2009-04-05,2009-05-17,0
2011-01-05,2011-02-16,1
2011-04-27,2011-06-08,0
2011-05-13,2011-06-24,0
2011-07-04,2011-08-15,0
2011-09-12,2011-10-24,0
2011-10-27,2011-12-08,0
2011-12-09,2012-01-20,0
2011-12-22,2012-02-02,1
2012-03-30,2012-05-11,0
2012-04-30,2012-06-11,0
2012-06-16,2012-07-28,0
2012-08-28,2012-10-09,0
2012-08-28,2012-10-09,1
2013-07-04,2013-08-15,1
2015-07-03,2015-08-14,1
2015-11-17,2015-12-29,0
2016-01-14,2016-02-25,1
2016-04-25,2016-06-06,0
2016-05-26,2016-07-07,0
2016-08-18,2016-09-29,1
2017-01-24,2017-03-07,1
2017-04-25,2017-06-06,0
2017-05-12,2017-06-23,0
2017-06-25,2017-08-06,0
2017-11-12,2017-12-24,0
2018-01-10,2018-02-21,1
2018-04-04,2018-05-16,1
2018-08-20,2018-10-01,0
2019-09-27,2019-11-08,1
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
