<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d65ac5cf697c588ba296ffb8a9954b75530c3fbdb4f46ab7dbfcdb5028c0e14b
size 1797
=======
DATE,VOLATILITY
2016-01-01,0.06765436548992121
2016-02-01,0.03225248770748713
2016-03-01,0.16012071356745997
2016-04-01,0.04699698811794724
2016-05-01,0.06736723819416258
2016-06-01,0.00874139529224035
2016-07-01,0.01935248260073725
2016-08-01,0.005346668426675823
2016-09-01,0.013859864218175203
2016-10-01,0.015957411424795665
2016-11-01,0.09732072165535194
2016-12-01,0.2682497723055395
2017-01-01,0.1281672430317649
2017-02-01,0.024633406707058846
2017-03-01,0.05296048170037946
2017-04-01,0.1679493202858895
2017-05-01,0.014026142242332892
2017-06-01,0.023890676708896007
2017-07-01,0.052790599773561896
2017-08-01,0.03137765693550418
2017-09-01,0.035286992678449994
2017-10-01,0.040854051624851166
2017-11-01,0.030140091463295864
2017-12-01,0.07385584675313153
2018-01-01,0.2328099168583979
2018-02-01,0.1449031700959267
2018-03-01,0.15662017083466495
2018-04-01,0.03403376124554743
2018-05-01,0.09025393069129457
2018-06-01,0.011249179853853857
2018-07-01,0.019297751761711848
2018-08-01,0.011153900063017306
2018-09-01,0.009463993434482284
2018-10-01,0.014989167264030823
2018-11-01,0.06672331520945173
2018-12-01,0.1741360424383363
2019-01-01,0.033779614399433645
2019-02-01,0.012192221100093135
2019-03-01,0.036755808515680985
2019-04-01,0.11124396179698601
2019-05-01,0.02506586704371366
2019-06-01,0.012959814053849003
2019-07-01,0.00999740893766364
2019-08-01,0.009611200467689726
2019-09-01,0.006276744329987203
2019-10-01,0.12240948885702214
2019-11-01,0.04740281527734504
2019-12-01,0.12560782480357
2020-01-01,0.07753061689215361
2020-02-01,0.09331561564056118
2020-03-01,0.10635816026425968
2020-04-01,0.030927275961765185
2020-05-01,0.028850258834134807
2020-06-01,0.023936496494721026
2020-07-01,0.070481353640468
2020-08-01,0.030471262436993145
2020-09-01,0.03527440754650116
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
