<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:ea394d0b4c670a7ed856feeb0f75709c9aae6156120a4f86036a813d20220df4
size 5034
=======
DATE,VOLATILITY
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.08662554473740623
2010-01-01,0.0019267878865554327
2010-02-01,0.0032805747248319237
2010-03-01,0.005306916878470401
2010-04-01,0.006812540237135255
2010-05-01,0.008771495528288457
2010-06-01,0.010190880379658675
2010-07-01,0.012305491995097272
2010-08-01,0.014146823549432414
2010-09-01,0.015479792783085262
2010-10-01,0.01784386745562155
2010-11-01,0.0190642668119279
2010-12-01,0.021471624960783003
2011-01-01,0.023129187751272366
2011-02-01,0.022103202365665195
2011-03-01,0.025250592992545905
2011-04-01,0.024488389517233065
2011-05-01,0.024050931833055764
2011-06-01,0.02028969734307796
2011-07-01,0.01536877457061931
2011-08-01,0.006733773445510975
2011-09-01,0.005034860152931765
2011-10-01,0.018523720349152603
2011-11-01,0.03602200708368982
2011-12-01,0.1250621453455352
2012-01-01,0.09778580440775715
2012-02-01,0.1377150768554746
2012-03-01,0.10204671119593049
2012-04-01,0.04188706038654272
2012-05-01,0.016442829739830706
2012-06-01,0.07571141552011024
2012-07-01,0.03364894734341253
2012-08-01,0.03500586775502093
2012-09-01,0.030624141025068746
2012-10-01,0.030033238154033522
2012-11-01,0.03284606656762118
2012-12-01,0.12492108471842357
2013-01-01,0.18544650560045245
2013-02-01,0.039738074042535924
2013-03-01,0.058517980946653336
2013-04-01,0.10630462342482716
2013-05-01,0.05013492473994187
2013-06-01,0.020568050390072316
2013-07-01,0.017299108574117417
2013-08-01,0.021513855037655426
2013-09-01,0.022260253849661182
2013-10-01,0.21033273153572923
2013-11-01,0.09051238629050591
2013-12-01,0.0417903114206461
2014-01-01,0.2583917321534871
2014-02-01,0.0973919947996169
2014-03-01,0.10850562541327667
2014-04-01,0.08287234953596985
2014-05-01,0.017274928976713566
2014-06-01,0.020534353452053657
2014-07-01,0.023322536623479072
2014-08-01,0.061648759655471695
2014-09-01,0.1374114913479141
2014-10-01,0.030321326712391457
2014-11-01,0.02880754271595419
2014-12-01,0.24038867342181802
2015-01-01,0.20248351495428102
2015-02-01,0.04555659510564728
2015-03-01,0.07785104844019766
2015-04-01,0.03514544489480563
2015-05-01,0.037310312173050426
2015-06-01,0.021875370290772342
2015-07-01,0.027880482123543212
2015-08-01,0.03681463317355181
2015-09-01,0.01850537935043314
2015-10-01,0.09671909010227722
2015-11-01,0.056349539150432275
2015-12-01,0.04955804629146405
2016-01-01,0.29581560489245623
2016-02-01,0.205774720933332
2016-03-01,0.0435735020974217
2016-04-01,0.0749386047458133
2016-05-01,0.015819378648187304
2016-06-01,0.012312306984588366
2016-07-01,0.023034595112519058
2016-08-01,0.01968668030594577
2016-09-01,0.02805209235315064
2016-10-01,0.01617581994309485
2016-11-01,0.10191956475690192
2016-12-01,0.1685569186527842
2017-01-01,0.05347596451244709
2017-02-01,0.09741045017600648
2017-03-01,0.03846432059026007
2017-04-01,0.22498958059662194
2017-05-01,0.08930436839795253
2017-06-01,0.0063241736729904895
2017-07-01,0.015474266711805705
2017-08-01,0.04345135651224456
2017-09-01,0.0
2017-10-01,0.0
2017-11-01,0.02260001457066813
2017-12-01,0.0498997749498917
2018-01-01,0.14910059398788902
2018-02-01,0.07770757379854842
2018-03-01,0.05064772787795035
2018-04-01,0.1415051824444047
2018-05-01,0.08500958123375361
2018-06-01,0.017871762555520386
2018-07-01,0.007624065250587001
2018-08-01,0.010993709775559647
2018-09-01,0.00808844072784335
2018-10-01,0.02145358818445009
2018-11-01,0.006691094950033958
2018-12-01,0.2607784114547972
2019-01-01,0.11112342398489847
2019-02-01,0.09522517935985504
2019-03-01,0.1485023281433471
2019-04-01,0.14789759742176756
2019-05-01,0.03575626357172893
2019-06-01,0.03220338972884706
2019-07-01,0.015913197938232804
2019-08-01,0.02319509567235684
2019-09-01,0.1854163363354151
2019-10-01,0.19393718431199544
2019-11-01,0.04413147599283816
2019-12-01,0.12799668120736402
2020-01-01,0.03754123669829813
2020-02-01,0.34294114222486755
2020-03-01,0.10096055229169262
2020-04-01,0.06893463585489484
2020-05-01,0.018492700459672395
2020-06-01,0.028214123054324015
2020-07-01,0.0664581946554207
2020-08-01,0.052336825215510176
2020-09-01,0.01611753433116057
2020-10-01,0.03979769476600961
2020-11-01,0.050462377768802184
2020-12-01,0.2890645702005516
2021-01-01,0.3500721544926558
2021-02-01,0.047094449930147414
2021-03-01,0.043112576215832144
2021-04-01,0.11908087210595862
