<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:83191f091e782c24c96656a8d73c94d103f20513403408102d3af35984eabece
size 1753
=======
DATE,VOLATILITY
2016-01-01,0.09073132101321664
2016-02-01,0.2590391386796651
2016-03-01,0.08820818455335884
2016-04-01,0.04211033696101376
2016-05-01,0.12226219035622342
2016-06-01,0.0249464635831953
2016-07-01,0.024713410329792008
2016-08-01,0.045542496851297035
2016-09-01,0.027117395164397224
2016-10-01,0.040282006114439814
2016-11-01,0.05230538402049815
2016-12-01,0.2988925041336862
2017-01-01,0.0658927339876556
2017-02-01,0.17457594016375183
2017-03-01,0.023688429860433076
2017-04-01,0.0
2017-05-01,0.03741051127123079
2017-06-01,0.07745523336745895
2017-07-01,0.12566547656697794
2017-08-01,0.03038082731872711
2017-09-01,0.006079051692621134
2017-10-01,0.14845893656750633
2017-11-01,0.4115558178061465
2017-12-01,0.1834423928994042
2018-01-01,0.16106668755529935
2018-02-01,0.0
2018-03-01,0.2459352297153021
2018-04-01,0.1912985589730881
2018-05-01,0.08526187402372089
2018-06-01,0.04957404503172481
2018-07-01,0.01729858195647433
2018-08-01,0.027924350237613284
2018-09-01,0.010289047228430848
2018-10-01,0.054201109140401105
2018-11-01,0.1567104476615448
2018-12-01,0.16104090078522584
2019-01-01,0.03491221746182371
2019-02-01,0.03029904213925039
2019-03-01,0.09849449473302835
2019-04-01,0.07519841945922846
2019-05-01,0.057350061958762535
2019-06-01,0.05959741154268113
2019-07-01,0.09498938504379445
2019-08-01,0.15137285661392974
2019-09-01,0.04892139316407454
2019-10-01,0.04573552997819579
2019-11-01,0.026645054404576797
2019-12-01,0.00645112765126324
2020-01-01,0.07147067934142165
2020-02-01,0.026947287846778172
2020-03-01,0.10035022007348045
2020-04-01,0.05668477662137874
2020-05-01,0.0330279594714805
2020-06-01,0.05748402173261842
2020-07-01,0.02841907785241488
2020-08-01,0.07878637580737287
2020-09-01,0.04537738961541616
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
