<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4848b0057e2c98050fdebc0306289b9028f470786661d7a10e1db8fc13d678a9
size 912
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2021-12-26,2022-02-07,Anomaly,Normal,Anomaly,1.001262618901034,ODISHA,SAMBALPUR
2021-12-26,2022-02-07,Normal,Normal,Normal,1.0064208445862504,ANDHRA PRADESH,VIJAYWADA
2021-12-26,2022-02-07,Normal,Normal,Normal,1.0061985345126947,ANDHRA PRADESH,TIRUPATHI
2021-12-26,2022-02-07,Normal,Normal,Normal,1.004328645043428,ANDHRA PRADESH,KARIMNAGAR
2021-12-26,2022-02-07,Normal,Normal,Normal,1.003784536205196,ODISHA,BALASORE
2021-12-26,2022-02-07,Normal,Normal,Normal,1.0033447766474821,ODISHA,BERHAMPUR
2021-12-26,2022-02-07,Normal,Normal,Normal,1.0031896298283391,ODISHA,CUTTACK
2021-12-26,2022-02-07,Normal,Normal,Normal,1.0013843592871254,ANDHRA PRADESH,VISAKHAPATNAM
2021-12-26,2022-02-07,Normal,Normal,Normal,1.001269404145457,ODISHA,BHUBANESHWAR
2021-12-26,2022-02-07,Normal,Normal,Normal,1.0009489138559868,ANDHRA PRADESH,HYDERABAD
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
