<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:ae009bc83327c83becbcb37dc78bedf4f16e8f6cc5230267154099b1dcd27f4a
size 260270
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2020-01-19,2020-03-02,Anomaly,Anomaly,Anomaly,1.3550848572556242,ANDHRA PRADESH,TIRUPATHI
2020-03-22,2020-05-04,Anomaly,Anomaly,Anomaly,1.2901838511987958,ANDHRA PRADESH,KARIMNAGAR
2020-03-29,2020-05-11,Anomaly,Anomaly,Anomaly,1.2901838511987958,ANDHRA PRADESH,KARIMNAGAR
2017-04-09,2017-05-22,Anomaly,Anomaly,Anomaly,1.282776834559517,ODISHA,CUTTACK
2020-03-15,2020-04-27,Anomaly,Anomaly,Anomaly,1.2549739822467094,ANDHRA PRADESH,VISAKHAPATNAM
2020-03-29,2020-05-11,Anomaly,Anomaly,Anomaly,1.2549739822467094,ANDHRA PRADESH,VISAKHAPATNAM
2017-04-09,2017-05-22,Anomaly,Anomaly,Anomaly,1.2497768255668629,ODISHA,BHUBANESHWAR
2020-03-29,2020-05-11,Anomaly,Anomaly,Anomaly,1.2253700617586512,ANDHRA PRADESH,TIRUPATHI
2017-04-16,2017-05-29,Anomaly,Anomaly,Anomaly,1.2140689162649527,ODISHA,BHUBANESHWAR
2017-04-16,2017-05-29,Anomaly,Anomaly,Anomaly,1.207319373703075,ODISHA,CUTTACK
2020-04-05,2020-05-18,Anomaly,Anomaly,Anomaly,1.1763321962122104,ODISHA,CUTTACK
2020-04-12,2020-05-25,Anomaly,Anomaly,Anomaly,1.1763321962122104,ODISHA,CUTTACK
2017-04-30,2017-06-12,Anomaly,Anomaly,Anomaly,1.1739396995451967,ODISHA,CUTTACK
2017-05-07,2017-06-19,Anomaly,Anomaly,Anomaly,1.1739396995451967,ODISHA,CUTTACK
2017-04-23,2017-06-05,Anomaly,Anomaly,Anomaly,1.1695906432748535,ODISHA,CUTTACK
2020-02-16,2020-03-30,Anomaly,Anomaly,Anomaly,1.1685339115769184,ANDHRA PRADESH,KARIMNAGAR
2017-04-23,2017-06-05,Anomaly,Anomaly,Anomaly,1.1634248318487548,ODISHA,BHUBANESHWAR
2017-04-23,2017-06-05,Anomaly,Anomaly,Anomaly,1.160507052312087,ODISHA,SAMBALPUR
2020-03-22,2020-05-04,Anomaly,Anomaly,Anomaly,1.1567493383001666,ANDHRA PRADESH,TIRUPATHI
2019-08-11,2019-09-23,Anomaly,Anomaly,Anomaly,1.1536982438148955,ANDHRA PRADESH,VIJAYWADA
2020-04-19,2020-06-01,Anomaly,Anomaly,Anomaly,1.152805552287966,ODISHA,CUTTACK
2020-08-16,2020-09-28,Anomaly,Anomaly,Anomaly,1.1469463778060975,ANDHRA PRADESH,KARIMNAGAR
2020-08-23,2020-10-05,Anomaly,Anomaly,Anomaly,1.1469463778060975,ANDHRA PRADESH,KARIMNAGAR
2020-12-06,2021-01-18,Anomaly,Anomaly,Anomaly,1.1457139881262368,ANDHRA PRADESH,TIRUPATHI
2019-04-28,2019-06-10,Anomaly,Anomaly,Anomaly,1.1387307318427995,ANDHRA PRADESH,VISAKHAPATNAM
2019-05-05,2019-06-17,Anomaly,Anomaly,Anomaly,1.1387307318427995,ANDHRA PRADESH,VISAKHAPATNAM
2019-08-18,2019-09-30,Anomaly,Anomaly,Anomaly,1.1367871494273665,ANDHRA PRADESH,VIJAYWADA
