<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:dd89b4362ae5504666a1e21733d0c0e7b6ebbc77f6bba32d5c75231501719475
size 127643
=======
DATE,STATENAME,MANDINAME,VOLATILITY,SAMEMONTH,LASTMONTH,LASTYEAR
2016-01-01,GUJARAT,AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA),0.229740856445921,Anomaly,Normal,Normal
2016-01-01,GUJARAT,BHARUCH,0.0669141644036464,Normal,Normal,Normal
2016-01-01,GUJARAT,VADHVAN,0.0836637053583394,Normal,Normal,Normal
2016-01-01,HIMACHAL PRADESH,BHUNTAR,0.197423786959041,Anomaly,Normal,Normal
2016-01-01,HIMACHAL PRADESH,KULLU,0.0592056241053011,Normal,Normal,Normal
2016-01-01,MADHYA PRADESH,INDORE(F&V),0.1317188595860493,Normal,Normal,Normal
2016-01-01,MADHYA PRADESH,LASHKAR(F&V),0.0,Normal,Normal,Normal
2016-01-01,MADHYA PRADESH,SANWER,0.0471934390893495,Normal,Normal,Normal
2016-01-01,NCT OF DELHI,AZADPUR,0.0553958798065956,Normal,Normal,Normal
2016-01-01,PUNJAB,AJNALA,0.1317644567503951,Normal,Normal,Normal
2016-01-01,PUNJAB,BARNALA,0.1010921699934064,Normal,Normal,Normal
2016-01-01,PUNJAB,MALERKOTLA,0.1759944602180033,Anomaly,Normal,Normal
2016-01-01,PUNJAB,SANGRUR,0.0536174217421828,Normal,Normal,Normal
2016-01-01,PUNJAB,ZIRA,0.0889544552745419,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,BARABANKI,0.0837383955194099,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,BASTI,0.0930178015776183,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,FAIZABAD,0.0718501277960082,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,FIROZABAD,0.0942898396152099,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,JALAUN,0.1875995078023561,Anomaly,Normal,Normal
2016-01-01,UTTAR PRADESH,LAKHIMPUR,0.0829404056693152,Normal,Normal,Normal
2016-01-01,UTTAR PRADESH,LUCKNOW,0.0700615976835152,Normal,Normal,Normal
2016-01-01,WEST BENGAL,BISHNUPUR(BANKURA),0.1297054316691422,Normal,Normal,Normal
2016-01-01,WEST BENGAL,DURGAPUR,0.2958156048924562,Anomaly,Normal,Normal
2016-01-01,WEST BENGAL,ISLAMPUR,0.1123198442285239,Normal,Normal,Normal
2016-01-01,WEST BENGAL,KALYANI,0.0944760263935863,Normal,Normal,Normal
2016-01-01,WEST BENGAL,KATWA,0.111715048513812,Normal,Normal,Normal
2016-01-01,WEST BENGAL,SHEORAPHULY,0.0580820133364386,Normal,Normal,Normal
2016-01-01,WEST BENGAL,ULUBERIA,0.082031407804212,Normal,Normal,Normal
2016-02-01,GUJARAT,AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA),0.2734571021255949,Anomaly,Anomaly,Normal
2016-02-01,GUJARAT,BHARUCH,0.1304838848225927,Normal,Normal,Normal
2016-02-01,GUJARAT,VADHVAN,0.077531954583088,Normal,Normal,Normal
2016-02-01,HIMACHAL PRADESH,BHUNTAR,0.1785856677600271,Normal,Anomaly,Normal
2016-02-01,HIMACHAL PRADESH,KULLU,0.1948606915911693,Normal,Anomaly,Normal
2016-02-01,MADHYA PRADESH,INDORE(F&V),0.1855888045251635,Normal,Anomaly,Normal
2016-02-01,MADHYA PRADESH,LASHKAR(F&V),0.0470493291309578,Normal,Normal,Normal
2016-02-01,MADHYA PRADESH,SANWER,0.048996319874834,Normal,Normal,Normal
2016-02-01,NCT OF DELHI,AZADPUR,0.1954635211492808,Normal,Anomaly,Normal
2016-02-01,PUNJAB,AJNALA,0.1323399354540968,Normal,Normal,Normal
2016-02-01,PUNJAB,BARNALA,0.1687765248030793,Normal,Anomaly,Normal
2016-02-01,PUNJAB,MALERKOTLA,0.2074805351005914,Normal,Anomaly,Normal
2016-02-01,PUNJAB,SANGRUR,0.1859332958335619,Normal,Anomaly,Normal
2016-02-01,PUNJAB,ZIRA,0.0830689257699377,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,BARABANKI,0.0971283286363408,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,BASTI,0.049394679781514,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,FAIZABAD,0.1390509383111098,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,FIROZABAD,0.1433767453018311,Normal,Normal,Normal
2016-02-01,UTTAR PRADESH,JALAUN,0.2288726424077878,Anomaly,Anomaly,Normal
2016-02-01,UTTAR PRADESH,LAKHIMPUR,0.237801579703359,Anomaly,Anomaly,Normal
2016-02-01,UTTAR PRADESH,LUCKNOW,0.225872893931626,Anomaly,Anomaly,Normal
