<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:27431b39f554c73981d1d40a908e17e45978494963b13573a5bc0239228256a7
size 981
=======
START,END,ANOMALY,PREDICTED
2008-12-06,2009-01-18,no,
2009-03-22,2009-05-04,no,
2010-05-02,2010-06-14,no,
2011-03-29,2011-05-11,no,
2011-12-25,2012-02-06,no,
2012-02-12,2012-03-26,no,
2012-05-10,2012-06-22,no,
2012-08-13,2012-09-25,no,
2013-04-07,2013-05-20,no,
2013-12-18,2014-01-30,no,
2014-01-31,2014-03-15,no,
2014-03-15,2014-04-27,no,
2014-07-08,2014-08-20,no,
2014-10-16,2014-11-28,no,
2014-11-28,2015-01-10,no,
2015-01-20,2015-03-04,no,
2015-03-11,2015-04-23,no,
2015-04-23,2015-06-05,no,
2015-12-03,2016-01-15,no,
2016-01-30,2016-03-13,no,0
2016-03-13,2016-04-25,no,1
2016-07-12,2016-08-24,no,1
2016-12-05,2017-01-17,no,1
2017-01-17,2017-03-01,no,1
2017-03-01,2017-04-13,no,1
2017-04-13,2017-05-26,no,1
2017-11-04,2017-12-17,no,1
2017-12-17,2018-01-29,no,1
2018-03-22,2018-05-04,no,0
2018-06-01,2018-07-14,no,0
2018-07-14,2018-08-26,no,1
2018-08-26,2018-10-08,no,0
2018-12-15,2019-01-27,no,0
2019-01-27,2019-03-11,no,1
2019-03-11,2019-04-23,no,1
2019-04-23,2019-06-05,no,1
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
