<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b7a6147bffec62de3fdfb29d6de866a83f066f69f90bd4361a385fed7307c155
size 712
=======
2007-04-08,2007-05-21,no,
2007-06-07,2007-07-20,no,
2008-02-15,2008-03-29,no,
2009-01-13,2009-02-25,no,
2009-01-23,2009-03-07,no,
2009-05-03,2009-06-15,no,
2009-05-26,2009-07-08,no,
2009-07-08,2009-08-20,no,
2011-03-08,2011-04-20,no,
2011-10-25,2011-12-07,no,
2012-02-01,2012-03-15,no,
2013-02-27,2013-04-11,no,
2013-11-18,2013-12-31,no,
2015-01-20,2015-03-04,no,
2015-03-14,2015-04-26,no,
2015-06-02,2015-07-15,no,
2015-10-17,2015-11-29,no,
2016-01-22,2016-03-05,no,1
2016-05-03,2016-06-15,no,1
2016-06-15,2016-07-28,no,0
2016-07-28,2016-09-09,no,0
2017-11-03,2017-12-16,no,1
2018-03-13,2018-04-25,no,1
2018-06-16,2018-07-29,no,1
2018-07-29,2018-09-10,no,1
2019-03-03,2019-04-15,no,0
2019-05-21,2019-07-03,no,0
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
