<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e884d5b50b5134298e71c31238b49e04d1e6684bc8346075853d38245a512ccd
size 1785
=======
DATE,DISPERSION
2016-01-01,0.06122020571085417
2016-02-01,0.05569742632405736
2016-03-01,0.0526777377586804
2016-04-01,0.05255711920504319
2016-05-01,0.0490385165932731
2016-06-01,0.047525255956286414
2016-07-01,0.045564928978435844
2016-08-01,0.045880319101386194
2016-09-01,0.0488341964088396
2016-10-01,0.04995670260926308
2016-11-01,0.05037031319526604
2016-12-01,0.06454340407766969
2017-01-01,0.06455665075499997
2017-02-01,0.06330113498667858
2017-03-01,0.06805081450354931
2017-04-01,0.07016600786489356
2017-05-01,0.07290681441444437
2017-06-01,0.06454965637899057
2017-07-01,0.0596567006533935
2017-08-01,0.06514143233226802
2017-09-01,0.06822843163653369
2017-10-01,0.07195060421286358
2017-11-01,0.07686438786248535
2017-12-01,0.05922045296427271
2018-01-01,0.046944161465843154
2018-02-01,0.04831008682896974
2018-03-01,0.041723810292628886
2018-04-01,0.04446477589570616
2018-05-01,0.04849421493061501
2018-06-01,0.04358868765215409
2018-07-01,0.04144084200907841
2018-08-01,0.0391626509164542
2018-09-01,0.03799037690314574
2018-10-01,0.03687796186366616
2018-11-01,0.0443823726007794
2018-12-01,0.04690823637318715
2019-01-01,0.04938605275897083
2019-02-01,0.04930254499918616
2019-03-01,0.04929622669856703
2019-04-01,0.043955343008800725
2019-05-01,0.0364922883080536
2019-06-01,0.03668858085417758
2019-07-01,0.042178908802643994
2019-08-01,0.044291992784805286
2019-09-01,0.04371868647509715
2019-10-01,0.04342058023317621
2019-11-01,0.04853647424343112
2019-12-01,0.04001692582487407
2020-01-01,0.03876962686691356
2020-02-01,0.032417705998328
2020-03-01,0.02774604987259318
2020-04-01,0.027100273906870514
2020-05-01,0.02848578691113624
2020-06-01,0.03159770164928933
2020-07-01,0.03386872322164647
2020-08-01,0.035738485172761784
2020-09-01,0.032221491135562254
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
