<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:c83edbd8c76d040495d5b1f2ba1fca944b0a66a4d733c0ea4261af68ac52c5c8
size 1286
=======
,STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME,TYPE
0,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,UTTAR PRADESH,GORAKHPUR,Normal
1,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,PUNJAB,BATHINDA,Normal
2,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0357142857142858,WEST BENGAL,PURULIA,Normal
3,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,UTTAR PRADESH,AGRA,Normal
4,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,WEST BENGAL,KOLKATA,Normal
5,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,PUNJAB,AMRITSAR,Normal
6,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,PUNJAB,PANCHKULA,Normal
7,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,UTTAR PRADESH,JHANSI,Normal
8,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0228873474179447,UTTAR PRADESH,MEERUT,Normal
9,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,PUNJAB,CHANDIGARH,Normal
10,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,PUNJAB,LUDHIANA,Normal
11,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,WEST BENGAL,RAIGANJ,Normal
12,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,UTTAR PRADESH,ALLAHABAD,Normal
13,2020-09-06,2020-10-19,Normal,Normal,Normal,1.033333304629726,UTTAR PRADESH,LUCKNOW,Normal
14,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0656966218167974,UTTAR PRADESH,VARANASI,Normal
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
