<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:870d5e1155add098be61bbe43dbf6a7438aec35be24fe0c0ec9760ad8b4ab73d
size 2302
=======
,STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME,TYPE
0,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0769230769230769,WEST BENGAL,DURGAPUR,Anomaly
1,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0511811023622046,UTTAR PRADESH,BARABANKI,Anomaly
2,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0196078431372548,UTTAR PRADESH,FAIZABAD,Anomaly
3,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0383435582822085,NCT OF DELHI,AZADPUR,Anomaly
4,2020-09-06,2020-10-19,Normal,Normal,Normal,1.2857142857142858,PUNJAB,BARNALA,Normal
5,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0,GUJARAT,BHARUCH,Anomaly
6,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0576923076923077,WEST BENGAL,BISHNUPUR(BANKURA),Anomaly
7,2020-09-06,2020-10-19,Normal,Normal,Normal,1.15,PUNJAB,AJNALA,Normal
8,2020-09-06,2020-10-19,Normal,Normal,Normal,1.1285714285714286,GUJARAT,VADHVAN,Normal
9,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0576923076923077,WEST BENGAL,ISLAMPUR,Anomaly
10,2020-09-06,2020-10-19,Normal,Normal,Normal,1.2249999999875,GUJARAT,AHMEDABAD(CHIMANBHAI PATAL MARKET VASANA),Normal
11,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0748620961337667,WEST BENGAL,ULUBERIA,Anomaly
12,2020-09-06,2020-10-19,Normal,Normal,Normal,1.25,PUNJAB,ZIRA,Normal
13,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.2962962962962965,HIMACHAL PRADESH,KULLU,Anomaly
14,2020-09-06,2020-10-19,Normal,Normal,Normal,1.4666666666666666,PUNJAB,SANGRUR,Normal
15,2020-09-06,2020-10-19,Normal,Normal,Normal,1.116945107398568,UTTAR PRADESH,FIROZABAD,Normal
16,2020-09-06,2020-10-19,Normal,Normal,Normal,1.3749999427083546,PUNJAB,MALERKOTLA,Normal
17,2020-09-06,2020-10-19,Normal,Normal,Normal,1.3958333333333333,MADHYA PRADESH,SANWER,Normal
18,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.2347826086956522,WEST BENGAL,KATWA,Anomaly
20,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0888888888888888,WEST BENGAL,SHEORAPHULY,Anomaly
21,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0576923076923077,UTTAR PRADESH,LUCKNOW,Anomaly
22,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0693877551020408,UTTAR PRADESH,LAKHIMPUR,Anomaly
23,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0454545454545454,UTTAR PRADESH,BASTI,Anomaly
24,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0683760683760684,UTTAR PRADESH,JALAUN,Anomaly
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
