<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:a5b4bd5f3878383eb4b6ed289c42a11f2ac5c57d26f31dafd78eeeec5f5686d0
size 1528
=======
,STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME,TYPE
0,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,2.25,KARNATAKA,MYSORE (BANDIPALYA),Anomaly
1,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.056910569105691,UTTAR PRADESH,BARABANKI,Anomaly
2,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.2858979854264896,KARNATAKA,CHINTAMANI,Anomaly
3,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.3928571428571428,UTTAR PRADESH,FAIZABAD,Anomaly
4,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.138713240808825,NCT OF DELHI,AZADPUR,Anomaly
5,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.0588235294117647,UTTAR PRADESH,AURAIYA,Anomaly
6,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.332408049957921,UTTAR PRADESH,PUKHRAYAN,Anomaly
7,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,2.0,KARNATAKA,MULABAGILU,Anomaly
8,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.1111111111111112,UTTAR PRADESH,KANPUR(GRAIN),Anomaly
9,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.7333333333333334,KARNATAKA,CHICKKABALLAPURA,Anomaly
10,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.0289855072463767,UTTAR PRADESH,GONDA,Anomaly
11,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.8398320335932807,KARNATAKA,SRINIVASAPUR,Anomaly
12,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.1292307692307693,UTTAR PRADESH,KANNAUJ,Anomaly
13,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.0666666666666669,UTTAR PRADESH,LUCKNOW,Anomaly
14,2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,1.6216216216216215,MAHARASHTRA,PUNE,Anomaly
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
