<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:ec40fc1561e9588797f5e82916f73ab6bd67f69ea0af65cae1abfc8fdbf4c4eb
size 4676
=======
K,MANDI,ANOMALY,NORMAL,TOTAL
1.0,PUNJAB_PANCHKULA,61,181,242
1.0,UTTAR PRADESH_AGRA,236,6,242
1.0,WEST BENGAL_KOLKATA,38,204,242
1.1,PUNJAB_PANCHKULA,52,190,242
1.1,UTTAR PRADESH_AGRA,236,6,242
1.1,WEST BENGAL_KOLKATA,32,210,242
1.2000000000000002,PUNJAB_PANCHKULA,41,201,242
1.2000000000000002,UTTAR PRADESH_AGRA,235,7,242
1.2000000000000002,WEST BENGAL_KOLKATA,25,217,242
1.25,PUNJAB_PANCHKULA,35,207,242
1.25,UTTAR PRADESH_AGRA,235,7,242
1.25,WEST BENGAL_KOLKATA,22,220,242
1.3000000000000003,WEST BENGAL_KOLKATA,22,220,242
1.3000000000000003,PUNJAB_PANCHKULA,31,211,242
1.3000000000000003,UTTAR PRADESH_AGRA,234,8,242
1.4000000000000004,PUNJAB_PANCHKULA,23,219,242
1.4000000000000004,UTTAR PRADESH_AGRA,232,10,242
1.4000000000000004,WEST BENGAL_KOLKATA,20,222,242
1.5,PUNJAB_PANCHKULA,23,219,242
1.5,UTTAR PRADESH_AGRA,223,19,242
1.5,WEST BENGAL_KOLKATA,17,225,242
1.5000000000000004,WEST BENGAL_KOLKATA,17,225,242
1.5000000000000004,PUNJAB_PANCHKULA,23,219,242
1.5000000000000004,UTTAR PRADESH_AGRA,223,19,242
1.6000000000000005,WEST BENGAL_KOLKATA,11,231,242
1.6000000000000005,UTTAR PRADESH_AGRA,207,35,242
1.6000000000000005,PUNJAB_PANCHKULA,23,219,242
1.7000000000000006,PUNJAB_PANCHKULA,23,219,242
1.7000000000000006,UTTAR PRADESH_AGRA,181,61,242
1.7000000000000006,WEST BENGAL_KOLKATA,10,232,242
1.75,PUNJAB_PANCHKULA,23,219,242
1.75,UTTAR PRADESH_AGRA,168,74,242
1.75,WEST BENGAL_KOLKATA,9,233,242
1.8000000000000007,PUNJAB_PANCHKULA,23,219,242
1.8000000000000007,UTTAR PRADESH_AGRA,165,77,242
1.8000000000000007,WEST BENGAL_KOLKATA,6,236,242
1.9000000000000008,UTTAR PRADESH_AGRA,148,94,242
1.9000000000000008,WEST BENGAL_KOLKATA,1,241,242
1.9000000000000008,PUNJAB_PANCHKULA,23,219,242
2.0,PUNJAB_PANCHKULA,23,219,242
2.0,UTTAR PRADESH_AGRA,128,114,242
2.0,WEST BENGAL_KOLKATA,0,242,242
2.000000000000001,PUNJAB_PANCHKULA,23,219,242
2.000000000000001,UTTAR PRADESH_AGRA,128,114,242
2.000000000000001,WEST BENGAL_KOLKATA,0,242,242
2.100000000000001,PUNJAB_PANCHKULA,23,219,242
2.100000000000001,UTTAR PRADESH_AGRA,100,142,242
2.100000000000001,WEST BENGAL_KOLKATA,0,242,242
2.200000000000001,WEST BENGAL_KOLKATA,0,242,242
2.200000000000001,PUNJAB_PANCHKULA,23,219,242
2.200000000000001,UTTAR PRADESH_AGRA,77,165,242
2.25,UTTAR PRADESH_AGRA,65,177,242
2.25,WEST BENGAL_KOLKATA,0,242,242
2.25,PUNJAB_PANCHKULA,20,222,242
2.300000000000001,PUNJAB_PANCHKULA,17,225,242
2.300000000000001,UTTAR PRADESH_AGRA,53,189,242
2.300000000000001,WEST BENGAL_KOLKATA,0,242,242
2.4000000000000012,PUNJAB_PANCHKULA,10,232,242
2.4000000000000012,UTTAR PRADESH_AGRA,44,198,242
2.4000000000000012,WEST BENGAL_KOLKATA,0,242,242
2.5,PUNJAB_PANCHKULA,5,237,242
2.5,UTTAR PRADESH_AGRA,35,207,242
2.5,WEST BENGAL_KOLKATA,0,242,242
2.5000000000000013,UTTAR PRADESH_AGRA,35,207,242
2.5000000000000013,WEST BENGAL_KOLKATA,0,242,242
2.5000000000000013,PUNJAB_PANCHKULA,5,237,242
2.6000000000000014,PUNJAB_PANCHKULA,4,238,242
2.6000000000000014,UTTAR PRADESH_AGRA,27,215,242
2.6000000000000014,WEST BENGAL_KOLKATA,0,242,242
2.7000000000000015,PUNJAB_PANCHKULA,4,238,242
2.7000000000000015,UTTAR PRADESH_AGRA,6,236,242
2.7000000000000015,WEST BENGAL_KOLKATA,0,242,242
2.75,PUNJAB_PANCHKULA,3,239,242
2.75,UTTAR PRADESH_AGRA,2,240,242
2.75,WEST BENGAL_KOLKATA,0,242,242
2.8000000000000016,WEST BENGAL_KOLKATA,0,242,242
2.8000000000000016,PUNJAB_PANCHKULA,2,240,242
2.8000000000000016,UTTAR PRADESH_AGRA,0,242,242
2.9000000000000017,WEST BENGAL_KOLKATA,0,242,242
2.9000000000000017,PUNJAB_PANCHKULA,0,242,242
2.9000000000000017,UTTAR PRADESH_AGRA,0,242,242
3.0,PUNJAB_PANCHKULA,0,242,242
3.0,UTTAR PRADESH_AGRA,0,242,242
3.0,WEST BENGAL_KOLKATA,0,242,242
3.0000000000000018,PUNJAB_PANCHKULA,0,242,242
3.0000000000000018,UTTAR PRADESH_AGRA,0,242,242
3.0000000000000018,WEST BENGAL_KOLKATA,0,242,242
3.100000000000002,PUNJAB_PANCHKULA,0,242,242
3.100000000000002,UTTAR PRADESH_AGRA,0,242,242
3.100000000000002,WEST BENGAL_KOLKATA,0,242,242
3.200000000000002,WEST BENGAL_KOLKATA,0,242,242
3.200000000000002,PUNJAB_PANCHKULA,0,242,242
3.200000000000002,UTTAR PRADESH_AGRA,0,242,242
3.25,PUNJAB_PANCHKULA,0,242,242
3.25,UTTAR PRADESH_AGRA,0,242,242
3.25,WEST BENGAL_KOLKATA,0,242,242
3.300000000000002,PUNJAB_PANCHKULA,0,242,242
3.300000000000002,UTTAR PRADESH_AGRA,0,242,242
3.300000000000002,WEST BENGAL_KOLKATA,0,242,242
3.400000000000002,UTTAR PRADESH_AGRA,0,242,242
3.400000000000002,PUNJAB_PANCHKULA,0,242,242
3.400000000000002,WEST BENGAL_KOLKATA,0,242,242
3.5,UTTAR PRADESH_AGRA,0,242,242
3.5,PUNJAB_PANCHKULA,0,242,242
3.5,WEST BENGAL_KOLKATA,0,242,242
3.500000000000002,UTTAR PRADESH_AGRA,0,242,242
3.500000000000002,PUNJAB_PANCHKULA,0,242,242
3.500000000000002,WEST BENGAL_KOLKATA,0,242,242
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
