<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d566ec72f5701baf6581886cc6391e933e407cb1bda794c53b01c28e66453c59
size 4104
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME,COMMODITY,TEXT,ARTICLEURL,PUBLISHEDDATE,ARTICLETITLE,CENTRENAME,FILETYPE
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9999187057962768,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,TIRUPATHI,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9999107222569412,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,KARIMNAGAR,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9999019703950592,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,VISAKHAPATNAM,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9998901219646192,ANDHRA PRADESH,HYDERABAD,GREEN GRAM DAL (MOONG DAL),,,,,HYDERABAD,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9998863765481196,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,VIJAYWADA,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.999907415980002,WEST BENGAL,KHARAGPUR,MASUR DAL,,,,,KHARAGPUR,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9998979695949392,WEST BENGAL,SILIGURI,MASUR DAL,,,,,KOLKATA,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9998666844420744,WEST BENGAL,MALDA,MASUR DAL,,,,,MALDA,MANDI
2020-09-13,2020-10-26,Normal,Anomaly,Normal,0.9998611303985556,MADHYA PRADESH,BHOPAL,MASUR DAL,,,,,BHOPAL,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.008249312557287,WEST BENGAL,KASIPUR,MUSTARD OIL,,,,,KOLKATA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.005944215820759,WEST BENGAL,DURGAPUR,MUSTARD OIL,,,,,KOLKATA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.0024120883487162,UTTAR PRADESH,PRATAPGARH,MUSTARD OIL,,,,,KANPUR,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.311680199875078,UTTAR PRADESH,JALAUN,ONION,,,,,KANPUR,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.1488511488511488,KARNATAKA,DAVANGERE,ONION,,,,,DHARWAD,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.1257660538058445,KARNATAKA,HUBLI (AMARAGOL),ONION,,,,,BENGALURU,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.3741411045537937,PUNJAB,MALERKOTLA,POTATO,,,,,LUDHIANA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.2215435868961688,PUNJAB,SANGRUR,POTATO,,,,,LUDHIANA,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.1666666666666667,HIMACHAL PRADESH,KULLU,POTATO,,,,,,MANDI
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.094716801523084,PUNJAB,AJNALA,POTATO,,,,,AMRITSAR,MANDI
