<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b481a4f39945d74483d421b978bd7c80310ee36da764fbdfcafdc330c06ef943
size 53146
=======
DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM,STATENAME,MANDINAME
2016-01-01,0.035109444684573936,1.0,0.0,0.0,1.0,0,0,0,0,1.0,ODISHA,SAMBALPUR
2016-01-01,0.012806549125593024,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,KARIMNAGAR
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BERHAMPUR
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,HYDERABAD
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,VIJAYWADA
2016-01-01,0.02010791171247911,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,CUTTACK
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BALASORE
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,TIRUPATHI
2016-01-01,0.016381587714494224,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BHUBANESHWAR
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-02-01,0.04165936200876588,1.0,1.0,0.0,2.0,0,0,0,0,2.0,ANDHRA PRADESH,VIJAYWADA
2016-02-01,0.0214414134476956,1.0,0.0,0.0,1.0,0,0,0,0,1.0,ODISHA,SAMBALPUR
2016-02-01,0.009017165267124191,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,KARIMNAGAR
2016-02-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BERHAMPUR
2016-02-01,0.02125098013246227,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,HYDERABAD
2016-02-01,0.02142825741955728,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,CUTTACK
2016-02-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BALASORE
2016-02-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,TIRUPATHI
2016-02-01,0.022673185797532042,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BHUBANESHWAR
2016-02-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-03-01,0.0,0.0,0.0,0.0,0.0,3,0,0,3,3.0,ODISHA,BERHAMPUR
2016-03-01,0.007120792719402186,1.0,1.0,0.0,2.0,0,0,0,0,2.0,ANDHRA PRADESH,VIJAYWADA
2016-03-01,0.0,0.0,0.0,0.0,0.0,2,0,0,2,2.0,ODISHA,BALASORE
2016-03-01,0.016074419680803087,1.0,0.0,0.0,1.0,0,0,0,0,1.0,ODISHA,CUTTACK
2016-03-01,0.0077334846055039565,1.0,0.0,0.0,1.0,0,0,0,0,1.0,ODISHA,SAMBALPUR
2016-03-01,0.011419880890517492,1.0,0.0,0.0,1.0,0,0,0,0,1.0,ODISHA,BHUBANESHWAR
2016-03-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,KARIMNAGAR
2016-03-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,HYDERABAD
2016-03-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,TIRUPATHI
2016-03-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-04-01,0.0,0.0,0.0,0.0,0.0,8,3,0,11,11.0,ODISHA,BERHAMPUR
2016-04-01,0.0,0.0,0.0,0.0,0.0,2,1,0,3,3.0,ODISHA,BALASORE
2016-04-01,0.012016183090385008,2.0,1.0,0.0,3.0,0,0,0,0,3.0,ODISHA,SAMBALPUR
2016-04-01,0.0,1.0,1.0,0.0,2.0,0,0,0,0,2.0,ANDHRA PRADESH,VIJAYWADA
2016-04-01,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1.0,ODISHA,CUTTACK
2016-04-01,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1.0,ODISHA,BHUBANESHWAR
2016-04-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,KARIMNAGAR
2016-04-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,HYDERABAD
2016-04-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,TIRUPATHI
2016-04-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-05-01,0.0,0.0,0.0,0.0,0.0,12,6,0,18,18.0,ODISHA,BERHAMPUR
2016-05-01,0.028268685980690624,3.0,2.0,0.0,5.0,0,0,0,0,5.0,ODISHA,SAMBALPUR
2016-05-01,0.022475412964016773,2.0,1.0,0.0,3.0,0,0,0,0,3.0,ODISHA,CUTTACK
2016-05-01,0.0,0.0,0.0,0.0,0.0,2,1,0,3,3.0,ODISHA,BALASORE
2016-05-01,0.02494627295835355,2.0,1.0,0.0,3.0,0,0,0,0,3.0,ODISHA,BHUBANESHWAR
2016-05-01,0.0,1.0,1.0,0.0,2.0,0,0,0,0,2.0,ANDHRA PRADESH,VIJAYWADA
2016-05-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,KARIMNAGAR
2016-05-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,HYDERABAD
2016-05-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,TIRUPATHI
2016-05-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-06-01,0.0,0.0,0.0,0.0,0.0,17,11,0,28,28.0,ODISHA,BERHAMPUR
2016-06-01,0.005865401232724112,3.0,2.0,0.0,5.0,0,0,0,0,5.0,ODISHA,SAMBALPUR
2016-06-01,0.03554118304306438,2.0,2.0,0.0,4.0,0,0,0,0,4.0,ODISHA,CUTTACK
2016-06-01,0.0,0.0,0.0,0.0,0.0,2,1,0,3,3.0,ODISHA,BALASORE
2016-06-01,0.02091651866217551,2.0,1.0,0.0,3.0,0,0,0,0,3.0,ODISHA,BHUBANESHWAR
2016-06-01,0.0,1.0,1.0,0.0,2.0,0,0,0,0,2.0,ANDHRA PRADESH,VIJAYWADA
2016-06-01,0.10177182333513288,1.0,1.0,0.0,2.0,0,0,0,0,2.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-06-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,KARIMNAGAR
2016-06-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,HYDERABAD
2016-06-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,TIRUPATHI
2016-07-01,0.0,0.0,0.0,0.0,0.0,18,15,0,33,33.0,ODISHA,BERHAMPUR
2016-07-01,0.02879822414048445,3.0,2.0,0.0,5.0,0,0,0,0,5.0,ODISHA,CUTTACK
2016-07-01,0.02094064318873809,3.0,2.0,0.0,5.0,0,0,0,0,5.0,ODISHA,SAMBALPUR
2016-07-01,0.01827770430582092,2.0,1.0,0.0,3.0,0,0,0,0,3.0,ODISHA,BHUBANESHWAR
2016-07-01,0.0,1.0,1.0,0.0,2.0,0,0,0,0,2.0,ANDHRA PRADESH,VIJAYWADA
2016-07-01,0.0,0.0,0.0,0.0,0.0,1,1,0,2,2.0,ODISHA,BALASORE
2016-07-01,0.010756421951556213,1.0,1.0,0.0,2.0,0,0,0,0,2.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-07-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,KARIMNAGAR
2016-07-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,HYDERABAD
2016-07-01,0.022107421296091133,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ANDHRA PRADESH,TIRUPATHI
2016-08-01,0.0,0.0,0.0,0.0,0.0,14,14,0,28,28.0,ODISHA,BERHAMPUR
2016-08-01,0.06888149816718041,4.0,3.0,0.0,7.0,0,0,0,0,7.0,ODISHA,CUTTACK
2016-08-01,0.0232670210948452,3.0,2.0,0.0,5.0,0,0,0,0,5.0,ODISHA,SAMBALPUR
2016-08-01,0.002709904525620039,1.0,1.0,0.0,2.0,2,0,0,2,4.0,ANDHRA PRADESH,VIJAYWADA
2016-08-01,0.026428831755832445,2.0,2.0,0.0,4.0,0,0,0,0,4.0,ODISHA,BHUBANESHWAR
2016-08-01,0.0,0.0,0.0,0.0,0.0,3,0,0,3,3.0,ANDHRA PRADESH,HYDERABAD
2016-08-01,0.0149603353794671,0.0,0.0,0.0,0.0,3,0,0,3,3.0,ANDHRA PRADESH,TIRUPATHI
2016-08-01,0.03724402577230192,1.0,2.0,0.0,3.0,0,0,0,0,3.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-08-01,0.0,0.0,0.0,0.0,0.0,2,0,0,2,2.0,ANDHRA PRADESH,KARIMNAGAR
2016-08-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BALASORE
2016-09-01,0.0,0.0,0.0,0.0,0.0,10,11,0,21,21.0,ODISHA,BERHAMPUR
2016-09-01,0.0,1.0,1.0,0.0,2.0,7,3,0,10,12.0,ANDHRA PRADESH,VIJAYWADA
2016-09-01,0.0,0.0,0.0,0.0,0.0,8,3,0,11,11.0,ANDHRA PRADESH,HYDERABAD
2016-09-01,0.0,0.0,0.0,0.0,0.0,7,3,0,10,10.0,ANDHRA PRADESH,KARIMNAGAR
2016-09-01,0.057476979966906414,1.0,1.0,0.0,2.0,8,0,0,8,10.0,ANDHRA PRADESH,TIRUPATHI
2016-09-01,0.03147821603082985,4.0,3.0,0.0,7.0,0,0,0,0,7.0,ODISHA,CUTTACK
2016-09-01,0.010756278172280566,3.0,2.0,0.0,5.0,0,0,0,0,5.0,ODISHA,SAMBALPUR
2016-09-01,0.020118221821688143,2.0,2.0,0.0,4.0,0,0,0,0,4.0,ODISHA,BHUBANESHWAR
2016-09-01,0.02641805858262897,1.0,2.0,0.0,3.0,0,0,0,0,3.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-09-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BALASORE
2016-10-01,0.0,1.0,1.0,0.0,2.0,11,7,0,18,20.0,ANDHRA PRADESH,VIJAYWADA
2016-10-01,0.008238003735116921,0.0,0.0,0.0,0.0,12,7,0,19,19.0,ANDHRA PRADESH,HYDERABAD
2016-10-01,0.008621742451553619,0.0,0.0,0.0,0.0,11,7,0,18,18.0,ANDHRA PRADESH,KARIMNAGAR
2016-10-01,0.0,1.0,1.0,0.0,2.0,12,0,0,12,14.0,ANDHRA PRADESH,TIRUPATHI
2016-10-01,0.0,0.0,0.0,0.0,0.0,6,7,0,13,13.0,ODISHA,BERHAMPUR
2016-10-01,0.02320094762749623,5.0,3.0,0.0,8.0,0,0,0,0,8.0,ODISHA,CUTTACK
2016-10-01,0.01783699307300659,3.0,2.0,0.0,5.0,0,0,0,0,5.0,ODISHA,SAMBALPUR
2016-10-01,0.01611953534661194,2.0,2.0,0.0,4.0,0,0,0,0,4.0,ODISHA,BHUBANESHWAR
2016-10-01,0.008251034802284922,1.0,2.0,0.0,3.0,0,0,0,0,3.0,ANDHRA PRADESH,VISAKHAPATNAM
2016-10-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,ODISHA,BALASORE
2016-11-01,0.046234332356483984,1.0,1.0,0.0,2.0,17,12,0,29,31.0,ANDHRA PRADESH,HYDERABAD
2016-11-01,0.036832608166471464,1.0,1.0,0.0,2.0,16,12,0,28,30.0,ANDHRA PRADESH,KARIMNAGAR
2016-11-01,0.009125876907004392,1.0,1.0,0.0,2.0,16,12,0,28,30.0,ANDHRA PRADESH,VIJAYWADA
2016-11-01,0.0,1.0,1.0,0.0,2.0,12,0,0,12,14.0,ANDHRA PRADESH,TIRUPATHI
2016-11-01,0.021466651088646045,5.0,4.0,0.0,9.0,0,0,0,0,9.0,ODISHA,CUTTACK
2016-11-01,0.0,0.0,0.0,0.0,0.0,2,3,0,5,5.0,ODISHA,BERHAMPUR
2016-11-01,0.006640400272275646,3.0,2.0,0.0,5.0,0,0,0,0,5.0,ODISHA,SAMBALPUR
2016-11-01,0.012209547790503586,2.0,2.0,0.0,4.0,0,0,0,0,4.0,ODISHA,BHUBANESHWAR
