<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:68f853c6c5862be7c3103d8a7cc2a972e45aba9ec402445440250f09528da1f7
size 1741
=======
STARTDATE,ENDDATE,ANOMALY
2006-01-15,2006-02-26,supply
2006-02-19,2006-04-02,Weather
2006-05-27,2006-07-08,Weather
2006-08-21,2006-10-03,no
2006-10-23,2006-12-04,Weather
2007-01-21,2007-03-04,Inflation
2007-02-07,2007-03-21,supply
2007-05-04,2007-06-16,no
2007-06-07,2007-07-19,Transport
2007-06-25,2007-08-06,supply
2007-12-19,2008-01-30,supply
2008-01-31,2008-03-14,no
2008-03-14,2008-04-26,no
2008-04-26,2008-06-08,no
2008-05-16,2008-06-27,Weather
2008-08-29,2008-10-11,no
2008-10-11,2008-11-23,no
2008-11-02,2008-12-14,Weather
2009-03-15,2009-04-27,no
2009-06-12,2009-07-24,Fuel
2009-09-06,2009-10-19,no
2009-10-24,2009-12-05,Inflation
2010-05-01,2010-06-12,Inflation
2010-08-31,2010-10-13,no
2010-10-05,2010-11-16,Transport
2010-12-23,2011-02-03,supply
2011-04-02,2011-05-14,Inflation
2011-12-22,2012-02-02,supply
2012-09-07,2012-10-19,supply
2012-12-23,2013-02-03,Hoarding
2013-04-06,2013-05-19,no
2013-05-19,2013-07-01,no
2013-06-10,2013-07-22,Hoarding
2013-07-17,2013-08-28,supply
2014-05-23,2014-07-04,Hoarding
2014-09-26,2014-11-08,no
2015-06-11,2015-07-23,Weather
2015-07-22,2015-09-02,supply
2015-12-14,2016-01-26,no
2015-12-25,2016-02-05,Inflation
2016-01-07,2016-02-18,supply
2016-07-30,2016-09-10,supply
2016-03-21,2016-05-03,no
2016-09-12,2016-10-25,no
2017-01-13,2017-02-24,supply
2017-05-20,2017-07-01,Transport
2017-08-06,2017-09-18,no
2017-12-20,2018-01-31,supply
2018-01-21,2018-03-05,Anomaly
2018-03-28,2018-05-09,supply
2018-04-15,2018-05-28,no
2018-06-10,2018-07-23,no
2018-08-19,2018-10-01,Weather
2018-10-04,2018-11-15,Weather
2018-11-04,2018-12-17,Anomaly
2019-02-17,2019-04-01,no
2019-04-07,2019-05-20,no
2019-05-26,2019-07-08,no
2019-07-14,2019-08-26,no
2019-09-10,2019-10-22,supply
2020-01-19,2020-03-02,Anomaly
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
