<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:f35bf65ab44f9bfa17894d16dd85df56b63a717898d05e3bb51b241030326b33
size 5121
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth
2017-01-22,2017-03-06,Normal,Normal,Normal
2017-01-29,2017-03-13,Normal,Normal,Normal
2017-02-05,2017-03-20,Normal,Normal,Normal
2017-02-12,2017-03-27,Normal,Normal,Normal
2017-02-19,2017-04-03,Normal,Normal,Normal
2017-02-26,2017-04-10,Normal,Normal,Normal
2017-03-05,2017-04-17,Normal,Normal,Normal
2017-03-12,2017-04-24,Normal,Normal,Normal
2017-03-19,2017-05-01,Normal,Normal,Normal
2017-03-26,2017-05-08,Normal,Normal,Normal
2017-04-02,2017-05-15,Normal,Normal,Normal
2017-04-09,2017-05-22,Normal,Normal,Normal
2017-04-16,2017-05-29,Normal,Normal,Normal
2017-04-23,2017-06-05,Normal,Normal,Normal
2017-04-30,2017-06-12,Normal,Normal,Normal
2017-05-07,2017-06-19,Normal,Normal,Normal
2017-05-14,2017-06-26,Normal,Normal,Normal
2017-05-21,2017-07-03,Normal,Normal,Normal
2017-05-28,2017-07-10,Normal,Normal,Normal
2017-06-04,2017-07-17,Normal,Normal,Normal
2017-06-11,2017-07-24,Normal,Normal,Normal
2017-06-18,2017-07-31,Normal,Normal,Normal
2017-06-25,2017-08-07,Normal,Normal,Normal
2017-07-02,2017-08-14,Normal,Normal,Normal
2017-07-09,2017-08-21,Normal,Normal,Normal
2017-07-16,2017-08-28,Normal,Normal,Normal
2017-07-23,2017-09-04,Normal,Normal,Normal
2017-07-30,2017-09-11,Normal,Normal,Normal
2017-08-06,2017-09-18,Normal,Normal,Normal
2017-08-13,2017-09-25,Normal,Normal,Normal
2017-08-20,2017-10-02,Normal,Normal,Normal
2017-08-27,2017-10-09,Normal,Normal,Normal
2017-09-03,2017-10-16,Normal,Normal,Normal
2017-09-10,2017-10-23,Normal,Normal,Normal
2017-09-17,2017-10-30,Normal,Normal,Normal
2017-09-24,2017-11-06,Normal,Normal,Normal
2018-03-25,2018-05-07,Normal,Normal,Normal
2018-04-01,2018-05-14,Normal,Normal,Normal
2018-04-08,2018-05-21,Normal,Normal,Normal
2018-04-15,2018-05-28,Normal,Normal,Normal
2018-04-22,2018-06-04,Normal,Normal,Normal
2018-04-29,2018-06-11,Normal,Normal,Normal
2018-05-06,2018-06-18,Normal,Normal,Normal
2018-05-13,2018-06-25,Normal,Normal,Normal
2018-05-20,2018-07-02,Normal,Normal,Normal
2018-05-27,2018-07-09,Normal,Normal,Normal
2018-06-03,2018-07-16,Normal,Normal,Normal
2018-06-10,2018-07-23,Normal,Normal,Normal
2018-06-24,2018-08-06,Normal,Normal,Normal
2018-07-01,2018-08-13,Normal,Normal,Normal
2018-07-08,2018-08-20,Normal,Normal,Normal
2018-07-15,2018-08-27,Normal,Normal,Normal
2018-07-22,2018-09-03,Normal,Normal,Normal
2018-07-29,2018-09-10,Normal,Normal,Normal
2018-08-05,2018-09-17,Normal,Normal,Normal
2018-08-12,2018-09-24,Normal,Normal,Normal
2018-08-19,2018-10-01,Normal,Normal,Normal
2018-08-26,2018-10-08,Normal,Normal,Normal
2018-09-02,2018-10-15,Normal,Normal,Normal
2018-09-09,2018-10-22,Normal,Normal,Normal
2018-09-16,2018-10-29,Normal,Normal,Normal
2018-09-23,2018-11-05,Normal,Normal,Normal
2018-09-30,2018-11-12,Normal,Normal,Normal
2018-10-07,2018-11-19,Normal,Normal,Normal
2018-10-14,2018-11-26,Normal,Normal,Normal
2019-02-17,2019-04-01,Normal,Normal,Normal
2019-02-24,2019-04-08,Normal,Normal,Normal
2019-03-03,2019-04-15,Normal,Normal,Normal
2019-03-10,2019-04-22,Normal,Normal,Normal
2019-03-17,2019-04-29,Normal,Normal,Normal
2019-03-24,2019-05-06,Normal,Normal,Normal
2019-03-31,2019-05-13,Normal,Normal,Normal
2019-04-07,2019-05-20,Normal,Normal,Normal
2019-04-14,2019-05-27,Normal,Normal,Normal
2019-04-21,2019-06-03,Normal,Normal,Normal
2019-04-28,2019-06-10,Normal,Normal,Normal
2019-05-05,2019-06-17,Normal,Normal,Normal
2019-05-12,2019-06-24,Normal,Normal,Normal
2019-05-19,2019-07-01,Normal,Normal,Normal
2019-05-26,2019-07-08,Normal,Normal,Normal
2019-06-02,2019-07-15,Normal,Normal,Normal
2019-06-09,2019-07-22,Normal,Normal,Normal
2019-06-16,2019-07-29,Normal,Normal,Normal
2019-06-23,2019-08-05,Normal,Normal,Normal
2019-06-30,2019-08-12,Normal,Normal,Normal
2019-07-07,2019-08-19,Normal,Normal,Normal
2019-07-14,2019-08-26,Normal,Normal,Normal
2019-07-21,2019-09-02,Normal,Normal,Normal
2019-07-28,2019-09-09,Normal,Normal,Normal
2019-08-04,2019-09-16,Normal,Normal,Normal
2019-08-11,2019-09-23,Normal,Normal,Normal
2019-08-18,2019-09-30,Normal,Normal,Normal
2019-08-25,2019-10-07,Normal,Normal,Normal
2019-09-01,2019-10-14,Normal,Normal,Normal
2019-09-08,2019-10-21,Normal,Normal,Normal
2019-09-15,2019-10-28,Normal,Normal,Normal
2019-09-22,2019-11-04,Normal,Normal,Normal
2019-09-29,2019-11-11,Normal,Normal,Normal
2019-10-06,2019-11-18,Normal,Normal,Normal
2020-04-19,2020-06-01,Normal,Normal,Normal
2020-04-26,2020-06-08,Normal,Normal,Normal
2020-05-03,2020-06-15,Normal,Normal,Normal
2020-05-10,2020-06-22,Normal,Normal,Normal
2020-05-17,2020-06-29,Normal,Normal,Normal
2020-05-24,2020-07-06,Normal,Normal,Normal
2020-05-31,2020-07-13,Normal,Normal,Normal
2020-06-07,2020-07-20,Normal,Normal,Normal
2020-06-14,2020-07-27,Normal,Normal,Normal
2020-06-21,2020-08-03,Normal,Normal,Normal
2020-06-28,2020-08-10,Normal,Normal,Normal
2020-07-05,2020-08-17,Normal,Normal,Normal
2020-07-12,2020-08-24,Normal,Normal,Normal
2020-07-19,2020-08-31,Normal,Normal,Normal
2020-07-26,2020-09-07,Normal,Normal,Normal
2020-08-02,2020-09-14,Normal,Normal,Normal
