<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:1d57bf38fa87ce7bc511563e8145464fdfddfbb1bdf86b8e2ed281e8916a3117
size 1909
=======
STARTDATE,ENDDATE,ANOMALY
2006-02-19,2006-04-02,Weather
2006-05-16,2006-06-28,no
2006-05-20,2006-07-01,Fuel
2006-08-14,2006-09-26,no
2006-09-26,2006-11-08,no
2006-10-13,2006-11-24,Transport
2007-01-21,2007-03-04,Inflation
2007-04-20,2007-06-02,no
2007-05-13,2007-06-24,Transport
2007-06-08,2007-07-20,supply
2008-01-20,2008-03-03,no
2008-03-03,2008-04-15,no
2008-03-09,2008-04-20,Inflation
2008-12-15,2009-01-27,no
2009-01-27,2009-03-11,no
2009-03-11,2009-04-23,no
2009-05-09,2009-06-21,no
2009-06-13,2009-07-25,Fuel
2009-10-17,2009-11-28,Weather
2010-03-20,2010-05-01,Hoarding
2010-06-14,2010-07-27,no
2010-06-26,2010-08-07,Fuel
2010-11-12,2010-12-25,no
2010-12-05,2011-01-16,Hoarding Weather
2010-12-13,2011-01-24,supply
2011-04-28,2011-06-10,no
2011-06-10,2011-07-23,no
2011-07-23,2011-09-03,Inflation
2012-01-15,2012-02-27,no
2012-02-27,2012-04-10,no
2012-04-10,2012-05-23,no
2012-05-23,2012-07-05,no
2012-07-01,2012-08-12,Weather
2012-09-25,2012-11-07,no
2012-12-07,2013-01-18,Weather
2013-04-13,2013-05-26,no
2013-05-26,2013-07-08,no
2013-06-29,2013-08-10,Weather
2013-11-25,2014-01-06,supply
2014-01-25,2014-03-09,no
2014-03-09,2014-04-21,no
2014-04-21,2014-06-03,no
2014-05-26,2014-07-07,Hoarding
2014-08-20,2014-10-02,no
2014-08-22,2014-10-03,Hoarding
2015-06-10,2015-07-22,Weather
2015-10-14,2015-11-25,supply
2015-11-30,2016-01-12,no



2016-04-07,2016-05-19,supply
2016-05-30,2016-07-11,Inflation
2016-10-23,2016-12-04,Transport
2017-01-08,2017-02-20,no
2017-02-26,2017-04-10,no
2017-05-24,2017-07-05,supply
2017-07-20,2017-08-31,Hoarding
2017-12-15,2018-01-27,Anomaly
2018-04-01,2018-05-14,no
2018-05-20,2018-07-02,no
2018-07-15,2018-08-27,no
2018-09-09,2018-10-22,no
2019-02-10,2019-03-25,no
2019-04-07,2019-05-20,no
2019-05-26,2019-07-08,no
2019-07-14,2019-08-26,no
2019-09-13,2019-10-25,supply
2020-03-01,2020-04-13,no
2020-05-31,2020-07-13,no
2020-07-19,2020-08-31,no
2020-09-20,2020-11-02,no
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
