<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e2bb5ae5c93f4f495b9536d76957a6dd3cd7580e545222b9f53703289e198df1
size 21317
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2016-01-01,2016-02-13,,,Anomaly,0.9998979695949392,WEST BENGAL,KHARAGPUR
2016-01-01,2016-02-13,,,Anomaly,0.999900009999,WEST BENGAL,MALDA
2016-01-15,2016-02-27,,,Anomaly,1.172211687640062,MADHYA PRADESH,GWALIOR
2016-02-01,2016-03-15,Anomaly,,Normal,1.031582288525631,MADHYA PRADESH,BHOPAL
2016-02-15,2016-03-29,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,KHARAGPUR
2016-02-15,2016-03-29,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,MALDA
2016-02-29,2016-04-12,Anomaly,,Anomaly,0.9998276159282882,MADHYA PRADESH,GWALIOR
2016-03-07,2016-04-19,Anomaly,,Normal,1.0664889185135809,WEST BENGAL,KOLKATA
2016-04-04,2016-05-17,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,KHARAGPUR
2016-04-04,2016-05-17,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,MALDA
2016-04-18,2016-05-31,Normal,,Anomaly,0.9998889012331964,WEST BENGAL,RAIGANJ
2016-05-09,2016-06-21,Anomaly,,Normal,0.9998876530726885,WEST BENGAL,SILIGURI
2016-05-23,2016-07-05,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,KHARAGPUR
2016-05-23,2016-07-05,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,MALDA
2016-06-06,2016-07-19,Anomaly,,Normal,1.1021474832405411,WEST BENGAL,PURULIA
2016-06-06,2016-07-19,Anomaly,,Normal,0.9998889012331964,WEST BENGAL,RAIGANJ
2016-06-27,2016-08-09,Anomaly,,Normal,1.033218531274303,WEST BENGAL,SILIGURI
2016-07-11,2016-08-23,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,MALDA
2016-07-11,2016-08-23,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,KHARAGPUR
2016-07-25,2016-09-06,Anomaly,,Anomaly,1.1109876680368849,WEST BENGAL,RAIGANJ
2016-07-25,2016-09-06,Anomaly,,Anomaly,1.0102051334913926,WEST BENGAL,PURULIA
2016-08-15,2016-09-27,Anomaly,,Normal,0.9998924846790668,WEST BENGAL,SILIGURI
2016-08-22,2016-10-04,Anomaly,,Normal,1.128850185453959,MADHYA PRADESH,JABALPUR
2016-08-29,2016-10-11,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,MALDA
2016-08-29,2016-10-11,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,KHARAGPUR
2016-09-12,2016-10-25,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,PURULIA
2016-10-17,2016-11-29,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,MALDA
2016-10-17,2016-11-29,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,KHARAGPUR
2016-10-24,2016-12-06,Anomaly,,Normal,1.1164805865689051,MADHYA PRADESH,GWALIOR
2016-10-31,2016-12-13,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,PURULIA
2016-12-05,2017-01-17,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,KHARAGPUR
2016-12-05,2017-01-17,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,MALDA
2016-12-12,2017-01-24,Anomaly,,Normal,1.2239269091535945,MADHYA PRADESH,JABALPUR
2016-12-12,2017-01-24,Anomaly,,Normal,1.1549732804688846,MADHYA PRADESH,BHOPAL
2016-12-19,2017-01-31,Anomaly,,Anomaly,0.9998979695949392,WEST BENGAL,PURULIA
2016-12-26,2017-02-07,Anomaly,,Normal,1.058698976590989,WEST BENGAL,RAIGANJ
2017-01-22,2017-03-06,Normal,Normal,Anomaly,1.1135098284285876,WEST BENGAL,KHARAGPUR
2017-01-22,2017-03-06,Anomaly,Anomaly,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2017-01-29,2017-03-13,Normal,Anomaly,Normal,1.1997600479904018,WEST BENGAL,KOLKATA
2017-02-05,2017-03-20,Anomaly,Normal,Anomaly,0.9998979695949392,WEST BENGAL,PURULIA
2017-02-05,2017-03-20,Normal,Anomaly,Normal,1.163027953478882,MADHYA PRADESH,JABALPUR
2017-02-19,2017-04-03,Anomaly,Normal,Normal,1.0236876562314008,WEST BENGAL,RAIGANJ
2017-03-12,2017-04-24,Anomaly,Anomaly,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2017-03-12,2017-04-24,Normal,Anomaly,Normal,1.0543537538629342,MADHYA PRADESH,BHOPAL
