<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:62907efba987fba1f69357a1fa1efaac8c6e16eef39cc8abfa9b782a19a129d9
size 2340
=======
DATE,DISPERSION
2016-01-01,0.0017705297859741233
2016-02-01,0.0013546844316359627
2016-03-01,0.005967483050902668
2016-04-01,0.0050308623483983185
2016-05-01,0.005096074082636919
2016-06-01,0.0017384198226110348
2016-07-01,0.001754426571586352
2016-08-01,0.001470424024217911
2016-09-01,0.0005323548734157842
2016-10-01,0.0008219978227354976
2016-11-01,0.0004970332841691377
2016-12-01,0.0
2017-01-01,0.0001382691224713345
2017-02-01,0.0010812937353047245
2017-03-01,0.0010161771954142998
2017-04-01,0.00013894246486649426
2017-05-01,7.706492290522302e-05
2017-06-01,0.0065960091438543676
2017-07-01,0.006658939112166484
2017-08-01,0.007105818227415306
2017-09-01,0.006822246437378441
2017-10-01,0.004706284780056846
2017-11-01,0.004640232592646303
2017-12-01,0.004065938633222077
2018-01-01,0.004938488698226521
2018-02-01,0.005079723289841955
2018-03-01,0.004920395413822108
2018-04-01,0.00489978214969686
2018-05-01,0.005167541051268413
2018-06-01,0.00572572695641313
2018-07-01,0.006895097955120561
2018-08-01,0.008998460456888395
2018-09-01,0.00978002543670773
2018-10-01,0.009229203177480255
2018-11-01,0.008671911210196556
2018-12-01,0.007963107945848915
2019-01-01,0.008383914727888683
2019-02-01,0.008662812013643658
2019-03-01,0.008766674150481603
2019-04-01,0.008728629399976442
2019-05-01,0.009543802558967035
2019-06-01,0.009476369516613205
2019-07-01,0.009291420641929253
2019-08-01,0.008052023320219622
2019-09-01,0.008656101304685424
2019-10-01,0.009710904131488474
2019-11-01,0.009703627089184343
2019-12-01,0.008650355511295999
2020-01-01,0.010501249228630929
2020-02-01,0.00929375109838832
2020-03-01,0.007250076683377623
2020-04-01,0.007876727976765734
2020-05-01,0.0077856542380798106
2020-06-01,0.007798067358638241
2020-07-01,0.011295656996642998
2020-08-01,0.012353102799757244
2020-09-01,0.015765107243733027
2020-10-01,0.01688925561929522
2020-11-01,0.017903122079380624
2020-12-01,0.01891753192373092
2021-01-01,0.018046421669194252
2021-02-01,0.017951953215049356
2021-03-01,0.019690978902900495
2021-04-01,0.021934775284561805
2021-05-01,0.026588425254534486
2021-06-01,0.024416125230116017
2021-07-01,0.02411632611954832
2021-08-01,0.027102191166534943
2021-09-01,0.02954803717808941
2021-10-01,0.03158493206821253
2021-11-01,0.030522686533828492
2021-12-01,0.027081259497756027
2022-01-01,0.02580358496439295
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
