<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:80ccfb98feb1e9507036177115c835424f72414912fba8b95d9af422a25bb120
size 2299
=======
DATE,DISPERSION
2016-01-01,0.06292884179989587
2016-02-01,0.053950162365616956
2016-03-01,0.058123472141727535
2016-04-01,0.06031468589746717
2016-05-01,0.04911783785655941
2016-06-01,0.03282118910695537
2016-07-01,0.030872913496850778
2016-08-01,0.03527600794958956
2016-09-01,0.04036738865023654
2016-10-01,0.04725400659852481
2016-11-01,0.047379485907298034
2016-12-01,0.037783688637390636
2017-01-01,0.03351425342677425
2017-02-01,0.04302268942182619
2017-03-01,0.06420244407542862
2017-04-01,0.07430557478578878
2017-05-01,0.08538111503128927
2017-06-01,0.057755463104775466
2017-07-01,0.05351603081677006
2017-08-01,0.0614661290016088
2017-09-01,0.07265657234273157
2017-10-01,0.08496934454385598
2017-11-01,0.08893730568643078
2017-12-01,0.050084515902102646
2018-01-01,0.05182355655383857
2018-02-01,0.049330897298586814
2018-03-01,0.04912469425001851
2018-04-01,0.05174836133005092
2018-05-01,0.044362116800869864
2018-06-01,0.0411465398954725
2018-07-01,0.04093835969437494
2018-08-01,0.04315852004483004
2018-09-01,0.03702462596591732
2018-10-01,0.03352761540825703
2018-11-01,0.0466540290895395
2018-12-01,0.04110683601499244
2019-01-01,0.0377957636749518
2019-02-01,0.02559012028188976
2019-03-01,0.02980635391629073
2019-04-01,0.03609028274297726
2019-05-01,0.031106589109436658
2019-06-01,0.02528681250984862
2019-07-01,0.024748713694194006
2019-08-01,0.03439883684662294
2019-09-01,0.03823221323976023
2019-10-01,0.043935336810953095
2019-11-01,0.0515828454377902
2019-12-01,0.032143757003610926
2020-01-01,0.041531393579864774
2020-02-01,0.03395121828188205
2020-03-01,0.01364089977347705
2020-04-01,0.013335306716469396
2020-05-01,0.01922424626962888
2020-06-01,0.022992077665876236
2020-07-01,0.022095678613163933
2020-08-01,0.0195218654222621
2020-09-01,0.018956139165472317
2020-10-01,0.015240508170101905
2020-11-01,0.016866631124641557
2020-12-01,0.028377727517602633
2021-01-01,0.02324583257322262
2021-02-01,0.021641661424673577
2021-03-01,0.0288346868958301
2021-04-01,0.03153134468305785
2021-05-01,0.037306016243853136
2021-06-01,0.022376705685555588
2021-07-01,0.027481242601504915
2021-08-01,0.028467271655825375
2021-09-01,0.032454594296111125
2021-10-01,0.0331841384939053
2021-11-01,0.03539653002125813
2021-12-01,0.037180431187563985
2022-01-01,0.04258707396466016
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
