<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:0b825978d3cc5d4c73dcdc5ba643fc19c916250b3d7c5d95297807a20ac89fa3
size 22058
=======
STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear
2017-01-01,2017-02-13,15.198060983196774,5.0632230909390765,11.45142499706021,Normal
2017-01-08,2017-02-20,15.271924619560407,4.966632181848168,11.621879542514755,Normal
2017-01-15,2017-02-27,15.874197346833135,4.921177636393622,12.940061360696575,Normal
2017-01-22,2017-03-06,17.291810983196772,5.1115185454845316,13.820743178878393,Normal
2017-01-29,2017-03-13,17.460180290767713,4.845970555063088,14.066572703111184,Normal
2017-02-05,2017-03-20,17.066414140956123,5.122601010195392,13.506313130760732,Normal
2017-02-12,2017-03-27,17.441414140956123,5.497601010195392,13.154040403488006,Normal
2017-02-19,2017-04-03,17.581960912948677,5.435084541596778,13.357103644079173,Normal
2017-02-26,2017-04-10,17.643440768137683,4.973837124058513,14.275517899911733,Normal
2017-03-05,2017-04-17,15.866807245154064,4.492658146529439,13.063159944853584,Normal
2017-03-12,2017-04-24,15.656264316137337,4.498655621000714,12.846619541365579,Normal
2017-03-19,2017-05-01,14.876572233848528,4.25562043056225,11.855417194969778,Normal
2017-03-26,2017-05-08,14.180143662280807,3.7296464044490776,12.008014597288888,Normal
2017-04-02,2017-05-15,14.131676165138996,3.607659356136344,12.08153414845981,Normal
2017-04-09,2017-05-22,12.286105400859078,3.546179500947335,9.776756256263612,Normal
2017-04-16,2017-05-29,12.11671619656997,3.592699387567319,8.892523302230853,Normal
2017-04-23,2017-06-05,11.64881348464891,3.613433040418984,8.460705119276305,Normal
2017-04-30,2017-06-12,10.838423859073508,3.027610573962872,8.408107686307325,Normal
2017-05-07,2017-06-19,10.772336720583096,2.8566847254402967,8.20125808492947,Normal
2017-05-14,2017-06-26,10.150854036525041,2.792020223200423,7.655803539474925,Normal
2017-05-21,2017-07-03,10.467108095189452,2.4075843463541946,8.379220747712838,Normal
2017-05-28,2017-07-10,10.210794963718492,2.152533841461518,8.606493474985564,Normal
2017-06-04,2017-07-17,9.802750705392159,1.8032017043117954,8.792099536159805,Normal
2017-06-11,2017-07-24,9.878291846403165,1.589781746241392,9.0,Normal
2017-06-18,2017-07-31,10.064312207497396,1.5439839260628974,9.412625137494588,Normal
2017-06-25,2017-08-07,10.09630625497875,1.5276825194249293,9.699556955250271,Normal
2017-07-02,2017-08-14,10.187215345887841,1.504955246697657,10.245011500704816,Normal
2017-07-09,2017-08-21,10.889551204631529,1.6776193879539698,11.148420591613906,Normal
2017-07-16,2017-08-28,12.192581507770337,2.3897405996510184,11.938193318886631,Normal
2017-07-23,2017-09-04,13.049587639652502,2.9748509449400418,12.471218886966911,Normal
2017-07-30,2017-09-11,13.379638706996115,2.9185383759200207,12.744957385290506,Normal
2017-08-06,2017-09-18,13.491002343632477,2.898083830192748,12.990411931290504,Normal
2017-08-13,2017-09-25,13.524341247352941,3.0579267446541056,13.36825284080755,Normal
2017-08-20,2017-10-02,13.397773469453723,3.0779604312979973,13.261718749552223,Normal
2017-08-27,2017-10-09,13.331932279795625,2.9643872844783585,13.540127840461315,Normal
2017-09-03,2017-10-16,12.87587311776826,2.098405727225951,13.744602272381035,Normal
2017-09-10,2017-10-23,12.616231244227064,2.028502146221694,13.861682161662277,Normal
2017-09-17,2017-10-30,12.610549426045246,2.193274873494421,13.929863979844098,Normal
2017-09-24,2017-11-06,13.027494613446942,2.605875140638177,14.532136707116825,Normal
2017-10-01,2017-11-13,12.65406239134616,2.779023272176103,14.20685261655397,Normal
2017-10-08,2017-11-20,12.613880380739472,2.8334098284859195,14.297761707463058,Normal
2017-10-15,2017-11-27,12.554425524540092,3.1046653845508176,14.389807162008514,Normal
