<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d30731c2c32cf8c6177415dd64c36a00939d6b05ea564c0dab9705293533799a
size 23059
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,04/06/09,2427.5,Other,200,900,550
,06/06/09,1981.2,Other,200,800,500
,11/06/09,1769.2,Other,250,920,600
,13/06/09,1905.6,Other,300,905,655
,15/06/09,1830.5,Other,250,900,600
,18/06/09,1466.3,Other,250,850,550
,20/06/09,1095.1,Other,200,820,525
,22/06/09,1259.4,Other,250,835,550
Akole,07/06/09,339.8,Other,200,900,600
,14/06/09,139.7,Other,200,875,600
,21/06/09,146.7,Other,200,900,625
,28/06/09,138.3,Other,200,825,632
Alibagh,11/06/09,26,Red,600,640,625
,12/06/09,24,Red,600,650,620
,13/06/09,28.5,Red,610,660,640
,15/06/09,27,Red,625,670,650
,16/06/09,30,Red,640,700,675
,17/06/09,31,Red,670,740,700
,18/06/09,30,Red,690,750,725
,19/06/09,32,Red,710,760,740
,20/06/09,30,Red,700,730,720
,22/06/09,33,Red,660,710,690
,23/06/09,42.5,Red,600,700,670
Amrawati(Frui & Veg. Market),01/06/09,45,Other,700,950,825
,02/06/09,30,Other,700,950,825
,03/06/09,45,Other,700,950,825
,05/06/09,40,Other,500,950,725
,08/06/09,70,Other,500,600,550
,09/06/09,45,Other,500,900,700
,10/06/09,60,Other,500,900,700
,12/06/09,30,Other,500,900,700
,24/06/09,30,Other,500,900,700
,26/06/09,30,Other,400,900,650
,27/06/09,30,Other,700,900,800
,28/06/09,25,Other,700,900,800
,29/06/09,30,Other,500,950,725
,30/06/09,30,Other,500,900,700
Aurangabad,01/06/09,16.1,Other,300,800,550
,02/06/09,25,Other,250,650,450
,03/06/09,15.9,Other,400,700,550
,04/06/09,65.5,Other,300,500,400
,06/06/09,46,Other,300,650,475
,07/06/09,80.2,Other,300,800,550
,08/06/09,16.2,Other,300,700,500
,09/06/09,11,Other,250,750,500
,10/06/09,12.8,Other,200,750,475
,11/06/09,53.7,Other,200,700,450
,13/06/09,29.9,Other,150,750,450
,14/06/09,37.4,Other,300,700,500
,15/06/09,17.7,Other,300,800,550
,16/06/09,12.5,Other,400,800,600
,17/06/09,10.7,Other,150,750,450
,18/06/09,53.1,Other,150,550,350
,20/06/09,18,Other,150,550,350
,21/06/09,38.5,Other,150,450,300
,22/06/09,15.6,Other,200,500,350
,23/06/09,12.7,Other,200,500,350
,24/06/09,29.7,Other,300,500,400
,25/06/09,90.1,Other,350,700,500
,27/06/09,36.7,Other,300,600,450
,28/06/09,30.3,Other,200,500,350
,29/06/09,12.5,Other,150,650,400
,30/06/09,13.8,Other,300,600,450
Barshi,09/06/09,20.8,Other,100,700,625
Chalisgaon,03/06/09,0.7,Other,375,600,450
,04/06/09,0.6,Other,180,470,310
,05/06/09,0.3,Other,200,600,400
,06/06/09,0.8,Other,400,700,550
,12/06/09,1,Other,200,700,450
,17/06/09,1,Other,200,700,550
,18/06/09,0.2,Other,300,750,525
,22/06/09,1.8,Other,300,700,650
Chandrapur(Ganjwad),01/06/09,190,Other,500,950,800
