<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:aa8ebb6880b7e5cd80af8e90fc790f6f4305bd6fab809b6011f85e59b9fbff50
size 13829
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Aurangabad,01/07/08,8.3,Other,300,500,400
,02/07/08,15,,NR,NR,NR
,03/07/08,17.7,,NR,NR,NR
,05/07/08,10.3,Other,300,600,450
,06/07/08,21.3,Other,250,500,375
,07/07/08,18.4,,NR,NR,NR
,08/07/08,9.9,Other,250,550,400
,09/07/08,33.7,Other,250,550,400
,10/07/08,24.9,Other,250,650,500
,12/07/08,23.4,Other,200,600,400
,13/07/08,15.5,Other,300,500,400
,14/07/08,5,Other,300,500,400
,15/07/08,6.4,Other,250,550,400
,16/07/08,17,Other,250,600,425
,17/07/08,25.4,Other,300,600,450
,19/07/08,10.5,Other,300,700,500
,20/07/08,20.9,Other,250,650,450
,21/07/08,7.4,,NR,NR,NR
,22/07/08,5.7,Other,250,650,450
,24/07/08,25.2,Other,300,800,550
,26/07/08,9.7,Other,300,900,600
,27/07/08,34.2,Other,400,900,650
,28/07/08,6.7,Other,300,800,550
,29/07/08,14.9,Other,250,750,500
,30/07/08,4.1,Other,200,800,500
,31/07/08,30.3,Other,250,850,550
Baramati,09/07/08,7,Red,200,675,525
,12/07/08,14,Red,200,901,650
,26/07/08,23,Red,200,951,700
Barshi,21/07/08,82.7,,NR,NR,NR
,28/07/08,94.5,,NR,NR,NR
Devala,07/07/08,310,,NR,NR,NR
,15/07/08,285,Other,200,735,700
,24/07/08,200,,NR,NR,NR
,25/07/08,270,,NR,NR,NR
,28/07/08,395,Other,200,778,730
,29/07/08,170,Other,336,800,775
,31/07/08,280,Other,300,865,825
Dhule,01/07/08,250,,NR,NR,NR
,16/07/08,250,,NR,NR,NR
,17/07/08,200,,NR,NR,NR
,24/07/08,22,,NR,NR,NR
,25/07/08,20,,NR,NR,NR
,28/07/08,250,,NR,NR,NR
,29/07/08,350,,NR,NR,NR
Dindori,01/07/08,63.5,Other,350,517,465
,02/07/08,68,Other,400,527,487
,03/07/08,24,Other,414,531,493
,04/07/08,55.3,Other,222,520,490
,07/07/08,53.4,Other,225,513,465
,08/07/08,33.4,Other,476,580,550
,09/07/08,56.7,Other,427,648,618
,31/07/08,4.6,Other,496,801,782
Dindori(Vani),03/07/08,308,Other,300,572,525
,04/07/08,382.5,Other,370,579,535
,07/07/08,531.8,Other,450,570,523
,31/07/08,135.2,Other,713,897,820
Ghoti,05/07/08,2.8,Other,303,303,303
,08/07/08,2.6,Other,200,366,283
,12/07/08,3,Other,300,300,300
,15/07/08,2.3,,NR,NR,NR
,19/07/08,3.9,Other,280,350,315
,22/07/08,2.6,Other,316,350,333
,29/07/08,0.6,Other,300,300,300
Indapur,02/07/08,38.9,,NR,NR,NR
,04/07/08,25.3,,NR,NR,NR
,06/07/08,22,,NR,NR,NR
,09/07/08,18.5,,NR,NR,NR
,11/07/08,8.5,,NR,NR,NR
,13/07/08,8.5,Other,200,700,400
,16/07/08,15.5,Other,250,800,611
,18/07/08,18,Other,200,901,611
,20/07/08,18.9,Other,200,926,611
,25/07/08,25.6,,NR,NR,NR
,27/07/08,36.1,Other,200,1000,700
Jalana,24/07/08,25.5,Other,360,950,600
Jalgaon,01/07/08,40,,NR,NR,NR
,02/07/08,22,,NR,NR,NR
,03/07/08,22.6,,NR,NR,NR
,04/07/08,72.5,,NR,NR,NR
,05/07/08,42.5,,NR,NR,NR
,07/07/08,40,,NR,NR,NR
,10/07/08,8,,NR,NR,NR
,11/07/08,44,,NR,NR,NR
,12/07/08,23.6,,NR,NR,NR
,15/07/08,80,,NR,NR,NR
,16/07/08,29.5,,NR,NR,NR
,17/07/08,25,,NR,NR,NR
,18/07/08,65,,NR,NR,NR
,19/07/08,28,,NR,NR,NR
,21/07/08,23,Other,300,900,600
,22/07/08,19,Red,200,900,550
,23/07/08,20.5,,NR,NR,NR
Junnar,10/07/08,314.2,Other,300,700,500
,20/07/08,402.3,Other,450,1050,750
Junnar(Otur),10/07/08,1368.9,,NR,NR,NR
,24/07/08,1835.9,Other,500,1010,850
Kada,02/07/08,144.1,,NR,NR,NR
,09/07/08,40,,NR,NR,NR
,13/07/08,35,,NR,NR,NR
,27/07/08,73.4,Other,200,1100,900
,30/07/08,51,,NR,NR,NR
Kalvan,01/07/08,285,,NR,NR,NR
,07/07/08,295,,NR,NR,NR
,15/07/08,400,Other,400,782,725
,17/07/08,480,Other,200,871,795
Karad,01/07/08,60,Other,250,550,400
,02/07/08,41,,NR,NR,NR
,03/07/08,60,Other,200,500,350
,05/07/08,50,Other,350,600,500
,06/07/08,60,Other,300,650,500
