<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b9ca767ff555736ad39b827a27a5338fa058047f6ab0913b9acc686100b32744
size 15838
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,06/11/08,1569.3,,NR,NR,NR
,08/11/08,1298.4,,NR,NR,NR
,10/11/08,1266.8,Other,300,1300,950
,15/11/08,1458.7,Other,300,1450,950
,17/11/08,1550.8,,NR,NR,NR
,22/11/08,1304,Other,400,1500,950
,,,Red,300,1550,1000
,24/11/08,1514.4,Other,400,1550,1000
,,,Red,350,1575,1050
,27/11/08,2005.9,,NR,NR,NR
,29/11/08,1952.4,,NR,NR,NR
Aurangabad,10/11/08,16.8,Other,500,900,700
,11/11/08,3.2,Other,600,900,750
,12/11/08,6.3,Other,350,850,600
,13/11/08,20.7,Other,350,950,650
,15/11/08,20.8,Other,350,1250,800
,16/11/08,13,Other,600,1000,800
,17/11/08,18.2,Other,600,1200,900
,18/11/08,3.6,Other,300,900,600
,19/11/08,8.9,Other,400,1000,700
,20/11/08,15.9,Other,400,1100,750
,22/11/08,8.3,Other,600,1150,850
,23/11/08,14.1,Other,600,1000,800
,24/11/08,19,Other,600,1200,900
,25/11/08,13,Other,600,1000,800
,26/11/08,6.1,Other,500,1050,775
,27/11/08,14.5,Other,400,1200,800
,30/11/08,17.6,Other,350,1150,750
Barshi,26/11/08,16.9,Other,292,1400,900
Chandvad,04/11/08,88,Other,640,921,800
,05/11/08,424,,NR,NR,NR
,06/11/08,236.5,,NR,NR,NR
,07/11/08,158.5,,NR,NR,NR
,08/11/08,139.5,,NR,NR,NR
,11/11/08,191,Other,325,1262,1050
,15/11/08,239.5,Other,325,1098,900
,18/11/08,413,Other,300,1358,925
,19/11/08,473,Other,400,1284,1050
,20/11/08,646,Other,500,1309,1050
,21/11/08,754,Other,400,1260,1050
,22/11/08,404.8,Other,500,1325,1100
,26/11/08,816,Other,400,1259,1050
,28/11/08,600.5,Other,300,1100,950
,29/11/08,951.5,Other,200,766,600
Ghoti,08/11/08,1.9,Other,400,450,425
,18/11/08,0.7,Other,400,400,400
,22/11/08,0.9,Other,400,400,400
,29/11/08,1.6,Other,400,633,516
Jalgaon,01/11/08,17,Red,300,900,600
,03/11/08,35,Red,300,1000,650
,04/11/08,24,Red,300,1200,750
,05/11/08,80,Red,300,1130,700
,06/11/08,55,Red,350,915,625
,07/11/08,82.5,Red,250,850,550
,08/11/08,80,Red,250,875,550
,10/11/08,70,,NR,NR,NR
