<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4caa4adcbbf9a60e610abf4f632507c0eb002dcf6236cd2ee0a6e6034f30b207
size 25749
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Akole,13/07/2007,50.6,Other,400,950,625
,20/07/2007,12.5,Other,700,1000,950
,27/07/2007,168.5,Other,400,900,650
Aurangabad,01/07/2007,19,Other,600,900,750
,02/07/2007,9.5,Other,600,850,700
,03/07/2007,13,Other,600,1000,800
,04/07/2007,10.5,Other,500,900,700
,05/07/2007,21,Other,600,900,750
,07/07/2007,6,Other,700,1100,900
,08/07/2007,15.2,Other,600,1000,800
,09/07/2007,9.2,Other,700,1200,950
,10/07/2007,5.2,Other,500,1000,650
,11/07/2007,6,Other,700,1200,950
,12/07/2007,13.2,Other,500,1100,800
,14/07/2007,9,Other,600,900,750
,15/07/2007,10.2,Other,600,900,750
,16/07/2007,10.5,Other,600,900,750
,17/07/2007,7,Other,600,1000,800
,18/07/2007,6.5,Other,600,900,750
,19/07/2007,14,Other,600,700,650
,21/07/2007,7.5,Other,600,1100,800
,22/07/2007,28,Other,700,1200,1000
,23/07/2007,4.5,Other,700,1200,950
,24/07/2007,4.8,Other,550,950,725
Barshi,02/07/2007,28.3,Other,325,1000,825
,07/07/2007,17.8, ,NR,NR,NR
,09/07/2007,17.8, ,NR,NR,NR
,16/07/2007,35.2,Other,200,1100,805
,30/07/2007,25,Other,300,1000,900
Bhivandi,04/07/2007,0.1,Other,300,350,325
,25/07/2007,0.1,Other,300,350,325
Chandrapur,05/07/2007,9,Other,700,1400,1200
,13/07/2007,27,Other,700,1400,1200
,14/07/2007,27,Other,700,1400,1200
Chandrapur(Ganjwad),16/07/2007,9,Other,800,1400,1200
,17/07/2007,27,Other,800,1400,1200
Chopada,12/07/2007,0.5,Other,800,1000,900
,16/07/2007,3,Other,900,1000,950
Devala,02/07/2007,10,Other,950,993,971
,03/07/2007,475,Other,550,985,850
,04/07/2007,590,Other,500,923,875
,05/07/2007,490,Other,400,879,825
,06/07/2007,430,Other,400,890,825
,09/07/2007,370,Other,500,936,825
,10/07/2007,290,Other,500,897,825
,11/07/2007,270,Other,400,892,825
,12/07/2007,370,Other,400,900,830
,13/07/2007,270,Other,550,887,830
,16/07/2007,480,Other,500,873,825
,17/07/2007,400,Other,400,889,825
,18/07/2007,195,Other,500,893,825
,19/07/2007,420,Other,400,890,825
,20/07/2007,425,Other,400,878,825
,23/07/2007,410,Other,400,875,825
,24/07/2007,180,Other,400,886,825
,27/07/2007,360,Other,600,931,850
,30/07/2007,460,Other,600,1000,950
,31/07/2007,700,Other,600,1007,925
Dhule,02/07/2007,140,Other,670,930,930
,03/07/2007,19.1, ,NR,NR,NR
,04/07/2007,100,Other,900,900,900
,05/07/2007,80,Other,350,750,600
,06/07/2007,80,Other,850,975,850
,Red,250,920,815,,
,09/07/2007,2.6,Other,810,825,810
,Red,200,870,790,,
,10/07/2007,80,Other,300,1065,850
,Red,300,900,810,,
,11/07/2007,65.5,Other,1020,1020,1020
,12/07/2007,167.7,Red,300,885,800
,13/07/2007,50,Other,350,690,690
,16/07/2007,101.8,Red,200,860,760
,17/07/2007,55,Other,450,965,850
,Red,200,910,800,,
,30/07/2007,80,Other,500,850,850
,Red,250,910,840,,
,31/07/2007,50,Other,400,900,840
