<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:ee8b942ea48edc05059c3adf54838ea99427ac09e39844e1aa0740bc70e464c8
size 17090
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Aatpadi,27/12/2007,2,Red,500,650,575
Ahmednagar,01/12/2007,1691, ,NR,NR,NR
,03/12/2007,1453.3, ,NR,NR,NR
,08/12/2007,1421.3, ,NR,NR,NR
,10/12/2007,1379.7, ,NR,NR,NR
,15/12/2007,1338.1, ,NR,NR,NR
,17/12/2007,1341.1, ,NR,NR,NR
,20/12/2007,1522.8, ,NR,NR,NR
,22/12/2007,1447.5, ,NR,NR,NR
,24/12/2007,1386.5, ,NR,NR,NR
,27/12/2007,1621.3, ,NR,NR,NR
,29/12/2007,1478.9, ,NR,NR,NR
,31/12/2007,1253.1, ,NR,NR,NR
Akkalkot,04/12/2007,43.8, ,NR,NR,NR
,17/12/2007,34.2, ,NR,NR,NR
Aurangabad,01/12/2007,19,Other,200,600,400
,02/12/2007,17,Other,250,650,450
,03/12/2007,15.3,Other,300,500,400
,04/12/2007,12,Other,200,500,350
,05/12/2007,8.3,Other,300,600,450
,08/12/2007,5.7,Other,250,550,400
,09/12/2007,16,Other,250,550,400
,10/12/2007,24,Other,250,650,450
,11/12/2007,16,Other,250,650,450
,12/12/2007,8,Other,300,600,450
,13/12/2007,30.5,Other,250,550,400
,15/12/2007,18,Other,300,600,450
,16/12/2007,29.5,Other,250,650,450
,17/12/2007,29,Other,350,550,450
,18/12/2007,19,Other,250,550,400
,19/12/2007,8.5,Other,250,650,450
,20/12/2007,21,Other,250,650,450
Barshi,08/12/2007,57.4, ,NR,NR,NR
,17/12/2007,92, ,NR,NR,NR
,24/12/2007,200.2, ,NR,NR,NR
Chandrapur(Ganjwad),31/12/2007,9.2,Other,325,900,700
Chandvad,01/12/2007,888,Other,200,681,525
,07/12/2007,1087, ,NR,NR,NR
,20/12/2007,1271, ,NR,NR,NR
,22/12/2007,1694, ,NR,NR,NR
Devala,01/12/2007,450,Red,300,751,550
,03/12/2007,770,Red,300,750,575
,04/12/2007,720,Red,300,725,600
,05/12/2007,520,Red,300,751,550
