<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:876fad8e09b083a4b293568b1e8170ae6051b4f0ce70d4c2e5f739434c4e7c13
size 27452
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Akole,07/04/2007,12.6,Other,350,625,525
,20/04/2007,50,Other,300,560,430
Aurangabad,01/04/2007,7.5,Other,350,650,550
,02/04/2007,1.2,Other,400,600,500
,03/04/2007,8.2,Other,350,600,500
,04/04/2007,9.7,Other,300,600,450
,05/04/2007,23.5,Other,250,600,525
,07/04/2007,8,Other,375,650,550
,08/04/2007,25.5,Other,400,625,500
,09/04/2007,6.5,Other,350,600,450
,10/04/2007,27,Other,300,550,400
,11/04/2007,13.5,Other,300,550,450
,12/04/2007,5.5,Other,300,500,350
,14/04/2007,9.5,Other,300,600,450
,15/04/2007,45,Other,350,600,500
,16/04/2007,12,Other,350,550,450
,18/04/2007,13,Other,400,510,450
,19/04/2007,24,Other,300,500,400
,21/04/2007,8,Other,300,500,450
,22/04/2007,18.5,Other,300,550,450
,23/04/2007,26,Other,300,450,350
,24/04/2007,16,Other,250,550,375
,25/04/2007,3,Other,300,400,350
,26/04/2007,22.5,Other,350,450,400
,28/04/2007,15,Other,200,450,350
,29/04/2007,17.5,Other,300,400,350
,30/04/2007,12.6,Other,300,400,350
Baramati,04/04/2007,28.1, ,NR,NR,NR
,07/04/2007,20.6,Red,250,660,525
,11/04/2007,19.3, ,NR,NR,NR
,14/04/2007,12.8,Red,250,601,550
,18/04/2007,27.3, ,NR,NR,NR
,21/04/2007,14, ,NR,NR,NR
,25/04/2007,13.5,Red,200,681,550
Barshi,09/04/2007,130.1, ,NR,NR,NR
,18/04/2007,96.7, ,NR,NR,NR
,23/04/2007,15.4,Other,201,1000,800
Bhivandi,04/04/2007,0.1,Other,300,350,325
,11/04/2007,0.1, ,NR,NR,NR
,18/04/2007,0.1,Other,300,350,325
,25/04/2007,0.1,Other,300,350,325
Chandrapur,03/04/2007,9,Other,600,1000,800
,04/04/2007,9,Other,400,800,700
,06/04/2007,9,Other,600,800,700
,07/04/2007,9,Other,500,700,600
,10/04/2007,18,Other,600,1000,800
,12/04/2007,27,Other,700,800,750
,13/04/2007,9,Other,500,800,700
,16/04/2007,9,Other,600,1000,800
,17/04/2007,18,Other,600,800,700
,18/04/2007,27,Other,650,750,700
,20/04/2007,18,Other,600,800,700
,23/04/2007,9,Other,700,800,750
,24/04/2007,18,Other,500,800,700
,25/04/2007,15,Other,600,800,700
,26/04/2007,18,Other,650,800,700
,27/04/2007,27,Other,600,800,700
,28/04/2007,27,Other,600,900,800
Chandvad,03/04/2007,412.5, ,NR,NR,NR
,04/04/2007,520.5, ,NR,NR,NR
,05/04/2007,586.8,Other,300,510,480
,07/04/2007,833, ,NR,NR,NR
