<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:8f240c5c7dbda56820cc99a5a52ffe153b77ab07913ece56f011129a539f6071
size 33374
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,04/09/18,2435,Other,200,1300,800
,06/09/18,2669,Other,200,1250,800
,08/09/18,2534,Other,200,1200,700
,10/09/18,2300,Other,200,1100,800
,15/09/18,2736,Other,200,1200,750
,17/09/18,2478,Other,200,1150,900
,20/09/18,2687,Other,200,1100,750
,22/09/18,2432,Other,200,1100,750
,24/09/18,2026,Other,200,1100,750
,27/09/18,2223,Other,200,1100,800
,29/09/18,2077,Other,200,1150,750
Akluj,02/09/18,23,Red,300,900,750
,06/09/18,23,Red,300,900,750
,09/09/18,21,Red,400,1050,800
,16/09/18,16,Red,400,1100,800
,20/09/18,22,Red,350,1100,800
,27/09/18,18,Red,300,1100,800
,30/09/18,31,Red,200,900,700
Akola,08/09/18,9,Other,300,1100,700
,10/09/18,14,Other,300,1100,700
,12/09/18,4,Other,300,1100,700
,13/09/18,41,Other,300,1100,700
,14/09/18,16,Other,300,1100,700
,15/09/18,14,Other,300,1100,700
,17/09/18,20,Other,300,1100,700
,18/09/18,10,Other,300,1100,700
,19/09/18,15,Other,300,1100,700
,20/09/18,36,Other,300,1100,700
,24/09/18,26,Other,300,1050,675
,25/09/18,36,Other,300,1000,650
,27/09/18,11,Other,300,1000,650
Akole,06/09/18,284,Other,151,1251,845
,09/09/18,317,Other,151,1251,911
,11/09/18,171,Other,150,1151,850
,16/09/18,296,Other,151,1101,802
,18/09/18,140,Other,125,1071,760
,27/09/18,143,Other,100,1000,653
,30/09/18,110,Other,100,1011,612
Amarawati,11/09/18,22,Red,600,1300,950
Amrawati(Frui & Veg. Market),01/09/18,20,Local,700,1300,1000
,02/09/18,10,Local,1000,1400,1200
,03/09/18,25,Local,800,1600,1200
,04/09/18,25,Local,1000,1400,1200
,05/09/18,30,Local,1000,1600,1300
,07/09/18,35,Local,400,1200,800
,08/09/18,25,Local,600,1400,1000
,09/09/18,22,Local,600,1300,950
,10/09/18,21,Local,600,1200,900
