<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:edaba0dd40d5554e28c2c1dc3b8f162d84559748c10b6ed6990df7d53537974d
size 24945
=======
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Akole,03/08/2007,73.5,Other,600,1000,900
,10/08/2007,89,Other,600,950,775
Aurangabad,01/08/2007,12.5,Other,500,850,675
,02/08/2007,12,Other,700,900,800
,04/08/2007,4,Other,600,1000,800
,05/08/2007,12.5,Other,500,900,700
,06/08/2007,9.5,Other,500,800,650
,07/08/2007,6.5,Other,500,800,650
,08/08/2007,3,Other,500,900,650
,09/08/2007,10.2,Other,500,1050,775
,11/08/2007,5,Other,600,800,700
,12/08/2007,6,Other,700,1000,850
,13/08/2007,2.5,Other,700,1150,825
,14/08/2007,2.3,Other,700,1300,1000
,15/08/2007,4,Other,800,1000,900
,16/08/2007,13.5,Other,800,1200,1000
,18/08/2007,1.5,Other,800,1200,1000
,19/08/2007,6.5,Other,700,1300,1000
,20/08/2007,3,Other,800,1450,1125
,21/08/2007,7.5,Other,850,1500,1175
,22/08/2007,4.2,Other,700,1300,1000
,23/08/2007,8,Other,600,1300,950
,25/08/2007,5,Other,600,1200,900
,26/08/2007,10.5,Other,800,1400,1200
,27/08/2007,1.5,Other,800,1400,1200
,28/08/2007,3,Other,700,1200,950
,29/08/2007,1.5,Other,800,1400,1200
,30/08/2007,2,Other,900,1400,1150
Baramati,18/08/2007,10.3,Red,600,1415,1300
,25/08/2007,19.7,Red,700,1431,1250
Barshi,06/08/2007,22.4,Other,300,1000,675
,13/08/2007,300.3,Other,605,1155,1070
Bhivandi,01/08/2007,0.1,Other,300,350,325
,07/08/2007,0.1,Other,300,350,325
,16/08/2007,0.1,Other,300,350,325
,22/08/2007,0.1,Other,700,900,800
Chandrapur(Ganjwad),02/08/2007,9,Other,800,1200,1000
,03/08/2007,36,Other,800,1300,1050
,04/08/2007,9,Other,950,1200,1050
,06/08/2007,27,Other,900,1300,1100
,07/08/2007,9,Other,800,1200,1000
,08/08/2007,9,Other,1000,1400,1200
,09/08/2007,27,Other,900,1300,1050
,10/08/2007,9,Other,800,1200,1000
,11/08/2007,36,Other,800,1200,1000
,13/08/2007,27,Other,900,1200,1050
,14/08/2007,36,Other,800,1400,1150
,16/08/2007,18,Other,700,1400,1150
,17/08/2007,9,Other,700,1300,1150
,20/08/2007,37,Other,800,1600,1450
,21/08/2007,27,Other,800,1600,1400
,22/08/2007,18,Other,800,1800,1600
,23/08/2007,27,Other,800,1750,1550
,24/08/2007,27,Other,800,1600,1450
,25/08/2007,9,Other,800,1600,1450
Chandvad,01/08/2007,155.5,Other,200,908,851
,02/08/2007,178.5,Other,400,894,841
,03/08/2007,96.9,Other,400,885,841
,04/08/2007,89,Other,200,889,845
,07/08/2007,146,Other,400,1002,901
,08/08/2007,98,Other,450,977,900
,09/08/2007,152.5,Other,303,987,905
,10/08/2007,210.5,Other,500,994,911
,14/08/2007,130,Other,574,1182,1100
,16/08/2007,177.5,Other,501,1202,1111
,17/08/2007,111.5,Other,800,1424,1251
,18/08/2007,39,Other,825,1457,1351
,21/08/2007,252.5,Other,801,1636,1350
,22/08/2007,91.5,Other,876,1473,1321
,23/08/2007,37,Other,800,1719,1400
,24/08/2007,56.6,Other,890,1595,1400
,25/08/2007,52.5,Other,777,1455,1350
,30/08/2007,42.5,Other,555,1450,1325
,31/08/2007,65,Other,725,1480,1351
Devala,01/08/2007,450,Other,500,999,875
,02/08/2007,470,Other,400,966,825
,03/08/2007,390,Other,400,954,825
,06/08/2007,580,Other,500,969,875
,07/08/2007,320,Other,500,971,925
,09/08/2007,505,Other,400,994,950
,10/08/2007,390,Other,500,970,925
,13/08/2007,510,Other,550,1136,1065
,14/08/2007,520,Other,600,1198,1125
,16/08/2007,515,Other,500,1200,1125
,17/08/2007,350,Other,700,1389,1250
,20/08/2007,500,Other,1200,1890,1825
,21/08/2007,640,Other,700,1590,1350
,22/08/2007,300,Other,500,1461,1225
,23/08/2007,120,Other,700,1651,1300
,24/08/2007,250,Other,700,1608,1351
,27/08/2007,420,Other,700,1400,1250
,29/08/2007,200,Other,600,1455,1300
,30/08/2007,280,Other,600,1500,1325
,31/08/2007,450,Other,700,1575,1451
Dhule,01/08/2007,90,Other,850,850,850
,Red,200,895,800,,
,02/08/2007,45,Other,950,950,950
,Red,250,910,820,,
,03/08/2007,40,Other,680,910,910
,06/08/2007,1, ,NR,NR,NR
,07/08/2007,50,Other,800,800,800
,08/08/2007,100,Other,615,1005,915
,Red,410,945,850,,
,09/08/2007,31,Other,200,1035,920
,10/08/2007,52.8,Other,225,1035,910
,13/08/2007,96.8,Red,400,1100,1010
,14/08/2007,4,Other,1100,1100,1100
,Red,500,1170,1100,,
,16/08/2007,60.3,Other,820,820,820
,Red,630,1300,1140,,
,17/08/2007,35.7,Red,250,1350,1200
,20/08/2007,31.2,Other,655,1575,1380
,21/08/2007,12.2,Red,400,1650,1400
,22/08/2007,27.2,Red,500,1560,1280
,28/08/2007,44.4,Red,400,1330,1050
,29/08/2007,93.8,Red,400,1395,1150
,30/08/2007,21.5,Red,421,1450,1225
,31/08/2007,13,Other,1405,1405,1405
,Red,421,1500,1255,,
Dindori(Vani),13/08/2007,311.1,Other,1050,1122,1082
,24/08/2007,160.5,Other,1361,1527,1451
,27/08/2007,191.6,Other,1100,1358,1311
,30/08/2007,104.9,Other,1215,1501,1415
,31/08/2007,118.3,Other,1361,1498,1445
Indapur,01/08/2007,6.4, ,NR,NR,NR
,03/08/2007,1.4,Other,700,1051,930
,05/08/2007,7.7,Other,600,1100,800
,08/08/2007,0.6,Other,700,900,900
,10/08/2007,2.6,Other,851,951,935
,12/08/2007,23.6,Other,700,1051,850
,17/08/2007,3.8,Other,751,1151,1051
,31/08/2007,0.1,Other,451,900,900
Jalana,02/08/2007,9,Other,400,1025,850
,11/08/2007,10.9,Red,750,1075,900
,23/08/2007,1.6, ,NR,NR,NR
Jalgaon,01/08/2007,6,Red,700,950,825
,02/08/2007,3,Red,700,1000,850
,03/08/2007,25,Red,725,1025,875
,04/08/2007,15,Red,700,1000,850
,06/08/2007,11,Red,700,1075,850
,07/08/2007,17,Red,700,1050,875
,09/08/2007,20,Red,700,1050,875
,10/08/2007,27,Red,700,1025,800
,11/08/2007,18,Red,700,1060,875
,13/08/2007,5,Red,800,1100,950
,14/08/2007,3,Red,900,1150,1000
,16/08/2007,5,Red,1000,1300,1200
,17/08/2007,22,Red,750,1450,1100
,22/08/2007,21,Red,1000,1625,1300
,23/08/2007,13,Red,800,1500,1200
,24/08/2007,17.5,Red,1000,1500,1250
,25/08/2007,8,Red,1000,1625,1300
Junnar,02/08/2007,161.1,Other,700,1000,950
,05/08/2007,263.1,Other,600,1000,900
,09/08/2007,176.2,Other,600,1000,800
,12/08/2007,332.1,Other,570,1070,900
,16/08/2007,136.8,Other,700,1250,950
Junnar(Otur),02/08/2007,1033.5,Other,300,1000,900
,05/08/2007,858.9,Other,300,1010,900
,07/08/2007,155.9,Other,300,1300,1200
,09/08/2007,1236.1,Other,200,1010,1000
,12/08/2007,795.3,Other,400,1100,1000
,16/08/2007,1256.9,Other,450,1210,1200
,19/08/2007,816.9,Other,500,1700,1500
,21/08/2007,311.4,Other,700,1850,1700
,23/08/2007,1274.9,Other,400,1650,1500
,26/08/2007,949.5,Other,500,1600,1500
,28/08/2007,113.4,Other,500,1500,1200
,30/08/2007,942.4,Other,500,1600,1500
Kada,01/08/2007,7,Other,400,1011,1001
,05/08/2007,8,Other,300,1000,950
,08/08/2007,6.8, ,NR,NR,NR
,12/08/2007,14,Other,300,1075,975
,21/08/2007,6,Other,500,1725,1625
,22/08/2007,4,Other,350,1200,750
,26/08/2007,6, ,NR,NR,NR
,30/08/2007,1.5,Other,300,1000,650
Kalmeshwar,01/08/2007,0.1,Other,800,1000,900
Kalvan,24/08/2007,300,Other,300,1594,1551
,27/08/2007,340,Other,251,1400,1250
,30/08/2007,320,Other,500,1600,1451
,31/08/2007,400,Other,325,1700,1581
Kalyan,01/08/2007,0.1,Other,1000,1100,1050
,02/08/2007,0.1,Other,900,1000,950
,03/08/2007,0.1,Other,800,900,850
,04/08/2007,0.1,Other,800,900,850
,08/08/2007,0.1,Other,850,950,900
Karad,04/08/2007,50,Other,500,1000,900
,06/08/2007,30,Other,700,1000,950
,09/08/2007,35,Other,500,1000,700
,22/08/2007,35,Other,1000,1300,1100
,23/08/2007,50,Other,1000,1500,1200
,27/08/2007,20,Other,800,1500,1200
,28/08/2007,20,Other,1000,1550,1250
,29/08/2007,20,Other,800,1500,1200
Karmala,23/08/2007,1.8,Other,700,1700,1100
Kolhapur,01/08/2007,74.7,Other,600,1050,825
,02/08/2007,174.5,Other,600,1050,750
