<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:6325c0b5be55074a3a2a758b8669604ad017521a26456c269ef78ab2fc5d94c0
size 17354
=======
STARTDATA,ENDDATA,MAX_PRICE,MIN_PRICE,MAXMINRATIO
2016-01-01,2016-02-13,1300.0,1300.0,0.9992313604919293
2016-01-08,2016-02-20,1300.0,1300.0,0.9992313604919293
2016-01-15,2016-02-27,1500.0,1300.0,1.1529592621060722
2016-01-22,2016-03-05,1500.0,1300.0,1.1529592621060722
2016-01-29,2016-03-12,1500.0,1300.0,1.1529592621060722
2016-02-01,2016-03-15,1500.0,1300.0,1.1529592621060722
2016-02-08,2016-03-22,1500.0,1300.0,1.1529592621060722
2016-02-15,2016-03-29,1500.0,1300.0,1.1529592621060722
2016-02-22,2016-04-05,1700.0,1400.0,1.2134189864382583
2016-02-29,2016-04-12,1900.0,1400.0,1.3561741613133476
2016-03-07,2016-04-19,1900.0,1400.0,1.3561741613133476
2016-03-14,2016-04-26,1900.0,1400.0,1.3561741613133476
2016-03-21,2016-05-03,2100.0,1500.0,1.3990672884743505
2016-03-28,2016-05-10,2100.0,1500.0,1.3990672884743505
2016-04-04,2016-05-17,2200.0,1700.0,1.2933568489124045
2016-04-11,2016-05-24,2200.0,1900.0,1.157285639137296
2016-04-18,2016-05-31,2500.0,1900.0,1.3150973172014728
2016-04-25,2016-06-07,2500.0,1900.0,1.3150973172014728
2016-05-02,2016-06-14,2600.0,1900.0,1.3677012098895318
2016-05-09,2016-06-21,2800.0,2100.0,1.3326987148976677
2016-05-16,2016-06-28,2800.0,2200.0,1.2721490231712858
2016-05-23,2016-07-05,2800.0,2200.0,1.2721490231712858
2016-05-30,2016-07-12,2800.0,2500.0,1.1195521791283487
2016-06-06,2016-07-19,2800.0,2500.0,1.1195521791283487
2016-06-13,2016-07-26,2900.0,2600.0,1.114955786236063
2016-06-20,2016-08-02,2900.0,2800.0,1.035344519814352
2016-06-27,2016-08-09,2900.0,2800.0,1.035344519814352
2016-07-04,2016-08-16,2900.0,2800.0,1.035344519814352
2016-07-11,2016-08-23,2900.0,2800.0,1.035344519814352
2016-07-18,2016-08-30,2900.0,2800.0,1.035344519814352
2016-07-25,2016-09-06,2900.0,2900.0,0.9996552912788693
2016-08-01,2016-09-13,2900.0,2900.0,0.9996552912788693
