<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:80fa0a00bb6cdb2125256843d6c2fed1a69bb72ec10b3d2d8b630b72a7005a49
size 75416
=======
DATE,AVG,STD
2016-01-01,10487.5,911.3005815865587
2016-01-02,10475.0,930.7255234493142
2016-01-03,10475.0,930.7255234493142
2016-01-04,10450.0,961.4442261514705
2016-01-05,10425.0,985.5201672213511
2016-01-06,10425.0,985.5201672213511
2016-01-07,10412.5,1003.9764688477514
2016-01-08,10412.5,1003.9764688477514
2016-01-09,10415.97222191358,998.7740850595494
2016-01-10,10421.52777808642,990.5706571107502
2016-01-11,10425.0,985.5201672213511
2016-01-12,10425.0,985.5201672213511
2016-01-13,10412.5,1003.9764688477514
2016-01-14,10337.5,1095.088466745952
2016-01-15,10337.5,1095.088466745952
2016-01-16,10337.5,1095.088466745952
2016-01-17,10331.25,1103.3861234853373
2016-01-18,10325.0,1111.8677978968542
2016-01-19,10325.0,1111.8677978968542
2016-01-20,10325.0,1111.8677978968542
2016-01-21,10287.5,1093.3749356922353
2016-01-22,10287.5,1093.3749356922353
2016-01-23,10279.761904478459,1104.0419969515153
2016-01-24,10270.45454556933,1117.234446993325
2016-01-25,10237.5,1154.0011915071839
2016-01-26,10230.55555555382,1163.9584969928712
2016-01-27,10225.0,1172.0708169731042
2016-01-28,10200.0,1199.7395550701826
2016-01-29,10187.5,1217.7720435286728
2016-01-30,10187.5,1217.7720435286728
2016-01-31,10187.5,1217.7720435286728
2016-02-01,10187.5,1217.7720435286728
2016-02-02,10137.5,1295.8467309060898
2016-02-03,10112.5,1323.0528145164878
2016-02-04,10062.5,1388.963192456877
2016-02-05,10062.5,1388.963192456877
2016-02-06,10025.0,1431.3455208299638
2016-02-07,10000.0,1457.5235847148408
2016-02-08,9962.5,1500.5728072972668
2016-02-09,9962.5,1500.5728072972668
2016-02-10,9962.5,1500.5728072972668
2016-02-11,9962.5,1500.5728072972668
2016-02-12,9915.625,1455.4282821132067
2016-02-13,9868.75,1419.713329338004
2016-02-14,9868.75,1419.713329338004
2016-02-15,9881.25,1405.3330343729915
2016-02-16,9868.75,1397.5285104426314
2016-02-17,9893.75,1361.6252926190818
2016-02-18,9806.25,1281.219511832379
2016-02-19,9806.25,1281.219511832379
2016-02-20,9806.25,1281.219511832379
2016-02-21,9806.25,1281.219511832379
2016-02-22,9806.25,1281.219511832379
2016-02-23,9806.25,1281.219511832379
2016-02-24,9768.75,1258.7040706615674
2016-02-25,9818.75,1193.7172770384116
2016-02-26,9818.75,1193.7172770384116
2016-02-27,9818.75,1193.7172770384116
2016-02-28,9856.25,1215.8940897545313
2016-02-29,9893.75,1245.6016367603247
2016-03-01,9918.75,1212.9348447051887
2016-03-02,9893.75,1245.6016367603247
2016-03-03,9893.75,1245.6016367603247
2016-03-04,9893.75,1245.6016367603247
2016-03-05,9893.75,1245.6016367603247
2016-03-06,9893.75,1245.6016367603247
2016-03-07,9893.75,1245.6016367603247
2016-03-08,9893.75,1245.6016367603247
2016-03-09,9875.0,1229.8373876248843
2016-03-10,9856.25,1215.8940897545313
2016-03-11,9856.25,1215.8940897545313
2016-03-12,9838.194444135803,1190.910267668153
2016-03-13,9849.305555864197,1176.419018962211
2016-03-14,9875.0,1178.9826122551597
2016-03-15,9893.75,1192.276577602697
2016-03-16,9893.75,1192.276577602697
2016-03-17,9918.75,1162.4159915882094
2016-03-18,9931.25,1145.3540664353534
2016-03-19,9931.25,1145.3540664353534
2016-03-20,9931.25,1145.3540664353534
2016-03-21,9931.25,1145.3540664353534
2016-03-22,9931.25,1145.3540664353534
2016-03-23,9931.25,1145.3540664353534
2016-03-24,9931.25,1145.3540664353534
2016-03-25,9931.25,1145.3540664353534
2016-03-26,9931.25,1145.3540664353534
2016-03-27,9931.25,1145.3540664353534
2016-03-28,9931.25,1145.3540664353534
2016-03-29,9906.25,1180.1582256206157
2016-03-30,9906.25,1180.1582256206157
2016-03-31,9906.25,1180.1582256206157
2016-04-01,9906.25,1180.1582256206157
2016-04-02,9906.25,1180.1582256206157
2016-04-03,9906.25,1180.1582256206157
2016-04-04,9906.25,1180.1582256206157
2016-04-05,9918.75,1162.4159915882094
2016-04-06,9918.75,1162.4159915882094
2016-04-07,9943.75,1131.2154690862392
2016-04-08,9943.75,1131.2154690862392
2016-04-09,9943.75,1131.2154690862392
2016-04-10,9943.75,1131.2154690862392
2016-04-11,9943.75,1131.2154690862392
2016-04-12,9943.75,1131.2154690862392
2016-04-13,9943.75,1131.2154690862392
2016-04-14,9943.75,1131.2154690862392
2016-04-15,9943.75,1131.2154690862392
2016-04-16,9943.75,1131.2154690862392
2016-04-17,9943.75,1131.2154690862392
2016-04-18,9943.75,1131.2154690862392
2016-04-19,9956.25,1116.7580031054176
2016-04-20,9956.25,1116.7580031054176
2016-04-21,9943.75,1135.6268918531298
2016-04-22,9943.75,1135.6268918531298
2016-04-23,9943.75,1135.6268918531298
2016-04-24,9943.75,1135.6268918531298
2016-04-25,9943.75,1135.6268918531298
2016-04-26,9943.75,1135.6268918531298
2016-04-27,9943.75,1135.6268918531298
2016-04-28,9943.75,1135.6268918531298
2016-04-29,9931.25,1149.711240920954
2016-04-30,9931.25,1149.711240920954
2016-05-01,9931.25,1149.711240920954
2016-05-02,9931.25,1149.711240920954
2016-05-03,9906.25,1180.1582256206157
2016-05-04,9906.25,1180.1582256206157
2016-05-05,9881.25,1217.5635250367843
2016-05-06,9881.25,1217.5635250367843
2016-05-07,9843.75,1260.3168004513786
