<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:6e6167f280d11e27b4f4f8dbd106a0d99fec1f069842fcc655599787e4dd6b83
size 1381
=======
2016-03-07,2016-04-19,Normal,,Normal,1.0326086956521738
2016-06-13,2016-07-26,Normal,,Normal,1.0315789473684212
2016-10-10,2016-11-22,Normal,,Normal,1.0
2017-03-26,2017-05-08,Anomaly,Normal,Anomaly,1.0319148936170213
2017-05-21,2017-07-03,Anomaly,Anomaly,Normal,1.0444444444444445
2017-06-04,2017-07-17,Anomaly,Anomaly,Anomaly,1.022222222222222
2017-07-16,2017-08-28,Anomaly,Anomaly,Anomaly,1.022222222222222
2018-02-25,2018-04-09,Normal,Normal,Normal,1.0
2018-05-06,2018-06-18,Normal,Normal,Normal,1.0434782608695652
2018-07-22,2018-09-03,Normal,Normal,Normal,1.0104712041884816
2018-11-11,2018-12-24,Normal,Normal,Normal,1.015748031496063
2019-01-06,2019-02-18,Normal,Normal,Normal,1.0076923076923077
2019-03-03,2019-04-15,Normal,Normal,Normal,1.0343915343915344
2019-05-12,2019-06-24,Normal,Normal,Normal,1.0207253886010363
2019-08-04,2019-09-16,Normal,Normal,Normal,1.0103092783505154
2019-08-11,2019-09-23,Normal,Normal,Normal,2.2906976744186047
2019-09-15,2019-10-28,Normal,Normal,Normal,2.2906976744186047
2019-09-29,2019-11-11,Normal,Normal,Normal,1.010204081632653
2020-03-29,2020-05-11,Normal,Normal,Normal,1.0357142857142858
2020-07-05,2020-08-17,Normal,Normal,Normal,1.058252427184466
2020-08-30,2020-10-12,Normal,Anomaly,Normal,1.6615853658536586
2020-09-13,2020-10-26,Normal,Anomaly,Normal,1.6615853658536586
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
