<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e1f386bedfecbbd148a5c95177f389141967e1d0b69f52ffa377149aa208a302
size 38634
=======
index,DATE,MANDINAME,STATENAME,VOLATILITY
0,2016-01-01,SAMBALPUR,ODISHA,0.037163879396981285
1,2016-01-01,CUTTACK,ODISHA,0.02331775259767524
2,2016-01-01,BHUBANESHWAR,ODISHA,0.017821252611604072
3,2016-01-01,KARIMNAGAR,ANDHRA PRADESH,0.013394353423628831
10,2016-01-01,AVERAGE,,0.009169723802988942
4,2016-01-01,HYDERABAD,ANDHRA PRADESH,0.0
5,2016-01-01,TIRUPATHI,ANDHRA PRADESH,0.0
6,2016-01-01,VIJAYWADA,ANDHRA PRADESH,0.0
7,2016-01-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0
8,2016-01-01,BALASORE,ODISHA,0.0
9,2016-01-01,BERHAMPUR,ODISHA,0.0
0,2016-02-01,VIJAYWADA,ANDHRA PRADESH,0.04101661198183937
1,2016-02-01,CUTTACK,ODISHA,0.028749741225865592
2,2016-02-01,BHUBANESHWAR,ODISHA,0.02264750345894312
3,2016-02-01,SAMBALPUR,ODISHA,0.02246706456519362
4,2016-02-01,HYDERABAD,ANDHRA PRADESH,0.022191863222296482
10,2016-02-01,AVERAGE,,0.014651459699756411
5,2016-02-01,KARIMNAGAR,ANDHRA PRADESH,0.009441812543425913
6,2016-02-01,TIRUPATHI,ANDHRA PRADESH,0.0
7,2016-02-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0
8,2016-02-01,BALASORE,ODISHA,0.0
9,2016-02-01,BERHAMPUR,ODISHA,0.0
0,2016-03-01,VIJAYWADA,ANDHRA PRADESH,0.01227201316250668
1,2016-03-01,BHUBANESHWAR,ODISHA,0.01195749107670738
2,2016-03-01,CUTTACK,ODISHA,0.011853239612986144
3,2016-03-01,SAMBALPUR,ODISHA,0.006061948875779235
10,2016-03-01,AVERAGE,,0.004214469272797944
4,2016-03-01,HYDERABAD,ANDHRA PRADESH,0.0
5,2016-03-01,KARIMNAGAR,ANDHRA PRADESH,0.0
6,2016-03-01,TIRUPATHI,ANDHRA PRADESH,0.0
7,2016-03-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0
8,2016-03-01,BALASORE,ODISHA,0.0
9,2016-03-01,BERHAMPUR,ODISHA,0.0
0,2016-04-01,SAMBALPUR,ODISHA,0.012575508913056149
1,2016-04-01,CUTTACK,ODISHA,0.006148016115568557
10,2016-04-01,AVERAGE,,0.0018723525028624705
2,2016-04-01,HYDERABAD,ANDHRA PRADESH,0.0
3,2016-04-01,KARIMNAGAR,ANDHRA PRADESH,0.0
4,2016-04-01,TIRUPATHI,ANDHRA PRADESH,0.0
5,2016-04-01,VIJAYWADA,ANDHRA PRADESH,0.0
6,2016-04-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0
7,2016-04-01,BALASORE,ODISHA,0.0
8,2016-04-01,BERHAMPUR,ODISHA,0.0
9,2016-04-01,BHUBANESHWAR,ODISHA,0.0
0,2016-05-01,SAMBALPUR,ODISHA,0.02964791756109812
1,2016-05-01,BHUBANESHWAR,ODISHA,0.028769291199502164
2,2016-05-01,CUTTACK,ODISHA,0.025442858850318818
10,2016-05-01,AVERAGE,,0.00838600676109191
3,2016-05-01,HYDERABAD,ANDHRA PRADESH,0.0
4,2016-05-01,KARIMNAGAR,ANDHRA PRADESH,0.0
5,2016-05-01,TIRUPATHI,ANDHRA PRADESH,0.0
6,2016-05-01,VIJAYWADA,ANDHRA PRADESH,0.0
7,2016-05-01,VISAKHAPATNAM,ANDHRA PRADESH,0.0
8,2016-05-01,BALASORE,ODISHA,0.0
