<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:c141f33b77d4ac12d08c5e756ad58ee4b47bd11af6ac3bc1ba12293a15aa2928
size 2597
=======
PUBLISHEDDATE,TEXT
2019-04-11,"""Sab theek hai (everything is all right) was the common refrain heard from Muslim voters at different polling stations across the sugarcane bowl of western Uttar Pradesh on Thursday during the first phase of polling.With eyes betraying the lips"
2019-04-11,"""Sab theek hai (everything is all right) was the common refrain heard from Muslim voters at different polling stations across the sugarcane bowl of western Uttar Pradesh on Thursday during the first phase of polling.With eyes betraying the lips"
2019-04-12,""" Sab theek hai (everything is all right) was the common refrain heard from Muslim voters at different polling stations across the sugarcane bowl of western Uttar Pradesh on Thursday during the first phase of polling.With eyes betraying the lips"
2019-04-27,"""The Central Bureau of Investigation has registered an FIR to probe alleged irregularities in the sale of 21 State-owned sugar mills during the tenure of former Uttar Pradesh Chief Minister Mayawati in 2010-11"
2019-04-27,"""The Central Bureau of Investigation has registered an FIR to probe the alleged irregularities in the sale of 21 State-owned sugar mills during the tenure of former Uttar Pradesh Chief Minister Mayawati in 2010-11"
2019-04-27,"""The Central Bureau of Investigation has registered an FIR to probe alleged irregularities in the sale of 21 State-owned sugar mills during the tenure of former Uttar Pradesh Chief Minister Mayawati in 2010-11"
2019-04-27,"""The Central Bureau of Investigation has registered an FIR to probe the alleged irregularities in the sale of 21 State-owned sugar mills during the tenure of former Uttar Pradesh Chief Minister Mayawati in 2010-11"
2019-05-27,"""Agrarian distress wasnt seemingly a factor in determining the outcome of the recent Lok Sabha polls. Despite sugarcane payment dues to farmers by mills in Uttar Pradesh crossing Rs 11"
2019-06-19,"""Uttar Pradesh Chief Minister Yogi Adityanath Wednesday issued a stern warning to government officials against any delay in the clearance of dues to the sugarcane farmers.AdvertisingAny delay in clearing arrears of the sugarcane farmers will not be tolerated"
2019-09-21,"""UP farmers marching to Delhi's Kisan Ghat over payment of sugarcane crop dues & full loan waiver among othersUP farmers marching to Delhi's Kisan Ghat over payment of sugarcane crop dues & full loan waiver among others. Join https://t.co/W1jvVgHCXN  TOI Delhi (@TOIDelhi) 1569042388000NEW DELHI: Hundreds of farmers from Uttar Pradesh were on their way to Kisan Ghat in Delhi demanding pending sugarcane dues"
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
